system_name,review_file,review_sha256,result_file,result_sha256,analysis_run,source_identity,reviewed_revision,analysis_cutoff,source_tier,boundary_kind,comparison_scope,one_line,storage_substrate,storage_substrate_assessment,storage_substrate_basis,storage_substrate_records,representational_form,representational_form_assessment,representational_form_basis,representational_form_records,lineage,lineage_assessment,lineage_basis,lineage_records,behavioral_authority,behavioral_authority_assessment,behavioral_authority_basis,behavioral_authority_records,write_agency,write_agency_assessment,write_agency_basis,write_agency_records,curation_operations,curation_operations_assessment,curation_operations_basis,curation_operations_records,read_back_direction,read_back_direction_assessment,read_back_direction_basis,read_back_direction_records,read_back_signal,read_back_signal_assessment,read_back_signal_basis,read_back_signal_records,trace_learning,trace_learning_assessment,trace_learning_basis,trace_learning_records,trace_source,trace_source_assessment,trace_source_basis,trace_source_records,learning_scope,learning_scope_assessment,learning_scope_basis,learning_scope_records,learning_timing,learning_timing_assessment,learning_timing_basis,learning_timing_records,distilled_form,distilled_form_assessment,distilled_form_basis,distilled_form_records,faithfulness_tested,faithfulness_tested_assessment,faithfulness_tested_basis,faithfulness_tested_records
fragility-grid,kb/agentic-systems/reviews/fragility-grid.md,605a66d240aa5d748809d51a4a260e6e55793be3e7e99cc7f7ae2873e60ed906,kb/reports/retained/agentic-system-analysis/AAS-2026-09-25-fragility-grid-01/result.md,70d8208bdae0dedbb7f16efd1e23d0c699c5f3e3ec5d5bbad313553daf88ec9f,AAS-2026-09-25-fragility-grid-01,https://github.com/NikolaTesla-007/fragility-grid,3f51444ead009d8351de1b6b19bf901c4da3d420,2026-09-25,code-grounded,subsystem-only,"Files accumulated or replaced by the grid and shell: result records, model summaries, shared config legend, temporary work queue and per-model logs; their scheduler and CPU loader consumers. Excludes fixed datasets, templates and pretrained weights, transient inference buffers, dependency caches, and downstream statistical artifacts beyond the loader boundary.","fragility-grid evaluates fixed items across prompt and scoring configurations; retained files support analysis and resume, with provenance and completion limits","[""files""]",known,wired,OBJ-3;OBJ-4;RTE-4;RTE-5,"[""natural-language"",""symbolic""]",known,wired,OBJ-3;OBJ-4,"[""imported"",""other-compiled"",""trace-extracted""]",known,wired,OBJ-3;OBJ-4;RTE-4;RTE-6,"[""knowledge"",""routing""]",known,wired,RTE-5;RTE-6;RTE-7,"[""automatic""]",known,wired,RTE-4;RTE-6,[],absent,,ABS-1,"[""pull""]",known,wired,RTE-5;RTE-6;RTE-7,[],inapplicable,,RTE-5;RTE-6;RTE-7,"[""no""]",known,wired,ABS-1;RTE-2;RTE-3;RTE-4;RTE-5,[],inapplicable,,ABS-1,[],inapplicable,,ABS-1,[],inapplicable,,ABS-1,[],inapplicable,,ABS-1,[],not-determinable,,ABS-1
GBrain,kb/agentic-systems/reviews/gbrain-garrytan.md,a683334dff5207d21b2508c5ea1598dc635e521b4e5246fc505b582076245604,kb/reports/retained/agentic-system-analysis/AAS-2026-09-23-gbrain-01/result.md,e07b4133703a2594672dd77ac8b6906e6d1173f83b658e0165b42f4f1885f2b1,AAS-2026-09-23-gbrain-01,https://github.com/garrytan/gbrain,6040075c6cb95be5881cc2e1b76ef7d71f4e5d29,2026-09-23,code-grounded,"complete artifact, partial loop","Retained objects GBrain accumulates or changes through use: brain pages (Markdown files plus DB rows, chunks, embeddings), facts rows and `## Facts` fences, fact withdrawals, takes/take proposals/grade cache/calibration profiles, link and timeline edges, session_context_state, the raw transcript corpus (session-end, compaction-segment and writeback-turn files) and Stop live buffer, dream/think-generated pages, the bootstrap agent-workspace memory files (MEMORY.md, memory/ daily logs, USER.md, SOUL.md) as edited by the agent, brain-resident shared skill revisions, SkillOpt versions/best/proposed/history/rejected buffers and the SKILL.md files SkillOpt commits; plus access metadata (last_retrieved_at, context_volunteer_events). Routes: explicit remember/put_page/Markdown sync/workspace file edits, ambient Stop-hook writeback, compaction checkpoint harvest, session-end corpus plus serve sweep extraction, page-write facts backstop, dream-cycle phases, SkillOpt, shared-skill publish; maintenance by dedup, supersession, TTL, forget/withdrawal, decay-ranking, consolidation, purge; read-back through requested recall/search/query/entity/context_pack/delta/think/synthesize/get_skill and automatic hook push, MCP _meta hot memory, harness file imports and compile-context files. Statically shipped bundled skills, plugin trees and bootstrap templates are delivery artifacts and excluded; the Memorable procedure-extraction implementation is excluded.","GBrain adds provenance-carrying memory, deterministic context push, nightly maintenance and hash-guarded skill delivery to existing agent harnesses; its fact curation catches near duplicates, not contradictions.","[""files"",""graph"",""rdbms"",""repo"",""vector""]",known,wired,OBJ-1;OBJ-2;OBJ-4;OBJ-10;OBJ-16;OBJ-14;OBJ-17,"[""natural-language"",""symbolic""]",known,wired,OBJ-1;OBJ-2;OBJ-3;OBJ-4;OBJ-16;OBJ-14;OBJ-10,"[""authored"",""imported"",""other-compiled"",""trace-extracted""]",known,wired,RTE-1;RTE-2;RTE-19;RTE-25;RTE-16;RTE-6;RTE-24;RTE-8;RTE-11;RTE-9;RTE-10;RTE-20,"[""enforcement"",""instruction"",""knowledge"",""ranking"",""validation""]",known,wired,OBJ-1;OBJ-2;RTE-5;BAP-8;BAP-4;BAP-5;OBJ-18;OBJ-19;RTE-11,"[""automatic"",""manual""]",known,wired,RTE-1;RTE-2;RTE-25;RTE-16;RTE-6;RTE-24;RTE-9;RTE-8;RTE-11,"[""consolidate"",""decay"",""dedup"",""evolve"",""invalidate"",""promote"",""synthesize""]",known,wired,RTE-1;RTE-7;RTE-8;RTE-9;RTE-11;RTE-4;CLM-7,"[""pull"",""push""]",known,wired,RTE-3;RTE-4;RTE-26;RTE-5;RTE-20,"[""coarse"",""identifier"",""inferred-lexical""]",known,wired,RTE-5;RTE-20,"[""yes""]",known,wired,RTE-6;RTE-24;RTE-8;RTE-11,"[""session-logs"",""trajectories""]",known,wired,RTE-6;RTE-24;RTE-8;RTE-11,"[""cross-task"",""per-task""]",known,wired,RTE-6;RTE-24;RTE-5;RTE-8;RTE-11,"[""offline"",""online"",""staged""]",known,wired,RTE-6;RTE-24;RTE-8;RTE-11,"[""natural-language"",""symbolic""]",known,wired,RTE-6;RTE-24;RTE-8;RTE-11;OBJ-16,"[""no""]",known,wired,ABS-7;RTE-11;RTE-10
JEPA-Anything,kb/agentic-systems/reviews/jepa-anything.md,0cdfbab20d2fd0d32f287109a3d345b994964dc7397bd9ba7ee3d0f3143463e6,kb/reports/retained/agentic-system-analysis/AAS-2026-09-25-jepa-anything-01/result.md,61c8f37fd062024ef63441a578523566765fafc22a0fb6dbf968ea76e5df11b0,AAS-2026-09-25-jepa-anything-01,https://github.com/Gen-Verse/JEPA-Anything,c6e6c88f3ef75a4ce7acd660d6fa5779d995512c,2026-09-25,code-grounded,"complete artifact, partial loop","Accumulated or revised memory and later-consumer routes within the shipped compiler skill and validator/generator; none established. Current-task products, static guidance, host conversation storage, and external training are excluded.","LLM-hosted world-model design compilation with deterministic consistency checks and generated evidence contracts, distinct from empirical model validation",[],inapplicable,,ABS-1,[],inapplicable,,ABS-1,[],inapplicable,,ABS-1,[],inapplicable,,ABS-1,[],inapplicable,,ABS-1,[],inapplicable,,ABS-1,[],inapplicable,,ABS-1,[],inapplicable,,ABS-1,"[""no""]",known,wired,ABS-1,[],inapplicable,,ABS-1,[],inapplicable,,ABS-1,[],inapplicable,,ABS-1,[],inapplicable,,ABS-1,[],inapplicable,,ABS-1
LHTB,kb/agentic-systems/reviews/lhtb.md,f2a3c02037c284339042f279ffa9893ba8c5a1223eeb6499ae59532b0305e025,kb/reports/retained/agentic-system-analysis/AAS-2026-09-25-lhtb-01/result.md,615b32ab30f9072f535b674f92b9fd95609cb3f0a9d893c6abc3c7ba51a58af9,AAS-2026-09-25-lhtb-01,https://github.com/zli12321/LHTB,d78f5eb52ad754c5ee9154741af73130a85a65b8,2026-09-25,code-grounded,subsystem-only,"Bundled Harbor single-step continue-until-timeout cross-phase project files, AgentContext, verifier artifacts, derived feedback, artifact transfer and result retention; restart and same-conversation, shared and separate verifier branches, process rewards disabled. Concrete agent/model, provider and test internals excluded.","LHTB bundled continuation preserves work and feeds verifier outcomes into later attempts, with narrower feedback and isolation guarantees than its documentation","[""files"",""in-memory""]",known,wired,OBJ-1;OBJ-2;OBJ-3;OBJ-4,[],not-determinable,,OBJ-1;OBJ-2;OBJ-3;OBJ-4,[],not-determinable,,OBJ-1;OBJ-2;OBJ-3;OBJ-4,[],not-determinable,,BAP-1;BAP-2;OBJ-1,"[""automatic""]",known,wired,RTE-2;RTE-3;RTE-4;RTE-5;RTE-6,[],not-determinable,,OBJ-1;OBJ-2;RTE-5,"[""pull"",""push""]",known,wired,RTE-3;RTE-4;RTE-7,"[""coarse"",""identifier""]",known,wired,RTE-3;RTE-4,"[""yes""]",known,wired,RTE-7,"[""event-streams""]",known,wired,RTE-7,"[""per-task""]",known,wired,RTE-7,"[""online""]",known,wired,RTE-7,[],not-determinable,,RTE-7;OBJ-4,"[""no""]",known,wired,ABS-1
mem,kb/agentic-systems/reviews/instinctual-memory.md,0e47c8f8c3e465ab7aea7beec355279d885373a920e7f358feae4d0df4b36e51,kb/reports/retained/agentic-system-analysis/AAS-2026-09-25-instinctual-memory-01/result.md,e84ebd9e68f376b0f3bb91d87492bc51239b76fe0ee796b2665bf1d77cb9d105,AAS-2026-09-25-instinctual-memory-01,https://github.com/jasonkneen/instinctual-memory,6acb13dc35765bf5ccfc87e445dd09c480f1c28a,2026-09-25,code-grounded,"complete artifact, partial loop","Accumulated journal content and metadata; derived or caller-authored entity facts, active-body/index projections, checkpoints, dispositions, controls, publication receipts/intents; managed writeback; versioned task file; their acquisition, maintenance, and later-consumer routes. Static program/skill prompts and pretrained/provider model assets are components, not accumulated memory; transient search/HTTP result caches are delivery state.","mem extracts sourced facts into Git and supplies host context, with separate publication, recall and withdrawal guarantees","[""files"",""repo""]",known,wired,OBJ-1;OBJ-2;OBJ-3;OBJ-4;OBJ-5,"[""natural-language"",""symbolic""]",known,wired,OBJ-1;OBJ-2;OBJ-3;OBJ-4;OBJ-5,"[""authored"",""imported"",""other-compiled"",""trace-extracted""]",known,wired,RTE-1;RTE-2;RTE-3;RTE-6;RTE-7;RTE-10,"[""enforcement"",""instruction"",""knowledge"",""ranking"",""routing"",""validation""]",known,afforded,BAP-1;BAP-2;RTE-4;RTE-5;RTE-6;RTE-10,"[""automatic"",""manual""]",known,wired,RTE-1;RTE-2;RTE-3;RTE-6;RTE-7;RTE-10,"[""consolidate"",""decay"",""dedup"",""evolve"",""invalidate""]",known,wired,RTE-2;RTE-3;RTE-7;RTE-4,"[""pull"",""push""]",known,afforded,RTE-4;RTE-5;RTE-6;RTE-9;RTE-10,"[""coarse"",""identifier"",""inferred-lexical""]",known,afforded,RTE-5;RTE-6,"[""yes""]",known,wired,RTE-1;RTE-2;RTE-4;RTE-5;RTE-6,"[""event-streams"",""session-logs""]",known,wired,RTE-1;RTE-2,"[""cross-task"",""per-project""]",known,wired,RTE-2;RTE-5;RTE-6,"[""offline"",""staged""]",known,wired,RTE-2;RTE-5,"[""natural-language"",""symbolic""]",known,wired,OBJ-2;RTE-2,"[""no""]",known,wired,RTE-8;ABS-1
MerchantBench,kb/agentic-systems/reviews/merchantbench.md,519b6eac200b35ba7935b6da7b63ece75b8eb391cb82485e863f7a32c6c8712c,kb/reports/retained/agentic-system-analysis/AAS-2026-09-25-merchantbench-01/result.md,615a4b3b68f419eb12331d03f36166f166e384ace782fc2743ab7e180b74215b,AAS-2026-09-25-merchantbench-01,https://github.com/KhanCold/merchantbench,f44ce969aeccfd65d1eef6afe50f69868e510946,2026-09-25,code-grounded,subsystem-only,"ReAct baseline retained dialogue and control metadata, optional current-run scratchpad and history, environment trace/usage records and consumed protocol cursors/idempotency; both tool-enabled and tool-denied branches. Excludes simulator domain databases and provider internals.","MerchantBench ReAct baseline combines action feedback and optional persistent notes, with context trimming and source/default limits","[""files"",""in-memory""]",known,wired,OBJ-1;OBJ-2;OBJ-3;OBJ-5,"[""natural-language"",""symbolic""]",known,wired,OBJ-1;OBJ-2;OBJ-3;OBJ-5,"[""authored"",""imported"",""other-compiled"",""trace-extracted""]",known,afforded,OBJ-1;OBJ-2;OBJ-3;RTE-3;RTE-8,"[""enforcement"",""instruction"",""knowledge"",""learning"",""routing""]",known,afforded,BAP-1;BAP-2;RTE-7;RTE-8,"[""automatic""]",known,wired,RTE-2;RTE-3;RTE-6;RTE-7,"[""decay"",""evolve""]",known,afforded,RTE-3;RTE-4;RTE-6;RTE-7,"[""pull"",""push""]",known,wired,RTE-2;RTE-6;RTE-7,"[""coarse""]",known,wired,RTE-2;RTE-3,"[""yes""]",known,afforded,RTE-8,"[""session-logs"",""tool-traces""]",known,afforded,RTE-8,"[""per-task""]",known,afforded,RTE-8,"[""online""]",known,afforded,RTE-8,"[""natural-language""]",known,afforded,RTE-8,[],not-determinable,,RTE-8
Meta^n,kb/agentic-systems/reviews/meta-n.md,64c839db3bad2fc4a2c04430bb69509caeb90a20a6eb136463df49e57d5f8bfb,kb/reports/retained/agentic-system-analysis/AAS-2026-09-24-meta-n-01/result.md,fb252da4610374093d302a11bb4e7ca6cb9a521dbd9c27ef89822ba58386fefa,AAS-2026-09-24-meta-n-01,https://github.com/minnesotanlp/meta-n,b7081843d3c7b0e0f418ca10aaf2ccbff856e7f8,2026-09-24,code-grounded,whole-system,"Meta^n-owned use-accumulated task traces, candidate code/rationale and frozen solutions, archive selection/checkpoint state, optional imported seeds, and built-in per-task conversation summaries; includes repository external-agent injection/Trace conversion, excludes SDK-internal memory, provider weights, static prompts/configs, datasets and diagnostic-only opaque log payloads.","Meta^n evolves executable solver layers from task traces, retaining code, rationale and task winners; source-level feedback wiring does not establish improved generalization.","[""files"",""in-memory""]",known,wired,OBJ-4;OBJ-5;OBJ-6;OBJ-7;OBJ-8;OBJ-9;OBJ-10,"[""natural-language"",""symbolic""]",known,wired,OBJ-4;OBJ-5;OBJ-6;OBJ-7;OBJ-8,"[""imported"",""other-compiled"",""trace-extracted""]",known,wired,RTE-6;RTE-11;RTE-13;RTE-14,"[""enforcement"",""instruction"",""knowledge"",""learning"",""ranking"",""routing"",""validation""]",known,wired,BAP-3;BAP-4;BAP-5,"[""automatic""]",known,wired,RTE-6;RTE-9;RTE-10;RTE-11;RTE-12;RTE-13;RTE-14;RTE-15,"[""consolidate"",""evolve"",""promote"",""synthesize""]",known,wired,RTE-6;RTE-9;RTE-10;RTE-11;RTE-13;OBJ-6,"[""pull"",""push""]",known,afforded,RTE-6;RTE-7;RTE-8;RTE-11;RTE-13,"[""coarse"",""identifier"",""inferred-lexical""]",known,wired,RTE-6;RTE-7;RTE-11;RTE-13,"[""yes""]",known,wired,RTE-6;RTE-9;RTE-10;RTE-11;RTE-13;RTE-15,"[""session-logs"",""tool-traces"",""trajectories""]",known,wired,OBJ-4;RTE-6;RTE-11;RTE-15,"[""cross-task"",""per-task""]",known,wired,RTE-6;RTE-9;RTE-10;RTE-11;RTE-13;RTE-15,"[""online"",""staged""]",known,wired,RTE-6;RTE-9;RTE-10;RTE-11;RTE-13;RTE-15,"[""natural-language"",""symbolic""]",known,wired,OBJ-5;OBJ-7;OBJ-8;RTE-11,[],not-determinable,,CLM-4
ModularRSI,kb/agentic-systems/reviews/modularrsi.md,d8f606a70a6a9aa522dc7dc4889af27fda56a80390530f5eb3bfdc0800d46e3f,kb/reports/retained/agentic-system-analysis/AAS-2026-09-25-modularrsi-01/result.md,1a1508b4847328bc2746c7f71397814f98386abc1e5da2c69b5367a7865955ac,AAS-2026-09-25-modularrsi-01,https://github.com/IQuestLab/ModularRSI,b5c72c36b0d08ff93f00ee202a8fbdebe849dfb9,2026-09-25,code-grounded,subsystem-only,"Accumulated ModularRSI solver chat/continuations and guard/observation state; trace-derived findings/proposals, imported and evolved module generations, archive/status/access metadata, editor-memory capability, task-history/review state and composition replay cache. Named subsystem and necessary interfaces only; static doctrine, unrelated Harbor agents, external providers and benchmark internals excluded.","ModularRSI's proposal backlog, gated module evolution, dynamic composition, and the limits of its runtime and learning guarantees.","[""files"",""in-memory""]",known,wired,OBJ-1;OBJ-2;OBJ-3;OBJ-4;OBJ-5;OBJ-6;OBJ-7;OBJ-8;OBJ-9,"[""natural-language"",""symbolic""]",known,wired,OBJ-1;OBJ-2;OBJ-3;OBJ-4;OBJ-6;OBJ-8,"[""imported"",""other-compiled"",""trace-extracted""]",known,wired,OBJ-2;OBJ-3;OBJ-6;OBJ-7;OBJ-8;OBJ-9,"[""enforcement"",""instruction"",""knowledge"",""ranking"",""routing"",""validation""]",known,wired,RTE-2;RTE-3;RTE-4;RTE-7;RTE-8;RTE-9;RTE-10,"[""automatic""]",known,wired,RTE-2;RTE-3;RTE-7;RTE-8;RTE-9;RTE-10,"[""consolidate"",""decay"",""dedup"",""evolve"",""invalidate"",""promote"",""synthesize""]",known,wired,RTE-2;RTE-3;RTE-4;RTE-7;RTE-8;RTE-10,"[""pull"",""push""]",known,wired,RTE-2;RTE-4;RTE-7;RTE-8;RTE-9;RTE-10,"[""coarse"",""identifier"",""inferred-judgment""]",known,wired,RTE-4;RTE-7;RTE-8;RTE-9;RTE-10,"[""yes""]",known,wired,RTE-2;RTE-3;RTE-7;RTE-8,"[""session-logs"",""tool-traces"",""trajectories""]",known,wired,OBJ-1;RTE-2;RTE-3;RTE-7,"[""cross-task"",""per-task""]",known,wired,RTE-3;RTE-4;RTE-7;RTE-8,"[""online"",""staged""]",known,wired,RTE-3;RTE-7;RTE-8,"[""natural-language"",""symbolic""]",known,wired,OBJ-2;OBJ-3;RTE-7;RTE-8,[],not-determinable,,RTE-6
OpenViking,kb/agentic-systems/reviews/openviking.md,88e0158486e301db7643adcf007af948457a7d5112a91eecadd5bdcab73c1aaa,kb/reports/retained/agentic-system-analysis/AAS-2026-09-25-openviking-01/result.md,1e8ba47630396c1649ccfa715649a31185f4c74fa14446e52226a189993a63af,AAS-2026-09-25-openviking-01,https://github.com/volcengine/OpenViking,4edc30b068934893bc94a4e1b8e87bab2100bce5,2026-09-25,code-grounded,subsystem-only,"Session message capture, archive/commit, cumulative Working Memory and partial-Turn checkpoints; user-stage memory extraction/merge/write and later continuation, extraction prefetch, direct find, context-aware search and bounded user-memory recall. Excludes agent-evolution/training, session skills, resource/wiki compilation, plugin/bot loops and arbitrary host stores.","OpenViking session and user-memory subsystem: queued extraction, cumulative continuation and bounded recall with explicit host/training exclusions",[],uninspected,,OBJ-1;OBJ-2;OBJ-3;OBJ-4;OBJ-5;OBJ-6;OBJ-7,[],not-determinable,,OBJ-1;OBJ-2;OBJ-3;OBJ-4;OBJ-5;OBJ-6,"[""authored"",""imported"",""other-compiled"",""trace-extracted""]",known,afforded,OBJ-1;OBJ-2;OBJ-3;OBJ-4;RTE-9,"[""knowledge"",""ranking"",""routing""]",known,wired,OBJ-3;OBJ-4;OBJ-5;OBJ-7;RTE-5;RTE-6;RTE-4,"[""automatic"",""manual""]",known,afforded,RTE-1;RTE-2;RTE-3;RTE-9,"[""consolidate"",""decay"",""dedup"",""evolve"",""invalidate"",""promote""]",known,wired,RTE-2;RTE-3;OBJ-4;OBJ-7;RTE-6,"[""pull"",""push""]",known,afforded,RTE-4;RTE-5;RTE-6;RTE-7;RTE-8,"[""coarse"",""identifier"",""inferred-embedding"",""inferred-judgment""]",known,wired,RTE-5;RTE-6;RTE-7;RTE-8,"[""yes""]",known,wired,RTE-2;RTE-3;RTE-5,"[""session-logs"",""tool-traces""]",known,wired,RTE-2;RTE-3;OBJ-5;OBJ-6,[],not-determinable,,RTE-2;RTE-3;OBJ-5,"[""online""]",known,wired,RTE-2;RTE-3;RTE-5,"[""natural-language"",""symbolic""]",known,wired,OBJ-2;OBJ-3;OBJ-5,[],uninspected,,BAP-1;RTE-4
pi-posthorse,kb/agentic-systems/reviews/pi-posthorse.md,e16939d9a6a035b1bbfa5a0fe70c893d09fcaca57da13667a7c339b6d8a6fcf7,kb/reports/retained/agentic-system-analysis/AAS-2026-09-25-pi-posthorse-01/result.md,19d203c7135f34278b17016d93a90c7637adee2484ca1f2d7810f59a0a2a0782,AAS-2026-09-25-pi-posthorse-01,https://github.com/fitchmultz/pi-posthorse,5bdba3536e186a7be845844d0398c3485a7f8e2b,2026-09-25,code-grounded,"complete artifact, partial loop","Extension-owned notes and migration, consumed native transcript and context-edit/image payloads, handoff/recovery records and reminder fingerprints, and their extension write, selection and later-consumer routes. Host persistence and fresh-window assembly are documented external contracts; host-internal summary generation and the Codex prototype are excluded.",Pi Posthorse keeps recoverable notes and history while its external Pi host commits fresh context windows,"[""files"",""in-memory""]",known,claimed,OBJ-1;OBJ-2;OBJ-3;OBJ-4;OBJ-7,[],not-determinable,,OBJ-1;OBJ-2;OBJ-3;OBJ-4;OBJ-5;OBJ-7,"[""authored"",""imported"",""other-compiled"",""trace-extracted""]",known,wired,OBJ-1;OBJ-2;OBJ-3;OBJ-4;OBJ-6;OBJ-7;RTE-7;RTE-8,"[""enforcement"",""instruction"",""knowledge"",""ranking"",""routing""]",known,claimed,BAP-1;BAP-2;BAP-3;OBJ-7,"[""automatic"",""manual""]",known,afforded,RTE-3;RTE-4;RTE-7;RTE-8,"[""consolidate"",""evolve"",""invalidate""]",known,afforded,RTE-4;RTE-2;RTE-7,"[""pull"",""push""]",known,claimed,RTE-4;RTE-5;RTE-2;RTE-7,"[""coarse"",""identifier""]",known,wired,RTE-2;RTE-7,"[""yes""]",known,claimed,OBJ-6;RTE-7;BAP-1,"[""session-logs"",""tool-traces""]",known,claimed,OBJ-2;RTE-7,[],not-determinable,,RTE-7,"[""online""]",known,claimed,RTE-7,"[""natural-language""]",known,claimed,OBJ-6;RTE-7,[],not-determinable,,CLM-2
PrimeScientist,kb/agentic-systems/reviews/primescientist.md,10b590868f7a37a85a2627ab35312f106ea19450d0a44e0a3dbc52998d16b100,kb/reports/retained/agentic-system-analysis/AAS-2026-09-25-primescientist-01/result.md,b04d0a39fdf389ca522784541573e85905762029469d2d890ea38cd8ba7ee36b,AAS-2026-09-25-primescientist-01,https://github.com/Henri-XYu02/PrimeScientist,29971beac6f4f4b41309b1326762e1b83ceece98,2026-09-25,code-grounded,"complete artifact, partial loop","Source-owned retained plans, priors, packets/statistics, logs and diagnostic reductions, inherited sandbox artifacts, imported insight files, baseline history and best workspace, and the reflector session access handle across search and vanilla with AutoLab/FIRE Codex interfaces. External Codex/provider context storage and transformations are excluded; their resume boundary remains explicitly opaque. Static task datasets/instructions and unrelated vendored utilities are not memory merely because stored.","PrimeScientist's research-plan tree, retained rationale and diagnostics, with score-dependent inheritance and bounded budget/evaluator guarantees","[""files"",""in-memory""]",known,wired,OBJ-1;OBJ-2;OBJ-3;OBJ-4;OBJ-5;OBJ-6;OBJ-7;OBJ-14;RTE-7,[],not-determinable,,OBJ-1;OBJ-2;OBJ-3;OBJ-4;OBJ-5;OBJ-6;OBJ-7,"[""authored"",""imported"",""other-compiled"",""trace-extracted""]",known,wired,OBJ-1;OBJ-2;OBJ-3;OBJ-4;OBJ-5;OBJ-6;OBJ-14;RTE-8;RTE-9;RTE-10,"[""enforcement"",""instruction"",""knowledge"",""ranking"",""routing""]",known,afforded,BAP-1;BAP-2;BAP-3;RTE-2;RTE-3;RTE-5;RTE-7,"[""automatic""]",known,wired,RTE-1;RTE-4;RTE-5;RTE-6;RTE-7;RTE-8;RTE-9;RTE-10,"[""consolidate"",""evolve"",""invalidate"",""promote"",""synthesize""]",known,afforded,RTE-4;RTE-5;RTE-7;RTE-8;RTE-9;RTE-10,"[""pull"",""push""]",known,afforded,RTE-2;RTE-3;RTE-5;RTE-6;RTE-7;RTE-8;RTE-9;RTE-10;RTE-11,"[""coarse"",""identifier"",""inferred-lexical""]",known,wired,RTE-2;RTE-3;RTE-6;RTE-7;RTE-8;RTE-9;RTE-10,"[""yes""]",known,wired,RTE-2;RTE-4;RTE-5;RTE-7;RTE-8;RTE-9;RTE-10,"[""session-logs"",""tool-traces"",""trajectories""]",known,wired,RTE-4;RTE-5;RTE-7;RTE-8;RTE-9;RTE-10,"[""per-task""]",known,wired,RTE-2;RTE-4;RTE-5;RTE-7;RTE-8;RTE-9;RTE-10;ABS-1,"[""online"",""staged""]",known,wired,RTE-2;RTE-4;RTE-5;RTE-7;RTE-8;RTE-9;RTE-10,"[""natural-language"",""symbolic""]",known,wired,OBJ-1;OBJ-2;OBJ-3;OBJ-14;OBJ-15;OBJ-16;OBJ-17,[],not-determinable,,RTE-3;RTE-5
Prove2Me,kb/agentic-systems/reviews/prove2me.md,65b6b550cce4d116ef21cdc884d8f94e6e7775981eaa1f4b76da12c76c6528f3,kb/reports/retained/agentic-system-analysis/AAS-2026-09-25-prove2me-01/result.md,20273c57e7ee775353a5afafc1a6e601182f5d84624f97641fe8b7845e54ecd8,AAS-2026-09-25-prove2me-01,https://github.com/prove2me/prove2me_workspace,326b972580e0640b1f3739ec7b12d2b34d8d3527,2026-09-25,doc-grounded,"complete artifact, partial loop","Accumulated local project files and access/environment state; documented platform mathematical objects, attempts, feedback, discovery metadata and drafts; extracted facts and prescribed upload checkpoints. Static skill text supplies routes but is not itself learned memory. Remote storage internals, host internals and Lean internals are excluded.","Prove2Me host integration: formal proof and translation review contracts, retained feedback, and shipped Lean extraction helpers.","[""files"",""repo"",""service-object""]",known,afforded,OBJ-11;OBJ-12;OBJ-13;OBJ-14;OBJ-15;OBJ-16;OBJ-17;OBJ-18;OBJ-19;OBJ-20;OBJ-21;OBJ-22;OBJ-23;OBJ-8;OBJ-9;OBJ-24;OBJ-25,"[""natural-language"",""symbolic""]",known,afforded,OBJ-11;OBJ-12;OBJ-13;OBJ-14;OBJ-15;OBJ-16;OBJ-17;OBJ-18;OBJ-19;OBJ-20;OBJ-21;OBJ-22;OBJ-23;OBJ-8;OBJ-9;OBJ-24;OBJ-25,"[""authored"",""imported"",""other-compiled"",""trace-extracted""]",known,afforded,RTE-1;RTE-3;RTE-5;RTE-7;RTE-9;RTE-10,"[""enforcement"",""instruction"",""knowledge"",""ranking"",""routing"",""validation""]",known,afforded,OBJ-11;OBJ-12;RTE-2;RTE-3;RTE-4;RTE-5;RTE-6;RTE-8;OBJ-9;OBJ-24;OBJ-25,"[""automatic"",""manual""]",known,afforded,RTE-1;RTE-5;RTE-6;RTE-7;RTE-8;RTE-9;RTE-10,"[""decay"",""evolve"",""invalidate"",""promote"",""synthesize""]",known,afforded,RTE-5;RTE-6;OBJ-9;RTE-9,"[""pull"",""push""]",known,afforded,RTE-1;RTE-2;RTE-3;RTE-5;RTE-7;RTE-8;RTE-11,"[""identifier""]",known,afforded,RTE-11,"[""yes""]",known,afforded,RTE-9;RTE-10,"[""tool-traces"",""trajectories""]",known,afforded,RTE-9;RTE-10,[],not-determinable,,RTE-9;RTE-10,"[""online""]",known,afforded,RTE-9;RTE-10,[],not-determinable,,RTE-9;RTE-10,"[""no""]",known,afforded,ABS-1
