check,warn_count,info_count,clean_count,sample_note,sample_finding
Completeness / boundary case,4,8,0,effective-context-is-task-relative-and-complexity-relative-not-a-fixed-model-constant.md,"The note claims ""effective context is relational: model choice matters, task type matters, and prompt difficulty changes the effective cost of a prompt."" This enumeration of factors (model, task type, prompt difficulty) omits several factors that both sources hint at. Paulsen's source discusses **position effects** (retrieval drops from 76% to 66% when key info moves from position 1 to position 2), **ratio of relevant to total tokens** (up to 25% impact), and **training-time sequence length** as distinct factors affecting MECW. The note's caveats mention ""position, framing, and scope contamination"" but fold them into ""prompt difficulty"" as a catch-all. This is a defensible modeling choice, but a reader might ask: does ""prompt difficulty"" become so broad that it loses predictive content? If position effects, framing quality, relevant-to-irrelevant ratio, and compositional depth all collapse into ""difficulty,"" the relational claim becomes near-tautological — effective context depends on everything about the prompt except its token count. The note could be clearer about whether ""prompt difficulty"" is a placeholder for multiple separable dimensions or a genuinely unified concept."
Completeness / boundary cases,4,3,0,alexander-patterns-and-knowledge-system-design.md,"The note claims Alexander's generative process maps to the codification trajectory: ""start with unstructured text, let patterns emerge from practice, formalise when consistent success becomes observable."" But Alexander's generative process is about sequential placement decisions responding to local conditions and strengthening existing structure — it is a construction-time sequencing method, not an emergence-and-formalize method. The codification trajectory (observe pattern, then formalize) is closer to grounded theory or empirical generalization than to Alexander's generative sequences, which prescribe an order of operations for building, not a method for discovering what to build. The mapping conflates ""responding to local conditions"" with ""letting patterns emerge,"" which are distinct processes: one is adaptive execution, the other is inductive discovery."
Grounding alignment / scope mismatch,3,0,0,effective-context-is-task-relative-and-complexity-relative-not-a-fixed-model-constant.md,"The note says Paulsen ""measures Maximum Effective Context Window (MECW) across 11 frontier models and finds it far smaller than advertised limits. Crucially, the threshold shifts by problem type."" The Paulsen source does support this, but the note then uses this as evidence that ""effective context is relational"" in a way that includes prompt difficulty / compositional complexity as a dimension. Paulsen's tasks (needle-in-a-haystack, counting, sorting, summarization) vary by task *type* but do not isolate compositional complexity as a separate axis. The note's caveats paragraph acknowledges this (""Paulsen does not cleanly isolate pure volume from task difficulty""), but the body paragraphs present Paulsen and ConvexBench as two independent legs of a convergent argument where Paulsen covers the task-type axis and ConvexBench covers the complexity axis. In practice, Paulsen's finding is that MECW varies by task type, not that it varies by complexity independent of task type. The note's synthesis — that effective context is jointly determined by task type *and* complexity — goes beyond what the two sources independently demonstrate, because neither source measures the interaction between the two dimensions. The convergence is weaker than ""two independent sources converge on this"" suggests: each source covers a different axis, but no source covers the joint claim."
Grounding alignment — scope mismatch,3,0,0,areas-exist-because-useful-operations-require-reading-notes-together.md,"The note claims ""The split threshold of ~40 notes"" is specified in WRITING.md (two links: ""split threshold of ~40 notes"" and ""~40 note threshold"" both point to `../instructions/WRITING.md`). WRITING.md does not contain any mention of a 40-note threshold, a split threshold, or indeed any area-related conventions. The `areas:` frontmatter field has been replaced by `tags:` per ADR 004. WRITING.md now references tags and tag indexes exclusively. A reader following these links will not find the claimed content."
Internal consistency,2,107,225,backlinks.md,"The note places orphan detection in the non-use-case list while promoting hub identification as use case 1, but concedes they ""measure the same thing"" (inbound link count). The stated difference -- that orphan detection does not need read-time visibility -- is defensible, but the note's own phrasing (""Backlinks measure the same thing as hub identification"") undermines the categorical separation by admitting the data is identical. This leaves the distinction resting entirely on a presentation-layer argument that the note does not develop."
Completeness/Boundary,2,4,0,information-value-is-observer-relative.md,"The four KB conventions listed as ""optimizations for the agent observer"" (title as claim, descriptions as retrieval filters, short composable notes, progressive refinement) are presented as instances of observer-relative design. Boundary case: **link semantics** (the requirement that every link articulate its relationship) is arguably a fifth convention that optimizes for the agent observer -- it reduces the computational cost of traversal decisions by making relationship type explicit rather than requiring the agent to infer it. The note links to related notes using semantic labels (instance, grounds, etc.) but does not list link semantics itself as an observer-relative optimization, even though the KB's own CLAUDE.md mandates it for exactly this reason. This is a gap in the enumeration rather than an error, but it's notable because the note is practicing the convention it omits from its list."
Grounding/Domain coverage,2,0,0,information-value-is-observer-relative.md,"The Epiplexity link claim states that epiplexity ""captures the pattern-extraction aspect (learnable structure a bounded model extracts from sequential data) but does not cover fact-level observer-relativity."" This is an accurate and honest scoping of the source. However, the note's central claim is about information value in general (patterns AND facts), and the only formal source cited (Epiplexity) covers only the pattern side. The fact side -- that prior knowledge determines whether a fact is interpretable -- is grounded only in the informal Prior Work section (relevance theory, Bayesian decision theory). The note therefore has asymmetric grounding: the pattern half has a formal theoretical anchor; the fact half has only literature gestures. This asymmetry is not acknowledged in the body (only in the Open Questions, obliquely). A reader following the Epiplexity link might overestimate how much of the note's claim is formally grounded."
Completeness/boundary,1,2,0,skills-derive-from-methodology-through-distillation.md,"The three-term taxonomy (codification, constraining, distillation) claims these are ""different operations on the same gradient,"" but the table shows codification has a medium transition while the other two do not. Two of the three share the ""No"" column for medium transition, yet the note treats all three as equidistant conceptual alternatives. A boundary case exposes the tension: a skill that is partially procedural code and partially natural language (e.g., a skill body that shells out to a Python helper to do some of its work). This sits between codification and distillation -- the note's framework has no clean place for it, and the ""gradient"" framing implies there should be one. The note's own codification source says ""codification can also be distillation"" and shows they can co-occur, which the three-row table's mutual-exclusivity framing obscures."
Grounding/Domain,1,2,0,scheduler-llm-separation-exploits-an-error-correction-asymmetry.md,"ConvexBench is cited to show ""LLMs tracking compositional depth see F1 collapse from 1.0 to 0.2 at depth 100 despite using only 5,331 tokens."" The note frames this as evidence about bookkeeping errors. But ConvexBench tests compositional mathematical reasoning (verifying convexity through nested function composition), not bookkeeping in the sense of ""counting, state tracking, list manipulation."" Determining whether a composed function preserves convexity requires applying DCP rules at each level — a task that involves semantic judgment about mathematical properties, not mere state tracking. The ConvexBench source explicitly calls this ""long-horizon reasoning capability"" as distinct from ""long-context capability."" The note uses ConvexBench to ground a claim about bookkeeping error profiles, but the source's domain is compositional reasoning, which maps more naturally to the note's own ""semantic operations"" category or to the mixed regime described in the previous finding."
Grounding alignment / inference validity,1,1,0,structure-activates-higher-quality-training-distributions.md,"The note claims that the Lampinen et al. finding -- ""chain-of-thought prompting partially restores content-independent reasoning"" -- is ""the distribution-selection effect observed directly."" But the Lampinen source does not frame CoT as distribution selection. The source frames CoT as enabling ""slow, deliberative reasoning"" analogous to dual-process System 2 engagement. The distribution-selection interpretation (CoT activates training data where rigorous reasoning was performed) is the note's own inference layered onto the source's finding. The source is compatible with this interpretation but equally compatible with the alternative that CoT works by forcing step-by-step computation that reduces errors, regardless of which training data is activated. Claiming this is the distribution-selection effect ""observed directly"" overstates the evidential support."
grounding-alignment,1,1,2,commonplace-architecture.md,"The note says ""The installation architecture spec calls for `kb/types/` to hold global types"" and links to `commonplace-installation-architecture.md`. However, that linked note places global types at `types/` (repo root), NOT `kb/types/`. The installation architecture note's tree diagrams consistently show `types/` at the repo root (both for the commonplace repo itself and for installed projects). The architecture note's claim that ""the installation architecture spec calls for `kb/types/`"" misattributes the location, which undermines the subsequent argument for why `kb/types/` should be dropped — the source never proposed `kb/types/` in the first place; it proposed root-level `types/`."
Completeness -- Costs enumeration,1,0,0,llm-context-is-a-homoiconic-medium.md,"The three hazards (scoping failures, prompt injection, discoverability) miss a boundary case: **reliability of execution**. In Lisp, evaluating a homoiconic program produces deterministic results; in LLM context, the ""execution"" of instructions is probabilistic and interpretation-dependent (the note's own KB documents this as ""semantic underspecification"" in agentic-systems-interpret-underspecified-instructions.md). A homoiconic medium where ""programs"" are unreliably executed is qualitatively different from one where they execute deterministically. This hazard does not map cleanly to any of the three listed costs -- scoping failures are about contamination, prompt injection is about hostile data, discoverability is about opacity. Unreliable execution of the ""program"" side of the shared medium is a distinct cost of LLM homoiconicity that the traditional precedents do not share."
Completeness -- Definition,1,0,0,llm-context-is-a-homoiconic-medium.md,"The note defines homoiconicity as ""the medium used to express programs is the same medium used to express the data they operate on."" The classical definition of homoiconicity is narrower: programs are represented as data structures *of the language itself*, enabling programs to inspect and transform other programs structurally (e.g., Lisp code is made of cons cells that Lisp can traverse). In LLM context, natural language tokens are the shared representation, but an LLM cannot structurally traverse or transform instructions the way Lisp traverses s-expressions -- it processes them statistically. The note's analogy captures the ""shared medium"" aspect but elides the ""structural self-manipulation"" aspect that makes homoiconicity distinctive in programming languages. This is not a fatal flaw (the analogy is productive), but readers familiar with the PL concept may find the mapping looser than the note suggests."
Completeness / Dual-audience table,1,0,0,human-llm-differences-are-load-bearing-for-knowledge-system-design.md,"The five-row table (Reasoning, Completeness, Persistence, Navigation, Nuance) claims to enumerate the needs that differ between human and LLM readers, but the boundary case of **error recovery / self-correction** is missing. When a human reader misunderstands a passage, they can re-read, re-interpret, and draw on meta-cognitive awareness (""that didn't make sense, let me try again""). An LLM processes text in a single forward pass per generation and has no equivalent of self-directed re-reading. This is a qualitatively different dimension from Completeness or Persistence — it concerns how the reader handles confusion mid-document. The table also omits **context-window competition**: a human can hold the document in peripheral awareness while consulting another source, while an LLM must pay token cost for everything simultaneously loaded. This is related to Navigation but is really about concurrent access rather than routing. The table presents as exhaustive (it is the only enumeration in Reason 2) but covers five dimensions of a space that plausibly has more."
Completeness / Failure modes,1,0,0,human-llm-differences-are-load-bearing-for-knowledge-system-design.md,"The three failure modes (naive anthropomorphism, naive mechanism-ism, audience-blind documents) leave a gap for what might be called **naive universalism** — treating all human-LLM differences as equally important regardless of the specific task or document type. The note's own methodological claim (""evaluate each human convention individually"") implies that the relevance of differences is task-dependent, but none of the three failure modes captures the error of treating differences as uniformly load-bearing. A team could avoid all three named failures and still mis-prioritize by treating the Nuance difference as equally important for a routing table as for a methodology note. This case sits between the three enumerated items without mapping cleanly to any one."
Completeness / boundary case — relaxing,1,0,0,codification-and-relaxing-navigate-the-bitter-lesson-boundary.md,"The note defines relaxing as ""replacing a codified component with a learned or general-purpose one when scale makes that viable."" The examples given (edge detection relaxed to learned features, FlashAttention as re-codification) all involve replacement at the same level of abstraction. But a common real-world pattern is partial relaxing: loosening a strict spec into a softer constraint rather than wholesale replacement. For example, a rigid three-stage pipeline might not be entirely replaced by a learned system but instead have its stage boundaries made fuzzy or optional. The note frames codify/relax as a binary toggle (""replacing a codified component""), but the constraining note it links to describes a spectrum. The binary framing obscures the gradual relaxation that is probably more common in practice than wholesale replacement."
Completeness / boundary case: structure that hinders review,1,0,0,structured-output-is-easier-for-humans-to-review.md,"The note's title-claim is unqualified: structured output is easier for humans to review. Consider the boundary case of over-structured output — a document with 15 mandatory sections, heavy cross-referencing, and rigid templates. Compliance review of such documents is notoriously harder than reviewing a well-written narrative, because the reviewer must track whether content is in the right section, whether sections are consistent with each other, and whether the structure itself is masking gaps. The note acknowledges no boundary condition or qualifier. The companion note (structure-activates-higher-quality-training-distributions) explicitly notes that ""imposing structure can degrade quality,"" which would seem to apply here too — structure that degrades content quality could also degrade reviewability."
Completeness — Consistency oracle classification,1,0,0,reliability-dimensions-map-to-oracle-hardening-stages.md,"The table says consistency ""converts interactive oracle to hard oracle via repetition."" In the oracle-strength spectrum note, an interactive oracle is defined as one where ""you can ask for feedback"" (user edits, thumbs up/down, preference pairs). Repetition of the same task and checking same-input/same-output is not asking for feedback — it is closer to manufacturing a hard oracle from a stochastic process. The ""interactive"" label for the starting oracle is a stretch; the starting point is better described as ""no oracle"" or ""soft oracle"" (you don't know whether a single run's output is correct without running it again). The mapping elides what the pre-hardening state actually is."
"Completeness — Safety as ""already a hard oracle by design""",1,0,0,reliability-dimensions-map-to-oracle-hardening-stages.md,"The note claims safety ""is the only dimension that's already a hard oracle by design: either the failure is bounded or it isn't."" But Rabanser et al. define safety via compliance (S_comp) and harm severity (S_harm), computed using LLM-based judging. The source explicitly acknowledges this introduces ""its own reliability concerns"" (Section 6, Limitations). Furthermore, harm severity uses a graded scale (low = 0.25, medium = 0.5, high = 1.0) — this is a continuous score, not a binary gate. The note's characterization (""a gate, not a gradient"") contradicts the source's operationalization, which is a weighted product of violation probability and expected severity, i.e., a gradient."
Completeness — Three Timescales,1,0,0,deploy-time-learning-the-missing-middle.md,"The note claims exactly three timescales of adaptation. Boundary case: **retrieval-augmented generation (RAG) with a continuously updated knowledge store**. A system with a vector database that is updated between sessions but not by the agent itself (e.g., by an ETL pipeline) adapts durably — the behavior changes across sessions — but not through ""symbolic artifacts"" in the sense the note intends (inspectable, diffable, testable). The note's substrate description for deploy-time learning (""symbolic artifacts ... durable, inspectable, and verifiable"") does not clearly cover opaque embedding stores or continuously updated retrieval corpora where the adaptation is durable but not fully inspectable or diffable. The linked note [learning-substrates-backends-and-artifact-forms](kb/notes/learning-substrates-backends-and-artifact-forms.md) acknowledges vector stores as a backend, but the three-timescale table in this note ties deploy-time learning specifically to properties (inspectable, verifiable) that vector-store-backed adaptation may not fully satisfy. This boundary case sits uncomfortably between ""training"" (opaque, durable) and the note's ""deploy-time learning"" (inspectable, durable)."
Completeness — Two Mechanisms,1,0,0,deploy-time-learning-the-missing-middle.md,"The note claims deploy-time learning operates through exactly ""two mechanisms — constraining and distillation."" Boundary case: **curation and deletion** — removing a note, deprecating a prompt, or pruning a skill library. The constraining note defines constraining as ""narrowing the interpretation space,"" and distillation is ""compressing knowledge so a consumer can act on it within bounded context."" Deleting an obsolete artifact changes future system behavior durably but is neither narrowing an interpretation space nor compressing knowledge. It is closer to forgetting or pruning. One could stretch ""constraining"" to cover deletion (the space of loaded artifacts narrows), but that strains the definition, which is about narrowing *interpretations of a spec*, not narrowing the artifact inventory. Similarly, reorganization (moving artifacts between directories, changing routing) changes behavior without obviously being either mechanism."
Completeness — boundary between silent disambiguation and delegated discretion,1,0,0,silent-disambiguation-is-the-semantic-analogue-of-tool-fallback.md,"The note draws a clean boundary: silent disambiguation excludes ""specs that explicitly delegate discretion."" But many real specs occupy the gray zone between explicit delegation and unacknowledged ambiguity. Consider: ""Refactor this for readability"" — the spec acknowledges that multiple approaches exist (implicit delegation), yet the user may still have a strong preference they failed to articulate. The agent picks ""extract helper functions"" when the user wanted ""rename variables."" Is this silent disambiguation (the spec didn't acknowledge the branch) or delegated discretion (the spec said ""readability,"" implicitly allowing agent choice)? The note's two-way partition (disambiguation vs. delegation) may need a third category: specs that delegate some discretion but underspecify the bounds of that delegation. The current framing could force ambiguous cases into one bin or the other without principled criteria for the classification."
Completeness — boundary case: implicit-warrant notes,1,0,0,claim-notes-should-use-toulmin-derived-sections-for-structured-argument.md,"The note advocates for an Evidence section that separates ""checkable fact"" from reasoning. Boundary case: many KB notes derive their claims from architectural reasoning or conceptual analysis rather than checkable observations (e.g., ""If the type were called `claim`, an LLM reading 'titles should be claims' would infer every note needs `type: claim`"" — this note's own reasoning is a thought experiment, not checkable evidence). When Evidence sections are filled with reasoning-from-principles rather than verifiable observations, the Evidence/Reasoning split collapses. The note's own Caveats section partly acknowledges this with the ""flow problems"" caveat, but does not address the more specific issue that the Evidence/Reasoning distinction may not carve nature at its joints for conceptual-argument notes."
Completeness — boundary case: inspectable but unstructured artifacts,1,0,0,vibe-noting.md,"The note claims ""Most knowledge work doesn't produce artifacts like that"" (stored, structured, inspectable). But many knowledge workers do produce durable artifacts — academic papers, design documents, policy memos, legal briefs. These are stored and inspectable. What they typically lack is *linkage and machine-navigable structure*, not inspectability per se. The contrast is drawn too sharply: the real gap the KB fills is not ""artifacts vs. no artifacts"" but ""linked, structured, navigable artifacts vs. isolated documents."" The note partly addresses this with ""documents nobody can navigate"" but then re-frames the KB contribution as adding ""structured, linked, readable artifacts"" as if the problem were absence rather than disconnection."
Completeness — boundary case: structured-claim portability,1,0,0,directory-scoped-types-are-cheaper-than-global-types.md,"The note claims ""The types that genuinely move are text and note"" and that everything else is directory-local. But `structured-claim` is explicitly designed to work across directories. The note's own linked source (document-types-should-be-verifiable.md) says traits and types are directory-independent, and the orthogonality note (referenced in this note's ""What moves between directories?"" section) argued that ""a structured-claim works identically in notes/, claw-design/, or anywhere."" The note acknowledges this counter-argument but only as a quote it then dismisses with ""But in practice, how many documents actually move?"" This is a rhetorical dismissal rather than a refutation. If structured-claim is genuinely portable (which the note concedes), then the claim that only text and note are portable is false by the note's own admission. The open questions section partially acknowledges this (""Does structured-claim stay global?"") but the body's assertion is stated categorically."
Completeness — boundary cases for test 3,1,0,0,reverse-compression-is-the-failure-mode-where-llm-output-expands-without-adding-information.md,"The three-test enumeration dismisses test 2 (""novelty relative to the model, not usefulness to the reader"") as ""well-defined but wrong."" However, the note's own definition of reverse-compression in its final heuristic asks whether the note ""make[s] structure accessible that wasn't before"" for ""an agent or human with access to this KB and general training knowledge."" When the intended reader IS an LLM agent (the primary consumer per the KB's own framing), tests 2 and 3 substantially converge — what's derivable from training knowledge and what's already accessible to a model-reader are nearly the same thing. The note does not address this convergence, which weakens the claimed sharp distinction between tests 2 and 3. The gap matters most for the human-reader case, but the note does not restrict scope to human readers."
Completeness — boundary zone,1,0,0,ephemerality-is-safe-where-embedded-operational-knowledge-has-low-reach.md,"The three-zone taxonomy (low-reach, boundary, high-reach) is presented as a ""cleaner prediction,"" but the boundary zone definition — ""tools that start local but pick up users, persistent state, integrations, or compliance obligations"" — is essentially a restatement of Kirsch's original barriers (state, integrations, interface stability, auditability) rather than a prediction derived from reach. The reach framing is supposed to improve on listing barriers, but the boundary zone reverts to listing the same barriers. This undermines the claim that reach provides a ""cleaner prediction"" than Kirsch's original categories."
Completeness — claim 7,1,0,0,execution-indeterminism-is-a-property-of-the-sampling-process.md,"The note defines indeterminism as ""variation in how a chosen interpretation is executed, not variation in which interpretation is chosen."" The parent note (agentic-systems-interpret-underspecified-instructions) explicitly acknowledges the two are not fully separable: ""The two are not entirely orthogonal — indeterminism is the mechanism by which different interpretations get surfaced across runs."" Temperature changes can shift which interpretation the model selects (the parent note: ""Lowering temperature concentrates the sampling distribution — which can change *which interpretation* you see, not just how noisily you see it""). The reviewed note's clean separation of ""how"" vs. ""which"" overstates the boundary. At non-zero temperature, a single run's sampling path can cross interpretation boundaries — the variation is not purely within one interpretation but can surface different interpretations. The note's framing as pure ""engineering noise"" is a useful simplification but elides the coupling the parent note takes care to acknowledge."
Completeness — cost asymmetry,1,0,0,brainstorming-how-reach-informs-kb-design.md,"The claim that cost is ""inversely related to reach"" presents only two cases (low-reach mechanical changes, high-reach silent breakage). The medium-reach case is missing. Medium-reach changes (e.g., revising ""title-as-claim"" from a convention to a different approach) would affect many notes in ways that are neither purely mechanical nor fully invisible — some links would break syntactically and others would break semantically. This middle case would test whether the inverse relationship is really a smooth gradient or a bimodal distribution, and the note doesn't address it."
Completeness — decorrelation strategies,1,0,0,error-correction-works-above-chance-oracles-with-decorrelated-checks.md,"The four decorrelation strategies (vary prompt, vary model, metamorphic transformations, orthogonal check dimensions) are presented as a list without an explicit claim of exhaustiveness, but the framing (""Decorrelation strategies must actively disrupt the sources of correlation"") implies coverage of the strategy space. A missing strategy: **varying the decision threshold or acceptance criterion**. If the oracle's accept/reject boundary is shifted (e.g., stricter criteria on some checks, looser on others), different checks will make errors on different instances even with the same model and prompt. This is a standard technique in ensemble methods (diversity via decision boundary perturbation). It sits between ""vary the prompt"" and ""orthogonal check dimensions"" but is not clearly covered by either. The note's list is reasonable as a practical guide but may mislead readers into thinking decorrelation requires changing the input or the model, when changing the criterion also works."
Completeness — initiative gradient,1,0,0,knowledge-storage-does-not-imply-contextual-activation.md,"The initiative gradient (artifact > operational > systemic) is presented as a consistent empirical finding, but the note's own evidence source (the-bug-that-shipped) tests only coding/deployment scenarios. The note claims ""this gradient appears consistent across domains, though the specific failure families differ"" but provides no evidence or argument for cross-domain consistency. The open questions section asks whether it holds in non-technical domains, which is appropriate, but the body text's ""appears consistent"" asserts more than the evidence supports. The gradient is plausible as a hypothesis about cue proximity, but it could invert in domains where systemic concerns are more salient than artifact-level ones — e.g., in legal or medical contexts where practitioners are trained to think systemically first."
Completeness — reach spectrum,1,0,0,brainstorming-how-reach-informs-kb-design.md,"The three-level spectrum (high/medium/low) maps cleanly to the examples given but the note does not define the criterion that separates the levels. The examples suggest ""scope of applicability"" (across agent systems / across a class of KBs / this installation), but this is never stated as a definition. As a result, the boundary between medium and low is especially porous: ""short composable notes"" is classified as medium-reach, but one could argue it applies to any knowledge system that needs to compose under bounded context (making it high-reach), or that it is a specific architectural choice for file-based KBs (making it low-reach). Without a grounding definition, the spectrum is illustrative rather than analytic."
"Completeness — the ""identical"" observability claim is stronger than the analogy supports",1,0,0,silent-disambiguation-is-the-semantic-analogue-of-tool-fallback.md,"The note claims the observability failure is ""identical"" between tool fallback and semantic disambiguation. But the tool-fallback note (apparent-success-is-an-unreliable-health-signal) describes a three-way outcome compression (primary-path success / fallback success / hard failure) and proposes two concrete remedies (synchronous reporting and asynchronous log observation). Semantic disambiguation has a structurally different detection problem: tool failures leave traces in logs (error messages, changed tool calls), while semantic disambiguation leaves no operational trace at all — the agent simply proceeds as if the spec were unambiguous. ""Identical"" observability failure would mean the same detection mechanisms apply, but the tool-fallback note's remedies (log scanning, degraded-execution reporting) presuppose a detectable event. Silent semantic choices may require different mechanisms (e.g., requiring the agent to narrate interpretation choices, as the Augment bidirectional spec does). The analogy holds at the structural level (success hides a gap), but ""identical"" overstates the operational similarity."
