note,review_type,level,check,finding
a-functioning-kb-needs-a-workshop-layer-not-just-a-library.md,prose-review,CLEAN,Unbridged cross-domain evidence,"The note does not import empirical findings from external domains. Internal cross-references (Tulving taxonomy, spec mining) link to other KB notes rather than claiming cross-domain transfer. The Tulving reference in open questions is self-questioned (""may be decorative rather than load-bearing""), which is appropriate self-policing."
a-functioning-kb-needs-a-workshop-layer-not-just-a-library.md,prose-review,CLEAN,Redundant restatement,"Each section opens with its own contribution. ""Temporal document types"" transitions in one sentence (""Tasks aren't the only workshop documents"") then moves to new content. ""Bridges between the layers"" opens with a new claim (""bidirectional""). No section re-explains what a prior section established."
a-functioning-kb-needs-a-workshop-layer-not-just-a-library.md,prose-review,CLEAN,Anthropomorphic framing,"The note discusses knowledge-base architecture, not model cognition. Metaphorical language (""consume value,"" ""produce outcomes"") is standard systems-design vocabulary, not anthropomorphism applied to an AI system."
a-functioning-kb-needs-a-workshop-layer-not-just-a-library.md,semantic-review,WARN,Completeness,"The library/workshop binary may not be exhaustive. A plausible boundary case is a **living checklist or runbook** -- a document that is used repeatedly during work (consumed like a workshop document) but also refined in place over time (accumulated like a library document). The note's table forces a choice: value trajectory is either ""accumulates"" or ""consumed."" A checklist that gets better each time it is used occupies both columns simultaneously. The note's own example of ""task templates that pull in relevant library content"" hints at this hybrid but classifies it as a composition bridge rather than acknowledging it as a document that is genuinely both library and workshop."
a-functioning-kb-needs-a-workshop-layer-not-just-a-library.md,semantic-review,WARN,Completeness,"The enumeration of five temporal document types (decision threads, experiments/probes, queues/inboxes, reviews, session logs) is presented with ""would likely need"" hedging, but a prominent boundary case is missing: **collaborative threads or conversations** -- multi-turn exchanges between human and agent (or agent and agent) that have state, produce decisions, and either get archived or extracted. These are distinct from session logs (which the note frames as ""what happened in a work session"") because a collaborative thread's purpose is to reach a decision or produce an artifact, not to record what happened. Given that this KB is operated by agents in conversation, this omission is notable."
a-functioning-kb-needs-a-workshop-layer-not-just-a-library.md,semantic-review,WARN,Grounding alignment,"The note claims the type system is ""text, note, structured-claim, spec, adr"" and calls it a ""maturity ladder."" The linked document-classification.md lists seven base types (text, note, spec, review, index, adr, structured-claim), not five. The note omits `review` and `index`. This matters because `review` -- a type that ""examines specific existing code; has Findings; dated"" -- has temporal, lifecycle-like properties (it is dated, its findings may become stale). Omitting it from the library types weakens the claim that the existing type system is purely a permanence ladder; `review` is a counter-example that sits closer to workshop territory even within the current library hierarchy."
a-functioning-kb-needs-a-workshop-layer-not-just-a-library.md,semantic-review,INFO,Completeness,"The simplest possible instance of a workshop document is a single to-do item (""fix typo in X""). This maps cleanly to the task type, but it strains the six-property framework: a trivial task has no meaningful ""state machine"" (it goes from not-done to done), no ""directional dependencies,"" and no meaningful ""value consumption."" The framework is designed for the complex case and may over-formalize simple workshop items. This is not necessarily a problem -- frameworks often target the interesting cases -- but the note doesn't acknowledge that many workshop items are degenerate instances of the model."
a-functioning-kb-needs-a-workshop-layer-not-just-a-library.md,semantic-review,INFO,Grounding alignment,"The note claims the wikiwiki principle ""animates this ladder"" and links to the wikiwiki principle note. The wikiwiki principle note confirms this: it describes ""text -> note -> structured-claim"" as an in-place refinement ladder. However, the wikiwiki note also explicitly adds a caveat (in its own Caveats section) that ""the ladder is a library pattern"" and that workshop documents ""follow the opposite trajectory."" This bidirectional acknowledgment is clean -- both notes agree. Flagging as INFO only because the workshop note's phrasing (""animates this ladder"") could be read as if the wikiwiki principle covers the entire KB, when both notes agree it specifically does not cover workshop documents."
a-functioning-kb-needs-a-workshop-layer-not-just-a-library.md,semantic-review,INFO,Grounding alignment,"The note references spec mining as the ""deterministic end"" of extraction bridges. The spec-mining-as-codification.md note describes spec mining as ""extracting deterministic verifiers from observed stochastic behavior."" This is accurately attributed. However, the workshop note extends the concept: it says extraction bridges ""also produce non-deterministic library artifacts like notes, ADR drafts, and judgment precedents."" The spec mining note does not discuss non-deterministic extraction at all -- it is exclusively about deterministic codification. The extension is reasonable (the workshop note is explicitly going beyond spec mining), but readers could mistake the linked source as grounding the broader claim about non-deterministic extraction when it only grounds the deterministic subset."
a-functioning-kb-needs-a-workshop-layer-not-just-a-library.md,semantic-review,INFO,Grounding alignment,"The note references the three-space agent memory model and says ""workshop documents map roughly to the 'operational space.'"" The three-space note maps operational space to ""Friction observations, methodology, session artifacts"" with ""High churn."" This does align with workshop documents' lifecycle properties. But the three-space note's operational space also includes ""methodology"" -- a category that feels more library-like (methodology accumulates and refines). The mapping is loose rather than precise."
a-functioning-kb-needs-a-workshop-layer-not-just-a-library.md,semantic-review,INFO,Internal consistency,"The note says in ""Current state of the gap"" that the task system ""lives entirely outside the KB"" with ""no document type in the classification hierarchy."" But in the opening paragraph, it uses tasks as the primary example of workshop documents to argue for expanding the KB. If tasks already work ""adequately with their own conventions"" (as the note concedes), the argument for a workshop layer rests on the claim that *other* temporal types (decision threads, experiments, etc.) will also be needed. The note acknowledges this (""this is fine for now"") but the tension between ""tasks work fine outside"" and ""the KB needs a workshop layer"" is somewhat unresolved -- the argument depends on projected future needs rather than demonstrated current pain."
a-functioning-kb-needs-a-workshop-layer-not-just-a-library.md,semantic-review,CLEAN,Internal consistency,"The library/workshop distinction is used consistently throughout the note. Library is always associated with accumulation, permanence, and bidirectional links; workshop is always associated with consumption, expiration, and directional dependencies. No definition drift detected."
a-functioning-kb-needs-a-workshop-layer-not-just-a-library.md,semantic-review,CLEAN,Internal consistency,"The compressed summary (the description field: ""the current type system models permanent knowledge (library) but not in-flight work with state machines, dependencies, and expiration (workshop)"") faithfully represents the body. It mentions both layers, correctly identifies the gap, and names the key workshop properties (state machines, dependencies, expiration)."
a-functioning-kb-needs-a-workshop-layer-not-just-a-library.md,semantic-review,CLEAN,Grounding alignment,"The note's reference to the claw-learning note is accurate. That note does argue the KB needs ""action-oriented knowledge types (preferences, procedures, precedents, voice),"" and the workshop note's claim that ""workshop documents are precisely the kind of action-oriented artifacts that produce those knowledge types"" is a reasonable inference that the claw-learning note itself endorses in its own Relevant Notes section."
a-functioning-kb-needs-a-workshop-layer-not-just-a-library.md,semantic-review,CLEAN,Grounding alignment,"The note's reference to why-directories-despite-their-costs is used only in the open questions section to support the idea that ""local conventions per subsystem"" is the right default. This is a modest, accurately scoped reference."
a-functioning-kb-needs-a-workshop-layer-not-just-a-library.md,semantic-review,CLEAN,Internal consistency,"The open questions section is genuinely open -- it does not smuggle in conclusions that contradict the body. The suggestion that the Tulving mapping ""may be decorative"" is consistent with the body's cautious phrasing (""map roughly to the 'operational space'"")."
a-good-agentic-kb-maximizes-contextual-competence-through-discoverable-composable-trustworthy-knowledge.md,prose-review,WARN,Confidence miscalibration,"The note introduces multiple original frameworks — the three-property taxonomy (discoverable/composable/trustworthy), the dependency ordering among them, the five-operation model (accumulation/constraining/distillation/discovery/pruning), and the primary/secondary property mappings — all presented with assertive language (""it needs three properties,"" ""Composability depends on the other two,"" ""Constraining primarily improves trustworthiness""). These are the note's own constructions, not cited frameworks, yet the prose reads as established theory. The note is marked `status: seedling`, which creates a further mismatch: the status signals immaturity while the prose signals settled conclusions. Phrases like ""a plausible decomposition"" or ""one way to organize this"" would better match the epistemic status of an original theoretical synthesis that hasn't been tested."
a-good-agentic-kb-maximizes-contextual-competence-through-discoverable-composable-trustworthy-knowledge.md,prose-review,WARN,Proportion mismatch,"The title foregrounds three properties (discoverable, composable, trustworthy) as the central claim, but the ""Three properties"" section (lines 18-28) gives roughly equal treatment to all three in compact paragraph form, while the ""Accumulation and four operations"" section (lines 30-56) and ""Reach"" section (lines 58-81) are each substantially longer and more developed. The operations and reach concepts receive more analytical depth — worked examples, asymmetric analysis, a summary table, a tension subsection — than the three properties that the title claims are the core idea. The properties section establishes each in one dense paragraph; the operations and reach sections develop their ideas across multiple paragraphs with illustrative contrasts. The result is that a reader expecting a note primarily about the three properties finds a note primarily about operations and reach."
a-good-agentic-kb-maximizes-contextual-competence-through-discoverable-composable-trustworthy-knowledge.md,prose-review,INFO,Anthropomorphic framing,"Line 62: ""A gene 'knows' how to build an eye"" — the scare quotes signal awareness that this is metaphorical, and it is Deutsch's own phrasing, so it is not a misattribution of agency. However, the note elsewhere uses ""the agent encounters,"" ""the agent retrieves a note but can't use it,"" and ""the agent loads a note but can't trust its claims,"" which attribute agency and judgment to the agent. These are borderline — ""agent"" is a term of art that conventionally implies agency — but ""can't trust"" in particular implies a judgment capacity that may overstate what LLM-based agents actually do. Worth a second look to confirm this is the intended framing."
a-good-agentic-kb-maximizes-contextual-competence-through-discoverable-composable-trustworthy-knowledge.md,prose-review,INFO,Source residue,"Line 73: ""Convergence evidence (Thalo independently building a compiler for knowledge management) suggests the reach is real."" The Thalo reference assumes the reader knows what Thalo is and why its convergence matters. Within the note's claimed generality (theory of agentic KBs), a single system-specific reference used as evidence without explanation reads as residue from the related-systems review work. The note links to the review, but the inline mention does no work for a reader who hasn't read it."
a-good-agentic-kb-maximizes-contextual-competence-through-discoverable-composable-trustworthy-knowledge.md,prose-review,CLEAN,Pseudo-formalism,"The note uses no formal notation, equations, or variable-based decompositions. The summary table (lines 48-54) is genuinely useful — it compresses five operation descriptions into a scannable reference. The dependency structure claim (line 28) is stated in prose, not formalized. No decorative formalism detected."
a-good-agentic-kb-maximizes-contextual-competence-through-discoverable-composable-trustworthy-knowledge.md,prose-review,CLEAN,Orphan references,"All specific claims are either linked to source notes or are clearly the note's own constructions. David Deutsch is cited via link to the first-principles note. The ""confidence 0.85"" in line 87 is part of a constructed example, not an empirical claim. The ""15 methodology notes"" in line 52 is illustrative, not a specific count requiring citation. No orphan empirical claims found."
a-good-agentic-kb-maximizes-contextual-competence-through-discoverable-composable-trustworthy-knowledge.md,prose-review,CLEAN,Unbridged cross-domain evidence,"The Deutsch examples (gene/eye, Newton's optics) on line 62 are used as illustrations of a concept (reach), not as evidence transferred across domains. The note does not cite empirical studies from one domain and apply them to another without bridging. The sift-kg and Siftly comparisons (lines 85-91) are used as contrasting cases, with the bridge explicitly stated: both produce adaptive rather than explanatory knowledge. No unbridged transfers found."
a-good-agentic-kb-maximizes-contextual-competence-through-discoverable-composable-trustworthy-knowledge.md,prose-review,CLEAN,Redundant restatement,"Section openings advance the argument rather than restating prior conclusions. ""The KB doesn't stay good automatically"" (line 32) transitions from properties to operations. ""The three properties tell you what knowledge must be..."" (line 60) frames the gap that reach fills. ""The reviews of sift-kg and Siftly sharpen this theory by contrast"" (line 85) opens a new analytical move. ""The theory, compressed"" (line 94) is an explicit compression, not restatement. No redundant restatement detected."
a-good-agentic-kb-maximizes-contextual-competence-through-discoverable-composable-trustworthy-knowledge.md,semantic-review,WARN,Completeness,"The three properties (discoverable, composable, trustworthy) claim to be what knowledge needs ""for knowledge to improve an agent's actions under bounded context."" Boundary case: **timeliness/currency**. The note itself acknowledges that ""a reviewed, validated, `status: current` note can become wrong because the world changed"" and calls currency ""a maintenance concern that the status ladder signals but doesn't enforce."" But currency is not merely a maintenance detail — stale knowledge that passes all three property checks (it is findable, it composes with other notes, it was once trustworthy) actively degrades competence. The note treats currency as a sub-concern of trustworthiness, but a stale note that still *looks* trustworthy (all structural signals intact) is the most dangerous failure mode. This suggests either trustworthiness needs to be defined more broadly (to explicitly include currency) or currency is a fourth property. The note notices this gap but classifies it as out of scope rather than resolving it."
a-good-agentic-kb-maximizes-contextual-competence-through-discoverable-composable-trustworthy-knowledge.md,semantic-review,WARN,Completeness,"The dependency structure — ""Discoverability is the foundation... Trustworthiness depends on discoverability... Composability depends on the other two"" — claims a linear dependency chain. Boundary case: **a trustworthy note that is hard to discover.** A well-structured, validated, correct note buried in the wrong directory with a poor description is trustworthy but not discoverable. Its trustworthiness exists independently of whether anyone can find it. The note's claim that ""a note that can't be found can't be challenged, corrected, or kept current"" conflates the *maintenance* of trustworthiness with trustworthiness itself. A note's claims are either well-grounded or they aren't, regardless of discoverability. The dependency may hold for *sustained* trustworthiness over time but not for trustworthiness as an intrinsic property of the artifact."
a-good-agentic-kb-maximizes-contextual-competence-through-discoverable-composable-trustworthy-knowledge.md,semantic-review,WARN,Grounding — domain coverage,"The note cites [constraining-and-distillation-both-trade-generality-for-compound] to ground the claim that constraining and distillation ""trade generality for the reliability+speed+cost compound."" The source note explicitly covers constraining and distillation as the two mechanisms that make this trade-off. However, the reviewed note adds **pruning** and **discovery** as third and fourth operations — neither appears in the source. The source's two-mechanism framework is silently promoted to a four-operation (plus accumulation) framework. Readers following the link may expect the source to ground the full operation set, but it only grounds two of the four transformation operations."
a-good-agentic-kb-maximizes-contextual-competence-through-discoverable-composable-trustworthy-knowledge.md,semantic-review,INFO,Completeness,"The five operations (accumulation, constraining, distillation, discovery, pruning) claim to cover how a KB ""improves through learning."" Boundary case: **reorganization/refactoring** — changing the structure of existing knowledge (splitting a note, merging two notes, moving a note to a different area, renaming for better discoverability) without constraining, distilling, discovering, or pruning it. Reorganization changes the *arrangement* without changing the *content*. It could arguably be absorbed into ""distillation"" (compression) or treated as a sub-operation of several. But a pure structural refactor (renaming a file for better discoverability, fixing a tag) is none of the five — it is maintenance of the properties rather than a learning operation. This may be intentional scoping (the note is about learning operations, not maintenance operations), but the boundary is worth flagging because the note claims ""all five must operate continuously"" as if they exhaust what the KB needs."
a-good-agentic-kb-maximizes-contextual-competence-through-discoverable-composable-trustworthy-knowledge.md,semantic-review,INFO,Completeness,"Boundary case for the three properties: **actionability** — knowledge that is discoverable, composable, and trustworthy but does not actually help the agent decide what to do. A note that accurately explains why something is the case, composes with other notes, and is easy to find may still leave the agent unable to act because it lacks a prescriptive element. The note's own ""Tension: reach vs action value"" section partially addresses this by noting that ""an action-oriented system needs preferences, procedures, and judgment precedents — knowledge types that are inherently low-reach."" But actionability as a property of individual notes (does this note help me act?) is not quite captured by any of the three properties, which are about findability, combinability, and reliability."
a-good-agentic-kb-maximizes-contextual-competence-through-discoverable-composable-trustworthy-knowledge.md,semantic-review,INFO,Grounding — vocabulary,"The note says ""Distillation primarily improves **discoverability**: a distilled skill fits in one context load where fifteen methodology notes wouldn't."" The source note [constraining-and-distillation-both-trade-generality-for-compound] describes distillation as producing compound gains in ""speed, cost"" and ""reliability"" — it does not use the word ""discoverability"" or frame distillation's primary contribution as improving discoverability. The reviewed note's mapping of distillation → discoverability is the note's own theoretical move, not a direct attribution from the source. The inference is reasonable (fitting in one context load does improve practical findability), but the source frames the benefit differently (as compound gain, not as a property improvement)."
a-good-agentic-kb-maximizes-contextual-competence-through-discoverable-composable-trustworthy-knowledge.md,semantic-review,INFO,Grounding — inference,"The note claims ""Constraining preserves reach but doesn't create it. A codified script is no more explanatory than the prompt it replaced — just more reliable."" The source [first-principles-reasoning-selects-for-explanatory-reach-over-adaptive-fit] discusses reach as a property of explanatory knowledge but does not explicitly address whether constraining preserves or destroys reach. The claim is plausible (constraining changes the medium, not the explanation), but it is the note's own inference, not grounded in the cited source."
a-good-agentic-kb-maximizes-contextual-competence-through-discoverable-composable-trustworthy-knowledge.md,semantic-review,INFO,Internal consistency,"The compressed summary says ""Four operations transform accumulated knowledge: constraining improves trustworthiness, distillation improves discoverability, discovery improves composability and produces the highest-reach items to accumulate, and pruning removes stale knowledge before it erodes trust."" This accurately reflects the body but omits the secondary property improvements that the body carefully enumerates (constraining secondarily improves discoverability, distillation secondarily improves composability, etc.). The compression is faithful to the primary mappings but loses the cross-cutting effects, which slightly overstates the clean one-operation-one-property mapping."
a-good-agentic-kb-maximizes-contextual-competence-through-discoverable-composable-trustworthy-knowledge.md,semantic-review,CLEAN,Grounding — attribution,"The note cites [learning-is-not-only-about-generality] for ""accumulation as the most basic learning operation"" and for the capacity decomposition into generality vs compound. The source says exactly this: ""Accumulation — adding knowledge to the store — is itself a learning operation, and the most basic one"" and explicitly defines the generality-vs-compound decomposition. Attribution is accurate."
a-good-agentic-kb-maximizes-contextual-competence-through-discoverable-composable-trustworthy-knowledge.md,semantic-review,CLEAN,Grounding — attribution,"The note cites [first-principles-reasoning-selects-for-explanatory-reach-over-adaptive-fit] for Deutsch's adaptive/explanatory distinction and the concept of reach. The source accurately covers both: ""Adaptive information — structures that help a system cope with the world"" vs ""Explanatory knowledge — says why the world works a certain way"" with ""The distinguishing property is reach."" Attribution is accurate."
a-good-agentic-kb-maximizes-contextual-competence-through-discoverable-composable-trustworthy-knowledge.md,semantic-review,CLEAN,Grounding — attribution,"The note cites [discovery-is-seeing-the-particular-as-an-instance-of-the-general] for the dual structure of discovery and the three depths. The source confirms: ""You posit something general... You simultaneously recognize that things you already knew are instances of it"" and the three-depth table (shared feature / shared structure / generative model). Attribution is accurate."
a-good-agentic-kb-maximizes-contextual-competence-through-discoverable-composable-trustworthy-knowledge.md,semantic-review,CLEAN,Grounding — attribution,"The note cites [claw-learning-is-broader-than-retrieval] for ""contextual competence"" as the criterion. The source explicitly introduces this term: ""The common thread isn't question-answering — it's contextual competence: the ability to act appropriately given accumulated knowledge about the domain, the user, and the project."" Attribution is accurate."
a-good-agentic-kb-maximizes-contextual-competence-through-discoverable-composable-trustworthy-knowledge.md,semantic-review,CLEAN,Internal consistency,"The body uses ""three properties"" and ""four operations"" (plus accumulation) consistently throughout. The table in the operations section correctly maps all five. The ""Reach"" section correctly cross-references the operations with reach effects. No contradictions found between sections."
a-good-agentic-kb-maximizes-contextual-competence-through-discoverable-composable-trustworthy-knowledge.md,semantic-review,CLEAN,Internal consistency,"The note's treatment of the reach-vs-action-value tension is internally consistent — it acknowledges the tension, gives two reasons it is ""real but not a contradiction,"" and does not claim to fully resolve it. The body and summary are aligned on this point."
a-knowledge-base-should-support-fluid-resolution-switching.md,prose-review,WARN,Confidence miscalibration,"The four mechanism-mapping paragraphs assert the note's own reframing as observation rather than interpretation. ""Titles vs bodies are a resolution pair,"" ""Indexes and notes operate at different resolutions,"" ""Link semantics encode zoom direction,"" ""Progressive disclosure is a resolution gradient"" are all the note's own constructions — recastings of existing KB mechanisms under a new lens — but they read as discovered facts. The opening sentence (""Good thinking is not staying at one level of abstraction — it is constantly moving between levels"") likewise asserts a contested claim about cognition as settled."
a-knowledge-base-should-support-fluid-resolution-switching.md,prose-review,INFO,Source residue,"The note attributes its origin to ""a social media post on 'The Art of Good Thinking: Moving Between Levels.'"" The opening paragraph's cadence — ""Start broad to see the landscape, narrow in when something is interesting, zoom back out to check bearings, dive deep into the load-bearing detail, then abstract up to see the pattern"" — reads as closely tracking the source's rhetorical structure. The ""landscape"" and ""territory"" metaphors are natural enough in this context, but the five-step sequence (broad, narrow, back out, deep, abstract up) may be carrying over the source's specific decomposition without examining whether five steps is the right number or just the source's framing choice."
a-knowledge-base-should-support-fluid-resolution-switching.md,prose-review,INFO,Unbridged cross-domain evidence,"The source and opening paragraph describe resolution-switching as a property of ""good thinking"" — a human cognitive claim. The note then applies this to KB design for agents (""An agent traversing this hierarchy is adjusting resolution"") without bridging why a pattern of human cognition transfers to agent navigation. The implicit assumption is that agent reading benefits from the same abstraction-level movement that human thinking does, but this is not stated."
a-knowledge-base-should-support-fluid-resolution-switching.md,prose-review,CLEAN,Pseudo-formalism,"No formal notation, variables, or equations. The note argues entirely in prose, which is appropriate for a framing note."
a-knowledge-base-should-support-fluid-resolution-switching.md,prose-review,CLEAN,Proportion mismatch,"The title's core claim (KB should support fluid resolution-switching) is developed through four mechanism-mapping paragraphs, a dedicated evaluative-criterion section with concrete symptoms, and a connection-to-discovery section. The mechanism-mapping is the most developed section, which is proportionate — it carries the evidence that the framing is useful. The evaluative criterion section, which introduces the actionable takeaway, is adequately developed with four concrete symptoms."
a-knowledge-base-should-support-fluid-resolution-switching.md,prose-review,CLEAN,Orphan references,"No specific numbers, percentages, named studies, or unsourced empirical claims. All linked notes are internal KB references with explicit relationship semantics."
a-knowledge-base-should-support-fluid-resolution-switching.md,prose-review,CLEAN,Redundant restatement,"Each section opens with new content. ""The evaluative criterion"" introduces the quality measure. ""Connection to discovery"" introduces the link to a different note's framework. No section re-explains what a prior section already established."
a-knowledge-base-should-support-fluid-resolution-switching.md,prose-review,CLEAN,Anthropomorphic framing,"The note uses ""agent"" in the technical sense and attributes appropriate actions (""traversing,"" ""adjusting""). References to ""the reader"" and ""you"" are appropriate for a note about navigation. No language implying mental states or human-like cognition in models."
a-knowledge-base-should-support-fluid-resolution-switching.md,semantic-review,WARN,Completeness,"The note enumerates four mechanisms that serve resolution-switching (titles/bodies, indexes/notes, link semantics, progressive disclosure) and frames them as ""several mechanisms"" the KB ""already has."" However, the note's own description field and frontmatter mention `tags`, which provide a cross-cutting resolution layer not discussed. Tags group notes orthogonally to the index hierarchy and enable resolution switching along a different axis (thematic vs structural). A reader treating this list as comprehensive would miss an existing mechanism."
a-knowledge-base-should-support-fluid-resolution-switching.md,semantic-review,WARN,Completeness,"The four symptoms of poor resolution-switching (""Notes with no outbound links,"" ""Indexes with bare links,"" ""Topic-titled notes,"" ""Missing relationship articulation"") are presented as ""concrete symptoms"" but omit a plausible symptom implied by the note's own framework: notes with no *inbound* links. A note nobody links to is invisible from the zoomed-out view -- you can only reach it via search, which means the zoom-in path from indexes/other notes is broken. This is the converse of the first listed symptom (no outbound links = can't zoom out) but is not mentioned."
a-knowledge-base-should-support-fluid-resolution-switching.md,semantic-review,WARN,Grounding,"The note says ""Link semantics encode zoom direction"" and attributes directional meaning: ""'Since [X]' zooms into a foundation -- following it takes you deeper"" and ""'This extends [Y]' zooms out toward a generalization."" The linked source (link-strength-is-encoded-in-position-and-prose.md) does discuss ""since"" and ""extends"" as relationship words, but it frames them as *strength signals* and *role indicators* (premise vs structural vs tension), not as zoom directions. The source says ""since [X]"" indicates a premise link with strongest weight; it does not say anything about zooming in or out. The directional/spatial interpretation (zoom in, zoom out, shift laterally) is the note's own inference layered on top of the source's vocabulary. This is reasonable but could mislead a reader into thinking the zoom-direction framing comes from the link-strength note."
a-knowledge-base-should-support-fluid-resolution-switching.md,semantic-review,INFO,Completeness,"The note discusses descriptions only in passing (the progressive disclosure section mentions ""on-demand descriptions"" as a medium layer). The description field is arguably an intermediate resolution layer between title and body -- it gives more than the title but less than the full note. The instruction-specificity note explicitly places descriptions in the loading hierarchy. The resolution-switching note could be clearer about whether descriptions constitute a distinct resolution level or are subsumed by the title/body pair."
a-knowledge-base-should-support-fluid-resolution-switching.md,semantic-review,INFO,Completeness,"The note's boundary cases for ""resolution-switching"" are entirely about human-like reading navigation (zooming in, zooming out, following links). Search-based resolution switching -- where an agent adjusts query specificity (broad keyword vs narrow phrase) to control the resolution of results -- is not discussed. The two-kinds-of-navigation source does describe search as a distinct navigation mode, and the note acknowledges it (""search and index browsing are broad and orienting""), but search is only placed at one resolution level (broad). In practice, search can operate at varying resolutions depending on query specificity."
a-knowledge-base-should-support-fluid-resolution-switching.md,semantic-review,INFO,Grounding,"The note says ""This is the two kinds of navigation distinction: local link-following is narrow and contextual; search and index browsing are broad and orienting."" The source (two-kinds-of-navigation.md) does describe these two modes, but it frames indexes as sitting ""in between"" -- ""local navigation in form"" but functioning ""like a curated search result."" The note here groups indexes with search as ""broad and orienting,"" which flattens the source's three-tier framing (links / indexes-as-bridge / search) into a two-tier framing (narrow / broad). The simplification is not wrong but loses a nuance the source explicitly highlights."
a-knowledge-base-should-support-fluid-resolution-switching.md,semantic-review,INFO,Internal consistency,"The ""connection to discovery"" section says ""you can only see the particular as an instance of the general if you can move between the two levels."" This implies two levels. But the discovery source (discovery-is-seeing-the-particular-as-an-instance-of-the-general.md) describes three depths of abstraction (shared feature, shared structure, generative model), and the note itself discusses multiple levels throughout. The phrase ""the two levels"" appears to refer specifically to ""the particular"" and ""the general"" from the discovery note's title, which is accurate, but using ""two"" in a note that is otherwise about fluid movement across many levels creates a minor ambiguity."
