check,warn_count,info_count,clean_count
Grounding — SECI Mapping,1,0,0
Grounding — Simon,0,0,1
Grounding — Slate attribution,1,0,0
Grounding — Spec mining connection,0,0,1
Grounding — Toulmin warrant,0,0,1
Grounding — ablation section,0,0,1
Grounding — attribution,0,2,4
Grounding — attribution accuracy,0,0,2
Grounding — auto-injection alignment,0,0,1
Grounding — automating-kb-learning-is-an-open-problem.md,0,0,1
Grounding — bitter-lesson-boundary,0,0,1
Grounding — bitter-lesson-boundary note,0,0,1
Grounding — boundary-of-automation attribution,0,0,1
Grounding — bounded-context orchestration model,0,0,1
Grounding — changing-requirements note,0,0,1
Grounding — chat-history note,0,0,1
Grounding — claim 10,0,0,1
Grounding — claim 15,1,0,0
Grounding — claim count mismatch with document-classification.md,1,0,0
Grounding — codification,0,0,1
Grounding — codification-and-relaxing,0,0,1
Grounding — constraining trade-off note,0,0,1
Grounding — constraining.md,0,0,1
Grounding — context-efficiency note,0,0,1
Grounding — control-plane model,0,0,1
Grounding — deploy-time-learning note,0,0,1
Grounding — deployment claims,0,1,0
Grounding — diagnosis section,0,0,1
Grounding — discovery,0,0,1
Grounding — discovery note,0,0,2
Grounding — distillation note,0,0,2
Grounding — document-classification.md,0,0,1
Grounding — domain coverage,21,1,0
"Grounding — domain coverage, Rabanser et al.",1,0,0
Grounding — elicitation-requires-maintained-question-generation-systems,0,0,1
Grounding — error correction framework,0,0,1
Grounding — error-correction link,0,0,1
Grounding — evidence strength,0,1,0
Grounding — evolving-understanding note,0,0,1
Grounding — experiment report,0,0,1
Grounding — frontloading alignment,0,0,1
Grounding — hedging mismatch,0,1,0
Grounding — inference,0,1,0
Grounding — inference gap,0,1,0
Grounding — inference step,0,1,0
Grounding — inference validity,0,3,0
Grounding — information-value note,0,0,1
Grounding — installation architecture,0,0,1
Grounding — instruction-specificity-should-match-loading-frequency.md,0,0,1
Grounding — interpreter failure distinction,0,0,1
Grounding — learning-is-not-only-about-generality,0,0,1
Grounding — loading frequency,0,0,1
Grounding — oracle-strength-spectrum,0,0,3
Grounding — prompt ablation,0,1,0
Grounding — reach note,0,0,1
Grounding — reach section,0,0,1
Grounding — relationship semantics,0,0,1
Grounding — reverse-compression attribution,0,0,1
Grounding — scope,0,1,0
Grounding — scope mismatch,12,1,0
Grounding — scope mismatch with why-directories-despite-their-costs.md,1,0,0
"Grounding — scope mismatch, Ma et al.",1,0,0
Grounding — scoping note alignment,0,0,1
Grounding — scoping note sub-agents,0,0,1
Grounding — source ingest alignment,0,0,1
Grounding — spec-mining note,0,0,1
Grounding — specification-strategy link,0,0,1
Grounding — stagnation evidence,0,0,1
Grounding — staleness note cross-reference,0,0,1
Grounding — testability claim,0,1,0
Grounding — text testing framework,0,0,1
Grounding — the-bug-that-shipped,0,1,1
Grounding — tool-fallback analogy,0,0,1
Grounding — typed-callables alignment,0,0,1
Grounding — underspecification foundation,0,0,1
Grounding — underspecification note alignment,0,0,1
Grounding — unit testing link,0,0,1
Grounding — verification section,0,0,1
Grounding — vocabulary,0,12,0
Grounding — vocabulary mismatch,0,4,0
Grounding — vocabulary vs. ontology,0,1,0
Grounding — what-works,0,0,1
Grounding — workshop layer note,0,0,1
Grounding — workshop note,0,0,1
Grounding/Attribution,1,0,0
Grounding/Domain,1,2,0
Grounding/Domain coverage,2,0,0
Grounding/Inference,0,1,0
Grounding/attribution,0,1,0
Grounding/domain coverage,1,0,0
Grounding/domain-coverage,0,1,0
Grounding/scope mismatch,1,0,0
Grounding: Amodei attribution,1,0,0
Grounding: Amodei source content,0,0,1
Grounding: Simon attribution,0,1,0
Grounding: context-engineering operations,0,0,1
Grounding: deploy-time learning framework,0,0,1
Grounding: three timescales,0,0,1
Internal Consistency,0,1,2
Internal Consistency — Body vs. Summary,0,0,1
Internal Consistency — Constraining/Distillation,0,0,1
Internal Consistency — Verifiability Table,0,0,1
Internal consistency,7,112,234
Internal consistency -- Definition stability,0,0,1
Internal consistency -- Enables/Costs structure,0,0,1
Internal consistency -- SQL injection analogy,0,1,0
Internal consistency / Methodological claim vs. body,0,0,1
Internal consistency / Naive anthropomorphism vs. naive mechanism-ism,0,0,1
Internal consistency / definition drift,0,1,0
Internal consistency / tension,0,1,0
"Internal consistency — ""What stays global"" list vs. body",0,1,0
"Internal consistency — ""a gate, not a gradient"" vs. elsewhere",0,1,0
"Internal consistency — ""feel substantially better""",0,1,0
"Internal consistency — ""independent"" axes may not be independent",0,1,0
"Internal consistency — ""on reference"" placement",0,1,0
"Internal consistency — ""replaces many narrow notes""",0,1,0
"Internal consistency — ""structured types as error correction""",0,1,0
"Internal consistency — ""trajectory, not a law"" vs. ""persist under scaling""",0,1,0
"Internal consistency — ""volume not time""",0,1,0
"Internal consistency — ""what this framing does and doesn't explain""",0,1,0
Internal consistency — Caveats tension,0,1,0
Internal consistency — Evidence/Reasoning separation,0,0,1
Internal consistency — Graphiti section vs. body,0,0,1
Internal consistency — Predictability gap,0,0,1
Internal consistency — TPR/FPR framework,0,0,1
Internal consistency — Title claim and body,0,0,1
Internal consistency — causal chain,0,0,1
Internal consistency — caveats vs body,0,0,1
Internal consistency — claim 7 vs claim 6,0,1,0
Internal consistency — claims 3 and 4,0,0,1
Internal consistency — claims 7 and 8,0,1,0
Internal consistency — claims 9 and 14,0,0,1
Internal consistency — codification distinction,0,0,1
Internal consistency — comparison table,0,0,1
Internal consistency — compressed summary,0,0,1
Internal consistency — compressed summary absent,0,0,1
Internal consistency — compressed summary alignment,0,0,1
Internal consistency — core argument,0,0,2
Internal consistency — cost claim,0,0,1
Internal consistency — definition drift,0,3,1
Internal consistency — definition of reach,0,0,1
Internal consistency — definition stability,0,0,6
Internal consistency — definition type proposal,0,0,1
Internal consistency — definitions,0,0,1
Internal consistency — enumeration structure,0,0,1
Internal consistency — link semantics,0,0,1
Internal consistency — link-removal test vs. network accumulation,0,1,0
Internal consistency — motivating case to framework,0,0,1
Internal consistency — naming rationale,0,0,1
Internal consistency — negative compounding,0,0,1
Internal consistency — no pairwise contradictions,0,0,1
Internal consistency — open questions,0,0,3
Internal consistency — open questions vs body,0,0,1
Internal consistency — open questions vs claims,0,0,1
Internal consistency — ordering claim,0,1,0
Internal consistency — overall,0,0,2
Internal consistency — pairwise consistency,0,0,1
Internal consistency — pairwise contradiction,0,0,2
Internal consistency — potential tension,0,1,0
Internal consistency — process section,0,0,1
Internal consistency — programming analogy,0,0,1
Internal consistency — relationship to scheduler note,0,0,1
Internal consistency — risks vs. pattern,0,0,1
Internal consistency — schema commitment argument,0,0,1
Internal consistency — section alignment,0,0,1
Internal consistency — section coherence,0,0,1
Internal consistency — store vs. load separation,0,0,1
Internal consistency — summary faithfulness,0,0,1
Internal consistency — summary vs body,0,0,1
Internal consistency — summary vs. body,0,0,1
Internal consistency — tension acknowledged but unresolved,0,1,0
"Internal consistency — tension between ""current implementation"" and body argument",0,1,0
Internal consistency — tension between flywheel claim and weak-claim framing,0,1,0
Internal consistency — three-level taxonomy vs. body,0,0,1
Internal consistency — title and body,0,0,1
Internal consistency — title and body alignment,0,0,1
Internal consistency — title vs body,0,0,1
"Internal consistency: ""everything that in-context learning alone is not""",0,1,0
Internal consistency: no definition drift,0,0,1
Internal consistency: no pairwise contradictions,0,0,1
MAKER as motivating example,0,0,1
Orphan references,10,10,141
Proportion mismatch,90,53,22
Pseudo-formalism,6,14,141
Redundant restatement,5,33,123
Scaling law derivation,0,0,1
Scope,0,0,1
Source residue,25,76,82
Unbridged cross-domain evidence,7,13,142
anthropomorphic-framing,0,0,1
completeness,11,13,0
completeness-boundary,0,2,0
confidence-miscalibration,1,0,0
grounding,6,7,15
grounding-alignment,1,1,2
internal consistency,0,2,8
internal-consistency,0,4,8
orphan-references,0,0,1
proportion-mismatch,1,0,0
pseudo-formalism,0,0,1
redundant-restatement,0,1,0
source-residue,0,1,0
unbridged-cross-domain-evidence,0,0,1
