neutral_id	artifact	source	target	transformations
case-8a530b0c39ba8e	A	notes/llm-generation-confidence-tracks-typicality-not-soundness.md	notes/the-boundary-of-automation-is-the-boundary-of-verification.md	removed YAML frontmatter | removed 2 labelled footer lines | neutralized Markdown link destinations | retained argumentative prose, headings, and titles
case-8a530b0c39ba8e	B	notes/llm-generation-confidence-tracks-typicality-not-soundness.md	notes/the-boundary-of-automation-is-the-boundary-of-verification.md	removed YAML frontmatter | removed 13 labelled footer lines | neutralized Markdown link destinations | retained argumentative prose, headings, and titles
case-c34b3568d535fc	A	notes/goedel-machines-are-a-proof-governed-case-of-self-modification.md	notes/false-positive-generation-is-filtered-before-retention.md	removed YAML frontmatter | removed 10 labelled footer lines | neutralized Markdown link destinations | retained argumentative prose, headings, and titles
case-c34b3568d535fc	B	notes/goedel-machines-are-a-proof-governed-case-of-self-modification.md	notes/false-positive-generation-is-filtered-before-retention.md	removed YAML frontmatter | removed 5 labelled footer lines | neutralized Markdown link destinations | retained argumentative prose, headings, and titles
case-65f16a15010b0b	A	notes/theory-mediated-learning-may-improve-sample-efficiency-under-shifts.md	notes/a-proposal-selection-loop-requires-search-evaluation-and-retention.md	removed YAML frontmatter | removed 17 labelled footer lines | neutralized Markdown link destinations | retained argumentative prose, headings, and titles
case-65f16a15010b0b	B	notes/theory-mediated-learning-may-improve-sample-efficiency-under-shifts.md	notes/a-proposal-selection-loop-requires-search-evaluation-and-retention.md	removed YAML frontmatter | removed 13 labelled footer lines | neutralized Markdown link destinations | retained argumentative prose, headings, and titles
case-ca2d686c8aa979	A	notes/an-accepted-edit-verifies-the-change-not-the-rule.md	notes/oracle-strength-spectrum.md	removed YAML frontmatter | removed 7 labelled footer lines | neutralized Markdown link destinations | retained argumentative prose, headings, and titles
case-ca2d686c8aa979	B	notes/an-accepted-edit-verifies-the-change-not-the-rule.md	notes/oracle-strength-spectrum.md	removed YAML frontmatter | removed 7 labelled footer lines | neutralized Markdown link destinations | retained argumentative prose, headings, and titles
case-9197caeafa3a8b	A	notes/design-for-the-first-time-human-except-on-access-cost.md	notes/context-efficiency-is-the-central-design-concern-in-agent-systems.md	removed YAML frontmatter | removed 7 labelled footer lines | neutralized Markdown link destinations | retained argumentative prose, headings, and titles
case-9197caeafa3a8b	B	notes/design-for-the-first-time-human-except-on-access-cost.md	notes/context-efficiency-is-the-central-design-concern-in-agent-systems.md	removed YAML frontmatter | removed 9 labelled footer lines | neutralized Markdown link destinations | retained argumentative prose, headings, and titles
case-f88ac900b7b30e	A	notes/fix-what-the-executor-cant-determine-not-what-it-will.md	notes/solve-low-degree-of-freedom-subproblems-first-to-avoid-blocking.md	removed YAML frontmatter | removed 4 labelled footer lines | neutralized Markdown link destinations | retained argumentative prose, headings, and titles
case-f88ac900b7b30e	B	notes/fix-what-the-executor-cant-determine-not-what-it-will.md	notes/solve-low-degree-of-freedom-subproblems-first-to-avoid-blocking.md	removed YAML frontmatter | removed 5 labelled footer lines | neutralized Markdown link destinations | retained argumentative prose, headings, and titles
case-6c0a42a4b717c0	A	notes/semantic-review-catches-content-errors-that-structural-validation.md	notes/error-correction-works-above-chance-oracles-with-decorrelated-checks.md	removed YAML frontmatter | removed 5 labelled footer lines | neutralized Markdown link destinations | retained argumentative prose, headings, and titles
case-6c0a42a4b717c0	B	notes/semantic-review-catches-content-errors-that-structural-validation.md	notes/error-correction-works-above-chance-oracles-with-decorrelated-checks.md	removed YAML frontmatter | removed 10 labelled footer lines | neutralized Markdown link destinations | retained argumentative prose, headings, and titles
case-5996d10a688230	A	notes/an-enforced-tag-readme-is-a-moc-with-a-machine-checked-contract.md	notes/llm-recompute-cost-inverts-the-store-vs-recompute-default.md	removed YAML frontmatter | removed 7 labelled footer lines | neutralized Markdown link destinations | retained argumentative prose, headings, and titles
case-5996d10a688230	B	notes/an-enforced-tag-readme-is-a-moc-with-a-machine-checked-contract.md	notes/llm-recompute-cost-inverts-the-store-vs-recompute-default.md	removed YAML frontmatter | removed 5 labelled footer lines | neutralized Markdown link destinations | retained argumentative prose, headings, and titles
case-d78c572ba49b95	A	notes/short-composable-notes-maximize-combinatorial-discovery.md	notes/context-efficiency-is-the-central-design-concern-in-agent-systems.md	removed YAML frontmatter | removed 6 labelled footer lines | neutralized Markdown link destinations | retained argumentative prose, headings, and titles
case-d78c572ba49b95	B	notes/short-composable-notes-maximize-combinatorial-discovery.md	notes/context-efficiency-is-the-central-design-concern-in-agent-systems.md	removed YAML frontmatter | removed 9 labelled footer lines | neutralized Markdown link destinations | retained argumentative prose, headings, and titles
case-ad48aaedc0e182	A	notes/first-principles-are-inherited-constraints-not-design-choices.md	notes/short-composable-notes-maximize-combinatorial-discovery.md	removed YAML frontmatter | removed 8 labelled footer lines | neutralized Markdown link destinations | retained argumentative prose, headings, and titles
case-ad48aaedc0e182	B	notes/first-principles-are-inherited-constraints-not-design-choices.md	notes/short-composable-notes-maximize-combinatorial-discovery.md	removed YAML frontmatter | removed 6 labelled footer lines | neutralized Markdown link destinations | retained argumentative prose, headings, and titles
case-5fea6da992bdb6	A	notes/specification-level-separation-recovers-scoping-before-it-recovers.md	notes/llm-context-is-composed-without-scoping.md	removed YAML frontmatter | removed 5 labelled footer lines | neutralized Markdown link destinations | retained argumentative prose, headings, and titles
case-5fea6da992bdb6	B	notes/specification-level-separation-recovers-scoping-before-it-recovers.md	notes/llm-context-is-composed-without-scoping.md	removed YAML frontmatter | removed 14 labelled footer lines | neutralized Markdown link destinations | retained argumentative prose, headings, and titles
case-a23b180adead23	A	notes/the-framework-is-often-larger-than-the-durable-contribution.md	notes/short-composable-notes-maximize-combinatorial-discovery.md	removed YAML frontmatter | removed 5 labelled footer lines | neutralized Markdown link destinations | retained argumentative prose, headings, and titles
case-a23b180adead23	B	notes/the-framework-is-often-larger-than-the-durable-contribution.md	notes/short-composable-notes-maximize-combinatorial-discovery.md	removed YAML frontmatter | removed 6 labelled footer lines | neutralized Markdown link destinations | retained argumentative prose, headings, and titles
case-6152a54e6a18c8	A	notes/design-for-the-first-time-human-except-on-access-cost.md	notes/agentic-systems-interpret-underspecified-instructions.md	removed YAML frontmatter | removed 7 labelled footer lines | neutralized Markdown link destinations | retained argumentative prose, headings, and titles
case-6152a54e6a18c8	B	notes/design-for-the-first-time-human-except-on-access-cost.md	notes/agentic-systems-interpret-underspecified-instructions.md	removed YAML frontmatter | removed 8 labelled footer lines | neutralized Markdown link destinations | retained argumentative prose, headings, and titles
case-b1580658412f68	A	notes/structure-inference-needs-capture-at-the-decision-surface.md	notes/raw-accumulation-does-not-create-usable-memory.md	removed YAML frontmatter | removed 16 labelled footer lines | neutralized Markdown link destinations | retained argumentative prose, headings, and titles
case-b1580658412f68	B	notes/structure-inference-needs-capture-at-the-decision-surface.md	notes/raw-accumulation-does-not-create-usable-memory.md	removed YAML frontmatter | removed 7 labelled footer lines | neutralized Markdown link destinations | retained argumentative prose, headings, and titles
case-a627c01cfeb3e0	A	notes/weakly-discriminated-qualities-tend-to-be-underselected.md	notes/the-boundary-of-automation-is-the-boundary-of-verification.md	removed YAML frontmatter | removed 8 labelled footer lines | neutralized Markdown link destinations | retained argumentative prose, headings, and titles
case-a627c01cfeb3e0	B	notes/weakly-discriminated-qualities-tend-to-be-underselected.md	notes/the-boundary-of-automation-is-the-boundary-of-verification.md	removed YAML frontmatter | removed 13 labelled footer lines | neutralized Markdown link destinations | retained argumentative prose, headings, and titles
case-1989c918c7946c	A	notes/compiling-coordination-preserves-primitive-not-aggregate-authority.md	notes/any-symbolic-program-with-llm-calls-is-a-select-call-program.md	removed YAML frontmatter | removed 9 labelled footer lines | neutralized Markdown link destinations | retained argumentative prose, headings, and titles
case-1989c918c7946c	B	notes/compiling-coordination-preserves-primitive-not-aggregate-authority.md	notes/any-symbolic-program-with-llm-calls-is-a-select-call-program.md	removed YAML frontmatter | removed 4 labelled footer lines | neutralized Markdown link destinations | retained argumentative prose, headings, and titles
case-ca121ccba67434	A	notes/agent-context-is-constrained-by-soft-degradation-not-hard-token-limits.md	notes/information-value-is-observer-relative.md	removed YAML frontmatter | removed 6 labelled footer lines | neutralized Markdown link destinations | retained argumentative prose, headings, and titles
case-ca121ccba67434	B	notes/agent-context-is-constrained-by-soft-degradation-not-hard-token-limits.md	notes/information-value-is-observer-relative.md	removed YAML frontmatter | removed 7 labelled footer lines | neutralized Markdown link destinations | retained argumentative prose, headings, and titles
case-2632bc38d6c3e7	A	notes/definitions/reflective-system.md	notes/definitions/actionable-methodology.md	removed YAML frontmatter | removed 11 labelled footer lines | neutralized Markdown link destinations | retained argumentative prose, headings, and titles
case-2632bc38d6c3e7	B	notes/definitions/reflective-system.md	notes/definitions/actionable-methodology.md	removed YAML frontmatter | removed 6 labelled footer lines | neutralized Markdown link destinations | retained argumentative prose, headings, and titles
case-c3ffb8d4901349	A	notes/criteria-edits-invalidate-verdicts-process-edits-invalidate-artifacts.md	notes/history-has-one-chance-to-become-checkable.md	removed YAML frontmatter | removed 3 labelled footer lines | neutralized Markdown link destinations | retained argumentative prose, headings, and titles
case-c3ffb8d4901349	B	notes/criteria-edits-invalidate-verdicts-process-edits-invalidate-artifacts.md	notes/history-has-one-chance-to-become-checkable.md	removed YAML frontmatter | removed 4 labelled footer lines | neutralized Markdown link destinations | retained argumentative prose, headings, and titles
case-8444045b653617	A	notes/formal-systems-assess-explanatory-reach-through-causal-and-proof.md	notes/warranted-autonomy-is-bounded-by-oracle-domain.md	removed YAML frontmatter | removed 11 labelled footer lines | neutralized Markdown link destinations | retained argumentative prose, headings, and titles
case-8444045b653617	B	notes/formal-systems-assess-explanatory-reach-through-causal-and-proof.md	notes/warranted-autonomy-is-bounded-by-oracle-domain.md	removed YAML frontmatter | removed 8 labelled footer lines | neutralized Markdown link destinations | retained argumentative prose, headings, and titles
case-d88171537c6fb6	A	notes/design-for-the-first-time-human-except-on-access-cost.md	notes/llm-context-is-a-homoiconic-medium.md	removed YAML frontmatter | removed 7 labelled footer lines | neutralized Markdown link destinations | retained argumentative prose, headings, and titles
case-d88171537c6fb6	B	notes/design-for-the-first-time-human-except-on-access-cost.md	notes/llm-context-is-a-homoiconic-medium.md	removed YAML frontmatter | removed 6 labelled footer lines | neutralized Markdown link destinations | retained argumentative prose, headings, and titles
case-fd065e5a4769ae	A	notes/measuring-autonomy-well-enough-to-see-it-improve-is-an-open-problem.md	notes/definitions/self-improving-system.md	removed YAML frontmatter | removed 6 labelled footer lines | neutralized Markdown link destinations | retained argumentative prose, headings, and titles
case-fd065e5a4769ae	B	notes/measuring-autonomy-well-enough-to-see-it-improve-is-an-open-problem.md	notes/definitions/self-improving-system.md	removed YAML frontmatter | removed 11 labelled footer lines | neutralized Markdown link destinations | retained argumentative prose, headings, and titles
case-c299eb39a9c550	A	notes/technical-constraints-make-kb-objective-choice-engineering.md	notes/a-knowledge-base-holds-theories-descriptions-and-prescriptions-with.md	removed YAML frontmatter | removed 14 labelled footer lines | neutralized Markdown link destinations | retained argumentative prose, headings, and titles
case-c299eb39a9c550	B	notes/technical-constraints-make-kb-objective-choice-engineering.md	notes/a-knowledge-base-holds-theories-descriptions-and-prescriptions-with.md	removed YAML frontmatter | removed 6 labelled footer lines | neutralized Markdown link destinations | retained argumentative prose, headings, and titles
case-e46581928a37b0	A	notes/the-chat-history-model-trades-context-efficiency-for-implementation.md	notes/context-efficiency-is-the-central-design-concern-in-agent-systems.md	removed YAML frontmatter | removed 6 labelled footer lines | neutralized Markdown link destinations | retained argumentative prose, headings, and titles
case-e46581928a37b0	B	notes/the-chat-history-model-trades-context-efficiency-for-implementation.md	notes/context-efficiency-is-the-central-design-concern-in-agent-systems.md	removed YAML frontmatter | removed 9 labelled footer lines | neutralized Markdown link destinations | retained argumentative prose, headings, and titles
case-3d16fd3a85e16a	A	notes/methodological-and-computational-closure-track-different-changes.md	notes/a-methodology-governs-its-own-extension-only-as-far-as-it-settles.md	removed YAML frontmatter | removed 11 labelled footer lines | neutralized Markdown link destinations | retained argumentative prose, headings, and titles
case-3d16fd3a85e16a	B	notes/methodological-and-computational-closure-track-different-changes.md	notes/a-methodology-governs-its-own-extension-only-as-far-as-it-settles.md	removed YAML frontmatter | removed 8 labelled footer lines | neutralized Markdown link destinations | retained argumentative prose, headings, and titles
case-10d4bb9800d9e7	A	notes/a-proximate-target-is-checked-for-achievement-not-for-warrant.md	notes/self-improvement-is-relative-to-a-declared-objective.md	removed YAML frontmatter | removed 14 labelled footer lines | neutralized Markdown link destinations | retained argumentative prose, headings, and titles
case-10d4bb9800d9e7	B	notes/a-proximate-target-is-checked-for-achievement-not-for-warrant.md	notes/self-improvement-is-relative-to-a-declared-objective.md	removed YAML frontmatter | removed 10 labelled footer lines | neutralized Markdown link destinations | retained argumentative prose, headings, and titles
case-013bbf561b7940	A	notes/methodological-and-computational-closure-track-different-changes.md	notes/only-explicit-retention-is-durable-writable-and-addressable.md	removed YAML frontmatter | removed 11 labelled footer lines | neutralized Markdown link destinations | retained argumentative prose, headings, and titles
case-013bbf561b7940	B	notes/methodological-and-computational-closure-track-different-changes.md	notes/only-explicit-retention-is-durable-writable-and-addressable.md	removed YAML frontmatter | removed 8 labelled footer lines | neutralized Markdown link destinations | retained argumentative prose, headings, and titles
case-47d9b2d46aa6b4	A	notes/theory-and-methodology-form-a-two-layer-execution-system.md	notes/first-principles-reasoning-selects-for-explanatory-reach-over.md	removed YAML frontmatter | removed 8 labelled footer lines | neutralized Markdown link destinations | retained argumentative prose, headings, and titles
case-47d9b2d46aa6b4	B	notes/theory-and-methodology-form-a-two-layer-execution-system.md	notes/first-principles-reasoning-selects-for-explanatory-reach-over.md	removed YAML frontmatter | removed 9 labelled footer lines | neutralized Markdown link destinations | retained argumentative prose, headings, and titles
case-fe5439ef0e0cac	A	notes/theory-mediated-self-improvement-needs-interpretation-and-retention.md	notes/formal-systems-assess-explanatory-reach-through-causal-and-proof.md	removed YAML frontmatter | removed 13 labelled footer lines | neutralized Markdown link destinations | retained argumentative prose, headings, and titles
case-fe5439ef0e0cac	B	notes/theory-mediated-self-improvement-needs-interpretation-and-retention.md	notes/formal-systems-assess-explanatory-reach-through-causal-and-proof.md	removed YAML frontmatter | removed 11 labelled footer lines | neutralized Markdown link destinations | retained argumentative prose, headings, and titles
case-93e833a0ae496b	A	notes/selective-revision-needs-a-faithful-rationale-not-just-a-legible-one.md	notes/warranted-autonomy-is-bounded-by-oracle-domain.md	removed YAML frontmatter | removed 11 labelled footer lines | neutralized Markdown link destinations | retained argumentative prose, headings, and titles
case-93e833a0ae496b	B	notes/selective-revision-needs-a-faithful-rationale-not-just-a-legible-one.md	notes/warranted-autonomy-is-bounded-by-oracle-domain.md	removed YAML frontmatter | removed 8 labelled footer lines | neutralized Markdown link destinations | retained argumentative prose, headings, and titles
case-9a724e4374e080	A	notes/title-as-claim-exposes-commitments-enabling-popperian-maintenance.md	notes/mechanistic-constraints-make-popperian-kb-recommendations-actionable.md	removed YAML frontmatter | removed 3 labelled footer lines | neutralized Markdown link destinations | retained argumentative prose, headings, and titles
case-9a724e4374e080	B	notes/title-as-claim-exposes-commitments-enabling-popperian-maintenance.md	notes/mechanistic-constraints-make-popperian-kb-recommendations-actionable.md	removed YAML frontmatter | removed 8 labelled footer lines | neutralized Markdown link destinations | retained argumentative prose, headings, and titles
case-1d940291ad46a8	A	notes/skills-are-instructions-plus-routing-and-execution-policy.md	notes/instruction-specificity-should-match-loading-frequency.md	removed YAML frontmatter | removed 7 labelled footer lines | neutralized Markdown link destinations | retained argumentative prose, headings, and titles
case-1d940291ad46a8	B	notes/skills-are-instructions-plus-routing-and-execution-policy.md	notes/instruction-specificity-should-match-loading-frequency.md	removed YAML frontmatter | removed 2 labelled footer lines | neutralized Markdown link destinations | retained argumentative prose, headings, and titles
case-e1177dbf35d92b	A	notes/technical-constraints-make-kb-objective-choice-engineering.md	notes/first-principles-are-inherited-constraints-not-design-choices.md	removed YAML frontmatter | removed 14 labelled footer lines | neutralized Markdown link destinations | retained argumentative prose, headings, and titles
case-e1177dbf35d92b	B	notes/technical-constraints-make-kb-objective-choice-engineering.md	notes/first-principles-are-inherited-constraints-not-design-choices.md	removed YAML frontmatter | removed 8 labelled footer lines | neutralized Markdown link destinations | retained argumentative prose, headings, and titles
case-72ed741ccbd80f	A	notes/trace-extracted-memory-earns-authority-per-operation-not-at-capture.md	notes/agent-memory-requirements/use-trace-extraction-as-meta-learning.md	removed YAML frontmatter | removed 6 labelled footer lines | neutralized Markdown link destinations | retained argumentative prose, headings, and titles
case-72ed741ccbd80f	B	notes/trace-extracted-memory-earns-authority-per-operation-not-at-capture.md	notes/agent-memory-requirements/use-trace-extraction-as-meta-learning.md	removed YAML frontmatter | removed 0 labelled footer lines | neutralized Markdown link destinations | retained argumentative prose, headings, and titles
case-6c50ade3801134	A	notes/agent-runtimes-decompose-into-scheduler-context-engine-and-execution.md	notes/inspectable-artifact-not-supervision-defeats-the-blackbox-problem.md	removed YAML frontmatter | removed 11 labelled footer lines | neutralized Markdown link destinations | retained argumentative prose, headings, and titles
case-6c50ade3801134	B	notes/agent-runtimes-decompose-into-scheduler-context-engine-and-execution.md	notes/inspectable-artifact-not-supervision-defeats-the-blackbox-problem.md	removed YAML frontmatter | removed 3 labelled footer lines | neutralized Markdown link destinations | retained argumentative prose, headings, and titles
case-de38abeca27643	A	notes/the-practical-scheduler-is-the-host-language.md	notes/any-symbolic-program-with-llm-calls-is-a-select-call-program.md	removed YAML frontmatter | removed 6 labelled footer lines | neutralized Markdown link destinations | retained argumentative prose, headings, and titles
case-de38abeca27643	B	notes/the-practical-scheduler-is-the-host-language.md	notes/any-symbolic-program-with-llm-calls-is-a-select-call-program.md	removed YAML frontmatter | removed 4 labelled footer lines | neutralized Markdown link destinations | retained argumentative prose, headings, and titles
case-f2af1a1b9045ca	A	notes/increasing-computational-autonomy-relocates-human-effort.md	notes/methodological-and-computational-closure-track-different-changes.md	removed YAML frontmatter | removed 8 labelled footer lines | neutralized Markdown link destinations | retained argumentative prose, headings, and titles
case-f2af1a1b9045ca	B	notes/increasing-computational-autonomy-relocates-human-effort.md	notes/methodological-and-computational-closure-track-different-changes.md	removed YAML frontmatter | removed 11 labelled footer lines | neutralized Markdown link destinations | retained argumentative prose, headings, and titles
case-b940441aeb021c	A	notes/definitions/self-improving-system.md	notes/definitions/reflective-system.md	removed YAML frontmatter | removed 11 labelled footer lines | neutralized Markdown link destinations | retained argumentative prose, headings, and titles
case-b940441aeb021c	B	notes/definitions/self-improving-system.md	notes/definitions/reflective-system.md	removed YAML frontmatter | removed 11 labelled footer lines | neutralized Markdown link destinations | retained argumentative prose, headings, and titles
case-792c56f9b2a2f7	A	notes/first-principles-are-inherited-constraints-not-design-choices.md	notes/agent-context-is-constrained-by-soft-degradation-not-hard-token-limits.md	removed YAML frontmatter | removed 8 labelled footer lines | neutralized Markdown link destinations | retained argumentative prose, headings, and titles
case-792c56f9b2a2f7	B	notes/first-principles-are-inherited-constraints-not-design-choices.md	notes/agent-context-is-constrained-by-soft-degradation-not-hard-token-limits.md	removed YAML frontmatter | removed 6 labelled footer lines | neutralized Markdown link destinations | retained argumentative prose, headings, and titles
case-4d03ee8de3d7c3	A	notes/fix-what-the-executor-cant-determine-not-what-it-will.md	notes/design-for-the-first-time-human-except-on-access-cost.md	removed YAML frontmatter | removed 4 labelled footer lines | neutralized Markdown link destinations | retained argumentative prose, headings, and titles
case-4d03ee8de3d7c3	B	notes/fix-what-the-executor-cant-determine-not-what-it-will.md	notes/design-for-the-first-time-human-except-on-access-cost.md	removed YAML frontmatter | removed 7 labelled footer lines | neutralized Markdown link destinations | retained argumentative prose, headings, and titles
case-b5510a490b71bf	A	notes/a-derived-copy-of-recomputable-truth-must-be-checked-or-absent.md	notes/llm-recompute-cost-inverts-the-store-vs-recompute-default.md	removed YAML frontmatter | removed 14 labelled footer lines | neutralized Markdown link destinations | retained argumentative prose, headings, and titles
case-b5510a490b71bf	B	notes/a-derived-copy-of-recomputable-truth-must-be-checked-or-absent.md	notes/llm-recompute-cost-inverts-the-store-vs-recompute-default.md	removed YAML frontmatter | removed 5 labelled footer lines | neutralized Markdown link destinations | retained argumentative prose, headings, and titles
case-d45ce3e679afe0	A	notes/commitment-not-derivation-creates-new-ground-truth.md	notes/agentic-systems-interpret-underspecified-instructions.md	removed YAML frontmatter | removed 15 labelled footer lines | neutralized Markdown link destinations | retained argumentative prose, headings, and titles
case-d45ce3e679afe0	B	notes/commitment-not-derivation-creates-new-ground-truth.md	notes/agentic-systems-interpret-underspecified-instructions.md	removed YAML frontmatter | removed 8 labelled footer lines | neutralized Markdown link destinations | retained argumentative prose, headings, and titles
case-a628538d6d8332	A	notes/definitions/reach-assessment.md	notes/first-principles-reasoning-selects-for-explanatory-reach-over.md	removed YAML frontmatter | removed 11 labelled footer lines | neutralized Markdown link destinations | retained argumentative prose, headings, and titles
case-a628538d6d8332	B	notes/definitions/reach-assessment.md	notes/first-principles-reasoning-selects-for-explanatory-reach-over.md	removed YAML frontmatter | removed 9 labelled footer lines | neutralized Markdown link destinations | retained argumentative prose, headings, and titles
case-04324ff043d41a	A	notes/methodological-and-computational-closure-track-different-changes.md	notes/a-proposal-selection-loop-requires-search-evaluation-and-retention.md	removed YAML frontmatter | removed 11 labelled footer lines | neutralized Markdown link destinations | retained argumentative prose, headings, and titles
case-04324ff043d41a	B	notes/methodological-and-computational-closure-track-different-changes.md	notes/a-proposal-selection-loop-requires-search-evaluation-and-retention.md	removed YAML frontmatter | removed 13 labelled footer lines | neutralized Markdown link destinations | retained argumentative prose, headings, and titles
case-92aa92d533a0f1	A	notes/linking-theory.md	notes/agents-navigate-by-deciding-what-to-read-next.md	removed YAML frontmatter | removed 7 labelled footer lines | neutralized Markdown link destinations | retained argumentative prose, headings, and titles
case-92aa92d533a0f1	B	notes/linking-theory.md	notes/agents-navigate-by-deciding-what-to-read-next.md	removed YAML frontmatter | removed 2 labelled footer lines | neutralized Markdown link destinations | retained argumentative prose, headings, and titles
case-26b9c135a0d7e2	A	notes/linking-theory.md	notes/title-as-claim-enables-traversal-as-reasoning.md	removed YAML frontmatter | removed 7 labelled footer lines | neutralized Markdown link destinations | retained argumentative prose, headings, and titles
case-26b9c135a0d7e2	B	notes/linking-theory.md	notes/title-as-claim-enables-traversal-as-reasoning.md	removed YAML frontmatter | removed 11 labelled footer lines | neutralized Markdown link destinations | retained argumentative prose, headings, and titles
case-e42bba438fb9cb	A	notes/linking-theory.md	notes/title-as-claim-exposes-commitments-enabling-popperian-maintenance.md	removed YAML frontmatter | removed 7 labelled footer lines | neutralized Markdown link destinations | retained argumentative prose, headings, and titles
case-e42bba438fb9cb	B	notes/linking-theory.md	notes/title-as-claim-exposes-commitments-enabling-popperian-maintenance.md	removed YAML frontmatter | removed 3 labelled footer lines | neutralized Markdown link destinations | retained argumentative prose, headings, and titles
case-4f00efdb446dff	A	notes/linking-theory.md	notes/title-as-claim-makes-overlap-between-notes-visible.md	removed YAML frontmatter | removed 7 labelled footer lines | neutralized Markdown link destinations | retained argumentative prose, headings, and titles
case-4f00efdb446dff	B	notes/linking-theory.md	notes/title-as-claim-makes-overlap-between-notes-visible.md	removed YAML frontmatter | removed 2 labelled footer lines | neutralized Markdown link destinations | retained argumentative prose, headings, and titles
case-1220e2f6e7f005	A	notes/pointer-design-tradeoffs-in-progressive-disclosure.md	notes/agents-navigate-by-deciding-what-to-read-next.md	removed YAML frontmatter | removed 6 labelled footer lines | neutralized Markdown link destinations | retained argumentative prose, headings, and titles
case-1220e2f6e7f005	B	notes/pointer-design-tradeoffs-in-progressive-disclosure.md	notes/agents-navigate-by-deciding-what-to-read-next.md	removed YAML frontmatter | removed 2 labelled footer lines | neutralized Markdown link destinations | retained argumentative prose, headings, and titles
case-3cb813691b28b6	A	notes/retaining-the-episode-keeps-a-distilled-rule-re-derivable.md	notes/artifacts-produced-from-sources-need-lineage-recorded-at-the-source.md	removed YAML frontmatter | removed 9 labelled footer lines | neutralized Markdown link destinations | retained argumentative prose, headings, and titles
case-3cb813691b28b6	B	notes/retaining-the-episode-keeps-a-distilled-rule-re-derivable.md	notes/artifacts-produced-from-sources-need-lineage-recorded-at-the-source.md	removed YAML frontmatter | removed 3 labelled footer lines | neutralized Markdown link destinations | retained argumentative prose, headings, and titles
case-394ae9372bce28	A	notes/short-composable-notes-maximize-combinatorial-discovery.md	notes/conjecture-is-seeing-the-particular-as-an-instance-of-the-general.md	removed YAML frontmatter | removed 6 labelled footer lines | neutralized Markdown link destinations | retained argumentative prose, headings, and titles
case-394ae9372bce28	B	notes/short-composable-notes-maximize-combinatorial-discovery.md	notes/conjecture-is-seeing-the-particular-as-an-instance-of-the-general.md	removed YAML frontmatter | removed 6 labelled footer lines | neutralized Markdown link destinations | retained argumentative prose, headings, and titles
case-e5c79d4a63f396	A	notes/title-as-claim-enables-traversal-as-reasoning.md	notes/agents-navigate-by-deciding-what-to-read-next.md	removed YAML frontmatter | removed 11 labelled footer lines | neutralized Markdown link destinations | retained argumentative prose, headings, and titles
