neutral_id	source	target	current_line	current_label	current_tuple_digest	current_line_digest	cohort	prior_disposition	decision_basis	authorization_status	under_review_context	primary_sort_digest	control_sort_digest
case-5fea6da992bdb6	notes/specification-level-separation-recovers-scoping-before-it-recovers.md	notes/llm-context-is-composed-without-scoping.md	33	grounds	869c324a95837a080d09b579975be89d7ecf0c2866144603af0c2ad94c18b5a5	fa127fcaf39b5bf811db0acb7bab8c7724acc9a37def656a24f48042ddf27434	primary	premised-on	grounds-baseline:P	candidate-new	the main gains OpenProse gets early are scoping gains, not hard reliability gains	12cc6630661c7ade8c0ce85e7c91ac643b5fb444cfdb0c590efa08710db7affe	54b6466cfe6a52242b81cdb3abdaf69c38fdb355bcf3d9309a10cdaf8667f657
case-a23b180adead23	notes/the-framework-is-often-larger-than-the-durable-contribution.md	notes/short-composable-notes-maximize-combinatorial-discovery.md	64	grounds	193488dd29023f1e1df611ecd86e7955edb797bdeaa37e1fb8d44fd7a639e95e	4e743cf3deea859ff54bcd57fba7f9c0f40ed53c8519412704053f8804601174	primary	premised-on	grounds-baseline:P	candidate-new	shared frameworks live as their own composable artifacts, so each note carries only its case's contribution	132a1c5f3800dab8e7ee011eaea4cbce3d3e6a846b8724ea0f52e2ac5367cc51	143b56a3c69a4ed7937a3f51cfa0f094ecfaf759dcdc5a2c1d920a843442f8e2
case-6152a54e6a18c8	notes/design-for-the-first-time-human-except-on-access-cost.md	notes/agentic-systems-interpret-underspecified-instructions.md	30	grounds	ed118e463bcacc1aec7e29ec53b654749b1d509c0f7f775e3b5fe9c85ea8f78d	c0dde090b3faa7558b0b9afd58d961f01adc32ba1888807d82b7c9730804f7ee	primary	premised-on	grounds-baseline:P	candidate-new	the closing confabulation exception is the underspecification case, where a human would ask for clarification but an agent may choose one interpretation and proceed	13ae8cf4bad6675d9a2e8d1683542504ee63bb1a692a9085a26f6117bbfbcce4	ee8eb4253971295bdd5a7116ce21ae7db084e56d3c30f61e163df36a2d6f3820
case-b1580658412f68	notes/structure-inference-needs-capture-at-the-decision-surface.md	notes/raw-accumulation-does-not-create-usable-memory.md	38	grounds	0c06832a638afafc6b98bf5c44bfeb90a70f100f1dab1379193dd3ff5d3952cf	5430762f4976b2ca9b0b4619a0bd6cc61ada43dfd3d747f2a8b7019cde19673f	primary	premised-on	grounds-baseline:P	candidate-new	state-without-why is exactly the ingress problem this note localizes to the capture point	142dfcec9d45cadcfb5053988523c60d0e5fb66a288a1c19f2e06b30b886501b	901d0b32df30991d7138577799362e6afc436a31abfab15497d6eb7cf57e3362
case-a627c01cfeb3e0	notes/weakly-discriminated-qualities-tend-to-be-underselected.md	notes/the-boundary-of-automation-is-the-boundary-of-verification.md	78	grounds	8481e2ad82e32c24935dc15cf07f3c5b3722dab9b9e790ff6202acc8cc442ec7	00c07a1996ba280f10c47a5ba89288b631fc3827d1869ac468e3d2c0978d7de2	primary	premised-on	grounds-baseline:P	candidate-new	verification cost determines which qualities can support warranted automation	16122967d80bfb88a749ccb644bf4bf5bfa0518ef7d151543373d3f80dc4b27a	872a0c363cb5600ae187faf6484ed80e69069cad443b1f84f39d0c6689a0c293
case-1989c918c7946c	notes/compiling-coordination-preserves-primitive-not-aggregate-authority.md	notes/any-symbolic-program-with-llm-calls-is-a-select-call-program.md	59	grounds	5d7e419d3c5213d371f258cfe31ca67cb0db04fb02bc3485d0783250b9cf532f	133a8da87a74ee4b09bf384e1f4dfb9c1f16b502990619d16f56eccfc3e3919a	primary	premised-on	grounds-baseline:P	candidate-new	formalizes why a workflow script's JavaScript control flow and local variables instantiate the same select/call shape as the prompt-driven strategy	18205dcbe45d7660dc03ff3ae7d3f79eae06114858d669da82dbb020987de923	b649b958e861a3a3882e1498068be9e2f9a034563ea0a4e1eb005443bdad7220
case-ca121ccba67434	notes/agent-context-is-constrained-by-soft-degradation-not-hard-token-limits.md	notes/information-value-is-observer-relative.md	63	grounds	c87abcd5f1a39155fd434481cf12c26321b274cc119e50cec4f34b99783d03a6	59022c535d7f38c213b2ac7e2f75f78b5262d847f3e9cdc56e1f99bda5beaf9a	primary	premised-on	grounds-baseline:P	candidate-new	observer-relativity is what makes the soft bound task-dependent	1b9df0f1caa73f5c8501288ddb02cc1c04577f71f374b8c5696dc1fe36b02e42	0f6be89d824300481f304c3d7e30d42a5a810ec1d47054e191eaee6bf2d2ae4d
case-2632bc38d6c3e7	notes/definitions/reflective-system.md	notes/definitions/actionable-methodology.md	75	grounds	bb502542d295019c8ccbbe6a9fcc52e72c5deed1d59e7595244aaae741faaf12	13ebeb7e42e456e1d4613fa44cc3835802b99022c23e753a83d3a8d93c5d3ea3	primary	premised-on	grounds-baseline:P	candidate-new	an internal process may act through a methodology, but actionability alone does not establish reflection	1dfb8fe0aa0d2b0012c98f371ed61fed64902ffacee7e3a0db861350d45f6e4b	4d8bdd59a2b8ea2aad9ad9e4a481513dd1b81000208479ef6fef917d186b54cc
case-c3ffb8d4901349	notes/criteria-edits-invalidate-verdicts-process-edits-invalidate-artifacts.md	notes/history-has-one-chance-to-become-checkable.md	28	grounds	017a1f3c929d9285aa76f231c3d89a09e3f0a4fb3565e77f7210ccfdca46ecae	0153f26189d732d449dc90bda073bbb178dd803baa1d65001fc1ab7b645fbc2e	primary	premised-on	grounds-baseline:P	candidate-new	the state/history asymmetry this corollary rides on — why process deficiencies are invisible to review-time criteria	21e5c3e463ecdfe3d2c7583f961a4315100944c8547b1560fe1085c78a8cc93b	8958ca5240c3f8c94d8e8786157788aa05a5715e0607498e4a6aab65704d765b
case-8444045b653617	notes/formal-systems-assess-explanatory-reach-through-causal-and-proof.md	notes/warranted-autonomy-is-bounded-by-oracle-domain.md	50	grounds	729c03d1970afcf18ae6bab0632b626dccc653126bfdee4097d836abfbb021a9	7e62779fd5b127c102aa5b9ca57786777205fb531b8c5eacac64fc428939f162	primary	premised-on	grounds-baseline:P	candidate-new	formal guarantees remain bounded by the oracle or axiomatization that produces them	226baec13d4ec7158eec40ca15412e306172f1a61b2724993db54dcf525799a7	67a5e286241d4e7feb0aee5983cc62c2ff10c10b70c3c73d7dd2cfc421cd3b04
case-d88171537c6fb6	notes/design-for-the-first-time-human-except-on-access-cost.md	notes/llm-context-is-a-homoiconic-medium.md	29	grounds	6626621ff6554494b275c5fcb3b2d3175f05c9fd43426db17c6590a3438b5e50	958b2cd5c6eb7b8c59b58c7c0d72bf771ff78832c1111872998f3041e37e4e36	primary	premised-on	grounds-baseline:P	candidate-new	the closing text-as-instruction exception rests on there being no program/data boundary in the window, so any loaded text can act as instruction	237a3d8d2fdeef389b448aa73e339d21387864e448051df7fdcf3ec4891800f7	e25f9b6ecaae629b92838435a15bca05d8dbf6111c1cc814e59909c84b09bacf
case-fd065e5a4769ae	notes/measuring-autonomy-well-enough-to-see-it-improve-is-an-open-problem.md	notes/definitions/self-improving-system.md	31	grounds	61bc19c111c8cbc11ecb3d132334b5a86fb05df84ee53bdf3a9ba1d0fc5ed957	6fe0ec03811fc19a1ab5d84d346f3a955b65da2f5f6405c5a771c6c328bdee77	primary	premised-on	grounds-baseline:P	candidate-new	the declared-boundary relativity the allocation profile inherits from membership	25793e7c60299b9ac8e72f0f36659f19c92319746651f69771d649a65046ad05	28303acd69d7e39ae0cb29e1f992e57280f0b18872a720089af5c7372778fb29
case-c299eb39a9c550	notes/technical-constraints-make-kb-objective-choice-engineering.md	notes/a-knowledge-base-holds-theories-descriptions-and-prescriptions-with.md	75	grounds	3e4d3193ae5030ea99a54a806fb13d96783f2f160304d761e5a10db12a2bfcea	bb3f61a465cd2812a6412181b6bbf0e1466b0e66da81e8b55ce9ba5eab29f012	primary	premised-on	grounds-baseline:P	candidate-new	the three profiles and their quality goals this note treats as proven objective bundles	2628ecbfd2922d98f7696a2c9c0bba76a09b38c98d73fd9484b1bd27115f57c9	420ee7739a6fd70720db17ca576e23c6c0cc86f5a0e5b1efc544a07c43cddfcd
case-e46581928a37b0	notes/the-chat-history-model-trades-context-efficiency-for-implementation.md	notes/context-efficiency-is-the-central-design-concern-in-agent-systems.md	33	grounds	258e0cc662709189d64b90c7f3d3686e2932d096fa48f35a88a1fef7be403430	103839602115f8fbf50162ea00c65061a9ffa0d69064ed1a8ffb05b3c4aa7440	primary	premised-on	grounds-baseline:P	candidate-new	bounded context makes selective loading a first-class architectural concern	280454d3a7bdd02fa82a42ee8b994de5776c01c0bcb345b6c968849b255bc47c	8cbd222e935306eb433c20777ae6a7749add08116086cf24aca31f3d428645b8
case-3d16fd3a85e16a	notes/methodological-and-computational-closure-track-different-changes.md	notes/a-methodology-governs-its-own-extension-only-as-far-as-it-settles.md	81	grounds	2f29f8174c38bbf05503befe8b333602a3cf92febd9bbeabe7fa24c8ce48e8c8	dba2178a331f17b837f540064e50c8b97d58049ec02f10dcdade7fc5f9139d90	primary	premised-on	grounds-baseline:P	candidate-new	supplies the methodological reading of closure	29eafc45a309a7113ac70037fc890288f60ff2a05c68cb8ae4d7b1cc7c34cc55	8d710ea64e719b0a0f49d1425b9ddd50b535d8c879e89deda06b66db001cccb3
case-10d4bb9800d9e7	notes/a-proximate-target-is-checked-for-achievement-not-for-warrant.md	notes/self-improvement-is-relative-to-a-declared-objective.md	67	grounds	2b1745355fecac8b0ce7790ec115b4cb92d35e26a1faff35d65628a082b573fe	1526a14eafa157194595b5f192cdea3a5c379139e9355b4cde3200cd5b68bdfc	primary	premised-on	grounds-baseline:P	candidate-new	the declared objective the target level stands in for, and the indexing this note adds a level below	2ad1caa30e25f4f80e425b5dddacdbaa1a828a0a608f83aace04e9c6b312548a	f29524bdcf858c5bec6d1e2496e5721d2f225d83d519c5a70fa554200297c537
case-013bbf561b7940	notes/methodological-and-computational-closure-track-different-changes.md	notes/only-explicit-retention-is-durable-writable-and-addressable.md	85	grounds	d72c3bacae698086133feb71b3794a06e5bfd870a72d62e91109018a1488739b	a845671748ef6c1a8af02234192c0a590c4fd996006b93254c6b2b7fa28db359	primary	premised-on	grounds-baseline:P	candidate-new	the shared reason tacit expertise is not retained methodology and externalization is allocation's transport	2bdad9078ff85e7546bdaddaa62b907c55e8db83098ee8c4ce884272a25e1c98	ed9963bb01d6b950c795967200b138c1668477e5b6d99e620d4fd4d892f8b815
case-47d9b2d46aa6b4	notes/theory-and-methodology-form-a-two-layer-execution-system.md	notes/first-principles-reasoning-selects-for-explanatory-reach-over.md	70	grounds	0898abaec7793314ac7cb7e99f6da74b8f383666ab42a030277847f9d621a2f2	848d0ff02c9ed9d301a0fff8b6be5dfda7dbef8c32675268a2b6dcfd9d6bfd59	primary	premised-on	grounds-baseline:P	candidate-new	explanatory-reach is what the theory layer contributes and the methodology gives up	32db5a7bc28c48fd547f5af0b3eda3cf8abe7899a04df4061d9811eb81083b40	53029ddbc499e33bbaa8236107a4de2bd0b1bad2f0263ff11a5b2cde7c553929
case-fe5439ef0e0cac	notes/theory-mediated-self-improvement-needs-interpretation-and-retention.md	notes/formal-systems-assess-explanatory-reach-through-causal-and-proof.md	62	grounds	1bba5af761be25f7f1ef61be66d0f146bf6e83c3fde0bb3b9bd319dd2ed0b839	ed452c31accf03a098e59e124175173378b507ad19127e522b920fb7695f62bc	primary	premised-on	grounds-baseline:P	candidate-new	what a supplied formal language buys and costs	37e2f6369a49990033d3dba7175ff07bd04f37889aa4d9bf6167978217e7d0f3	9f760ea1ede28fe57b127194152918961933927779598978c2bec35a696b66a8
case-93e833a0ae496b	notes/selective-revision-needs-a-faithful-rationale-not-just-a-legible-one.md	notes/warranted-autonomy-is-bounded-by-oracle-domain.md	50	grounds	977b23906c14737d3ed126bf8f4f15b36a2e326c9c9e6f90f1401024dd3836e9	92dcb123e86fc3ab42570ebefe23ebf987537338e11aa4049c2fc42e5867fe4c	primary	premised-on	grounds-baseline:P	candidate-new	the domain over which the intervention test can be run bounds where the advantage is real	38bad5cf31483ed48279fa6c7143e078ea06f3474c78497f9cd258c8bd774884	d958b10613c2d5b32642af699891155a7ed134b7cf90e50541e796aac11c1e89
case-9a724e4374e080	notes/title-as-claim-exposes-commitments-enabling-popperian-maintenance.md	notes/mechanistic-constraints-make-popperian-kb-recommendations-actionable.md	23	grounds	254e87270c4217de54d98e3f77dc681428212322bd40e75a6a65401837e48fc9	7cd8c19e3e53d6f572dd9cb1376695066ae002c66470a43e71c9cb22b4fa789d	primary	premised-on	grounds-baseline:P	candidate-new	the Popperian framing that recommendations must be falsifiable to be useful	39124c1a4959b63872b4be2c2bce94e05e93affc4b99393c2d88661e10f082d1	bab2226232f55f4fbcba813cb5bf2553a7384c0bf5aacac9e06e4b47c4954f8b
case-1d940291ad46a8	notes/skills-are-instructions-plus-routing-and-execution-policy.md	notes/instruction-specificity-should-match-loading-frequency.md	94	grounds	94a651eba94676d6a76899ac35b137550dafbfc24284ad3b501c20ccbe865ca9	cca69b508b510cb03ea2bd0cb92e605011fca259db7e48059f6d0a37a3af6158	primary	premised-on	grounds-baseline:P	candidate-new	the loading hierarchy both participate in	3b907e90de0268d68d0edc08771d01ac84ef4733480f7d345ce0132e6e6ff44b	9dc12f66d46c550731bbc1a214c726fb5318ddca7c2d07af3d76cc726695e26e
case-e1177dbf35d92b	notes/technical-constraints-make-kb-objective-choice-engineering.md	notes/first-principles-are-inherited-constraints-not-design-choices.md	76	grounds	e01063a2551958a19b5274d473caebe175b6c1a509e817cd8cb10d1f71cf485d	cdc36a95a638319ad90288ae3b580ab655b8ae7ff89be4b6f17a6503d71be871	primary	premised-on	grounds-baseline:P	candidate-new	the constraints prune because they are inherited from boundary commitments, so the dissolution is framework-relative	3bf65bb460641ca250865e0500f69c5a25bc928a1e537fc3186f695e3855bac9	839e12301e3391c664c890274d2db29eadbb9916fd926fa01a7d708062529ba3
case-72ed741ccbd80f	notes/trace-extracted-memory-earns-authority-per-operation-not-at-capture.md	notes/agent-memory-requirements/use-trace-extraction-as-meta-learning.md	61	grounds	255f0803b866c8171d99e8582e1dddcc8ae030a19bbd2b4d484c4c0fc7439da2	f9fac6a72cd2bbb93ba4d1b91f109c35c7b423b79b074202eee370bbb8f43caf	primary	premised-on	grounds-baseline:P	candidate-new	the fail rung's signal-quality distinctions and candidate-status fields keep early-rung artifacts from being read as mature rules	3c146be2d87195f7e2875774696ee1d60211a6c92906d1b9c38c0e6c051b119e	8fc1a414002ea1b69da24030d47de20b8ecc49a3fee234508b13a4a4615bf6ca
case-6c50ade3801134	notes/agent-runtimes-decompose-into-scheduler-context-engine-and-execution.md	notes/inspectable-artifact-not-supervision-defeats-the-blackbox-problem.md	111	grounds	251708e6dde9271fe436c2fee04d71e5a58bef314a733e2d6131e0c5b043c026	eb162ba8a6810180eb289310985cfcf9612029988d35c5c865792c364ff00259	primary	premised-on	grounds-baseline:P	candidate-new	why repo artifacts and exact state belong to a separate substrate component	3e4de68339d592917f71a2896c2aa8e9d3c92f60cd539654b7c5380b73cc2e43	926d480ce53a59174f7a866a36400cab69a66310cae9abbd7a9bd36d3e813812
case-de38abeca27643	notes/the-practical-scheduler-is-the-host-language.md	notes/any-symbolic-program-with-llm-calls-is-a-select-call-program.md	67	grounds	03ced4d47e9e61e88272701b9c721a90ba7e67cffef9711612165c8cf51c9095	ffbb51d5bf5e65a11780cb23ed5b87f152d24a4a4f32f6d6a8bb30391b6508a5	primary	premised-on	grounds-baseline:P	candidate-new	why the host program already is the symbolic scheduler	400e1ec1f40c4f9cc75c078d0ddfa2929573a158886771a580d671b92b6347df	a36e64a14ce0104e4a4df3f7970c08dba33dd77537a4e048d5c6ed1146a878f8
case-f2af1a1b9045ca	notes/increasing-computational-autonomy-relocates-human-effort.md	notes/methodological-and-computational-closure-track-different-changes.md	54	grounds	e27776745a7d6a398c460423b132470a01b5be18f44c1887b13288f9191dd5af	a636df4c640b61cb85a019e35fe79f156b0d2483345c9edcee4ac46737a0cd10	primary	premised-on	grounds-baseline:P	candidate-new	identifies computational closure as an actor-allocation endpoint rather than methodological settlement	410edda52a89b855d8f756361b75527b73f4c0ed126306ab5a02c396ab51432a	ff3489c40eb4304ce6f8ef73708634e778f28fbf142862992f74bb8806a516cf
case-b940441aeb021c	notes/definitions/self-improving-system.md	notes/definitions/reflective-system.md	65	grounds	10d7780c0d1d426b77ac9c3f781df03da264fc15d2f3b20d5a012c8b1a9782c9	14843cc5bd4ea3c6c76108f1fef7d0345f96078fa521094c8909c2ff9ea26a09	primary	premised-on	grounds-baseline:P	candidate-new	the causally connected self-representation, and the intercession capability, that reflective self-improvement routes through	44ccfc28c8f3b925841cf9be17a2ff028ffd66f32ea3a7470542ea13a7391650	13b4f0f559f46ff9fb6a67cd5f876cf1af36f81df02baec50535bb70ccbc5b96
case-792c56f9b2a2f7	notes/first-principles-are-inherited-constraints-not-design-choices.md	notes/agent-context-is-constrained-by-soft-degradation-not-hard-token-limits.md	58	grounds	6c56748144768dda7f5a73c0c9256d733f4ab05b3d0e1281637a692a98f5ad5e	89aa6a9d40c19814675352f3dd1d6f966d62b63c2fa56858929d42ae7a1d20fd	primary	premised-on	grounds-baseline:P	candidate-new	the binding form of the context bound the economy answers to	4538e9353c18df8843976fbb98b152e6d51f552a91e1f7e561af607a0a08ed50	66100fe2403a02b9026c76a30609fba91cb42dcefafd95e55931efa1a2823401
case-4d03ee8de3d7c3	notes/fix-what-the-executor-cant-determine-not-what-it-will.md	notes/design-for-the-first-time-human-except-on-access-cost.md	26	grounds	2a564d64dc5a466f703bd4d9757fd12d50b5b9c6ebc46a584b0eca70acb2096a	155ea941b79b9feb36a8927eb4d0cdf7ad045ff360dcde38d4dce84bc303cb99	primary	premised-on	grounds-baseline:P	candidate-new	the competent-executor premise this claim rests on	46411037881006df28e391f04c5d4bcde0152ef4186f7052301c56f83a4150de	d8d9faf588a5176c2e35cb903de3406b8c03e8f1a5f9b68e0fc36bdcf6e79c5d
case-b5510a490b71bf	notes/a-derived-copy-of-recomputable-truth-must-be-checked-or-absent.md	notes/llm-recompute-cost-inverts-the-store-vs-recompute-default.md	72	grounds	bb79c38f3ad353c54ddd31330f76c7606a69d25f71b8c54b6cba9ce075079e20	ac9d89316633aa22812fc40342b4a185aab4e319fe5e13a69cd2686a8c1e1061	primary	premised-on	grounds-baseline:P	candidate-new	the value half — recompute being dear to a model is what makes a checked derived copy worth keeping in the first place	4720164d81c38c800ef86f2cadff78298ab92e2c7b650ed8722d5b16c3c4e1bf	0ba82417f316d5eab31b5630a05d8d877b47dedddc5840d6255713b33628fa74
