neutral_id	cohort	source	target	prior_disposition	decision_basis	mapper_1	mapper_2	mapper_3	mapping_status	mapped_class	mapper_confidences	observer_edge_1	observer_edge_2	observer_edge_3	observer_edge_status	observer_edge_majority	observer_confidences
case-2632bc38d6c3e7	primary	notes/definitions/reflective-system.md	notes/definitions/actionable-methodology.md	premised-on	grounds-baseline:P	C1	C11	C13	UNSTABLE		high/medium/medium	connective-prose-only	connective-prose-only	connective-prose-only	unanimous	connective-prose-only	high/medium/high
case-26b9c135a0d7e2	boundary-correction	notes/linking-theory.md	notes/title-as-claim-enables-traversal-as-reasoning.md	premised-on	grounds-boundary	C2	C3	C2	stable-majority	C2	high/high/high	mechanically-discoverable	mechanically-discoverable	mechanically-discoverable	unanimous	mechanically-discoverable	high/high/high
case-30111db7b8e1ad	prior-drift	notes/machinery-persists-by-warrant-not-position-in-a-reflective-loop.md	notes/scheduler-llm-separation-exploits-an-error-correction-asymmetry.md	premised-on	grounds-drift:G001	C4	C2	C13	UNSTABLE		high/medium/medium	mechanically-discoverable	connective-prose-only	connective-prose-only	stable-majority	connective-prose-only	medium/medium/medium
case-33b17d160ff4f4	negative-control	notes/ad-hoc-prompts-extend-the-system-without-schema-changes.md	notes/llm-context-is-composed-without-scoping.md	operates-through	mechanism-core:F038	C4	C2	C13	UNSTABLE		medium/high/high	connective-prose-only	connective-prose-only	connective-prose-only	unanimous	connective-prose-only	high/high/high
case-3496ee2db136b1	negative-control	notes/brainstorming-maintainability-oracles-for-agentic-development.md	notes/weakly-discriminated-qualities-tend-to-be-underselected.md	explained-by	mechanism-core:F114	C2	C4	C4	stable-majority	C4	high/high/high	mechanically-discoverable	mechanically-discoverable	mechanically-discoverable	unanimous	mechanically-discoverable	high/high/high
case-394ae9372bce28	boundary-correction	notes/short-composable-notes-maximize-combinatorial-discovery.md	notes/conjecture-is-seeing-the-particular-as-an-instance-of-the-general.md	premised-on	grounds-boundary	C13	C13	C13	unanimous	C13	medium/medium/medium	connective-prose-only	connective-prose-only	connective-prose-only	unanimous	connective-prose-only	medium/medium/medium
case-3cb813691b28b6	boundary-correction	notes/retaining-the-episode-keeps-a-distilled-rule-re-derivable.md	notes/artifacts-produced-from-sources-need-lineage-recorded-at-the-source.md	premised-on	grounds-boundary	C3	C3	C5	stable-majority	C3	high/high/high	mechanically-discoverable	connective-prose-only	mechanically-discoverable	stable-majority	mechanically-discoverable	high/high/high
case-3d16fd3a85e16a	primary	notes/methodological-and-computational-closure-track-different-changes.md	notes/a-methodology-governs-its-own-extension-only-as-far-as-it-settles.md	premised-on	grounds-baseline:P	C10	C10	C10	unanimous	C10	high/high/high	mechanically-discoverable	mechanically-discoverable	mechanically-discoverable	unanimous	mechanically-discoverable	high/high/high
case-3f238a6bfb20f0	negative-control	notes/false-positive-generation-is-filtered-before-retention.md	notes/a-proposal-selection-loop-requires-search-evaluation-and-retention.md	extends	grounds-boundary	C3	C3	C3	unanimous	C3	high/high/high	mechanically-discoverable	mechanically-discoverable	mechanically-discoverable	unanimous	mechanically-discoverable	high/high/high
case-41428517ec8382	negative-control	notes/agent-memory-needs-discoverable-composable-trusted-knowledge-under.md	notes/claw-learning-loops-must-improve-action-capacity-not-just-retrieval.md	explained-by	mechanism-core:F002	C10	C4	C12	UNSTABLE		high/high/medium	connective-prose-only	connective-prose-only	mechanically-discoverable	stable-majority	connective-prose-only	high/high/high
case-47d9b2d46aa6b4	primary	notes/theory-and-methodology-form-a-two-layer-execution-system.md	notes/first-principles-reasoning-selects-for-explanatory-reach-over.md	premised-on	grounds-baseline:P	C4	C13	C13	stable-majority	C13	medium/medium/medium	connective-prose-only	connective-prose-only	connective-prose-only	unanimous	connective-prose-only	medium/medium/medium
case-4d03ee8de3d7c3	primary	notes/fix-what-the-executor-cant-determine-not-what-it-will.md	notes/design-for-the-first-time-human-except-on-access-cost.md	premised-on	grounds-baseline:P	C1	C1	C13	stable-majority	C1	high/high/medium	mechanically-discoverable	connective-prose-only	connective-prose-only	stable-majority	connective-prose-only	high/medium/medium
case-4f00efdb446dff	boundary-correction	notes/linking-theory.md	notes/title-as-claim-makes-overlap-between-notes-visible.md	premised-on	grounds-boundary	C2	C2	C2	unanimous	C2	medium/high/high	connective-prose-only	mechanically-discoverable	mechanically-discoverable	stable-majority	mechanically-discoverable	high/high/high
case-575b06979464eb	negative-control	notes/the-bitter-lesson-selects-production-methods-not-representational.md	notes/scaling-absorbs-scaffolding-at-fixed-difficulty-not-at-the-frontier.md	explained-by	grounds-drift:G017	C8	C2	C2	stable-majority	C2	medium/high/high	mechanically-discoverable	connective-prose-only	mechanically-discoverable	stable-majority	mechanically-discoverable	medium/high/high
case-5996d10a688230	primary	notes/an-enforced-tag-readme-is-a-moc-with-a-machine-checked-contract.md	notes/llm-recompute-cost-inverts-the-store-vs-recompute-default.md	premised-on	grounds-baseline:P	C4	C4	C2	stable-majority	C4	high/high/high	mechanically-discoverable	mechanically-discoverable	mechanically-discoverable	unanimous	mechanically-discoverable	high/high/high
case-5ca86f39e5b984	prior-drift	notes/constraining-and-extraction-both-trade-generality-for-reliability.md	notes/exact-implementation-does-not-validate-a-requirement.md	premised-on	grounds-drift:G009	C11	C13	C13	stable-majority	C13	high/high/medium	connective-prose-only	connective-prose-only	connective-prose-only	unanimous	connective-prose-only	high/high/medium
case-5ea996e957b487	negative-control	notes/llm-context-is-a-homoiconic-medium.md	notes/methodology-enforcement-is-constraining.md	operates-through	mechanism-core:F072	C3	C3	C13	stable-majority	C3	high/high/medium	mechanically-discoverable	mechanically-discoverable	connective-prose-only	stable-majority	mechanically-discoverable	high/high/medium
case-5fea6da992bdb6	primary	notes/specification-level-separation-recovers-scoping-before-it-recovers.md	notes/llm-context-is-composed-without-scoping.md	premised-on	grounds-baseline:P	C2	C2	C4	stable-majority	C2	high/high/high	connective-prose-only	mechanically-discoverable	mechanically-discoverable	stable-majority	mechanically-discoverable	high/high/high
case-6152a54e6a18c8	primary	notes/design-for-the-first-time-human-except-on-access-cost.md	notes/agentic-systems-interpret-underspecified-instructions.md	premised-on	grounds-baseline:P	C2	C13	C13	stable-majority	C13	high/high/medium	connective-prose-only	connective-prose-only	connective-prose-only	unanimous	connective-prose-only	high/high/high
case-65f16a15010b0b	primary	notes/theory-mediated-learning-may-improve-sample-efficiency-under-shifts.md	notes/a-proposal-selection-loop-requires-search-evaluation-and-retention.md	premised-on	grounds-baseline:P	C3	C3	C4	stable-majority	C3	high/high/high	mechanically-discoverable	mechanically-discoverable	mechanically-discoverable	unanimous	mechanically-discoverable	high/high/high
case-68854084829173	negative-control	notes/commitment-not-derivation-creates-new-ground-truth.md	notes/artifacts-produced-from-sources-need-lineage-recorded-at-the-source.md	extends	grounds-boundary	C3	C3	C3	unanimous	C3	high/high/high	mechanically-discoverable	connective-prose-only	mechanically-discoverable	stable-majority	mechanically-discoverable	high/high/high
case-6c0a42a4b717c0	primary	notes/semantic-review-catches-content-errors-that-structural-validation.md	notes/error-correction-works-above-chance-oracles-with-decorrelated-checks.md	premised-on	grounds-baseline:P	C1	C2	C4	UNSTABLE		high/high/high	mechanically-discoverable	mechanically-discoverable	mechanically-discoverable	unanimous	mechanically-discoverable	high/high/high
case-6c50ade3801134	primary	notes/agent-runtimes-decompose-into-scheduler-context-engine-and-execution.md	notes/inspectable-artifact-not-supervision-defeats-the-blackbox-problem.md	premised-on	grounds-baseline:P	C2	C4	C4	stable-majority	C4	high/high/high	connective-prose-only	mechanically-discoverable	mechanically-discoverable	stable-majority	mechanically-discoverable	high/high/high
case-72ed741ccbd80f	primary	notes/trace-extracted-memory-earns-authority-per-operation-not-at-capture.md	notes/agent-memory-requirements/use-trace-extraction-as-meta-learning.md	premised-on	grounds-baseline:P	C2	C3	C4	UNSTABLE		high/high/high	mechanically-discoverable	mechanically-discoverable	mechanically-discoverable	unanimous	mechanically-discoverable	high/high/high
case-7434c2dafbccda	negative-control	notes/compiling-coordination-preserves-primitive-not-aggregate-authority.md	notes/rlm-has-the-model-write-ephemeral-orchestrators-over-sub-agents.md	evidenced-by	mechanism-boundary:F095	C6	C3	C13	UNSTABLE		medium/high/medium	connective-prose-only	mechanically-discoverable	connective-prose-only	stable-majority	connective-prose-only	medium/high/medium
case-792c56f9b2a2f7	primary	notes/first-principles-are-inherited-constraints-not-design-choices.md	notes/agent-context-is-constrained-by-soft-degradation-not-hard-token-limits.md	premised-on	grounds-baseline:P	C2	C2	C1	stable-majority	C2	high/high/high	connective-prose-only	mechanically-discoverable	mechanically-discoverable	stable-majority	mechanically-discoverable	high/high/high
case-8444045b653617	primary	notes/formal-systems-assess-explanatory-reach-through-causal-and-proof.md	notes/warranted-autonomy-is-bounded-by-oracle-domain.md	premised-on	grounds-baseline:P	C1	C5	C1	stable-majority	C1	medium/high/high	mechanically-discoverable	mechanically-discoverable	mechanically-discoverable	unanimous	mechanically-discoverable	high/high/high
case-8a530b0c39ba8e	primary	notes/llm-generation-confidence-tracks-typicality-not-soundness.md	notes/the-boundary-of-automation-is-the-boundary-of-verification.md	premised-on	grounds-baseline:P	C5	C8	C13	UNSTABLE		medium/high/high	mechanically-discoverable	mechanically-discoverable	connective-prose-only	stable-majority	mechanically-discoverable	high/high/high
case-9197caeafa3a8b	primary	notes/design-for-the-first-time-human-except-on-access-cost.md	notes/context-efficiency-is-the-central-design-concern-in-agent-systems.md	premised-on	grounds-baseline:P	C2	C2	C13	stable-majority	C2	high/high/high	connective-prose-only	connective-prose-only	connective-prose-only	unanimous	connective-prose-only	high/high/high
case-92aa92d533a0f1	boundary-correction	notes/linking-theory.md	notes/agents-navigate-by-deciding-what-to-read-next.md	premised-on	grounds-boundary	C8	C2	C3	UNSTABLE		medium/high/high	mechanically-discoverable	mechanically-discoverable	mechanically-discoverable	unanimous	mechanically-discoverable	high/high/high
case-93e833a0ae496b	primary	notes/selective-revision-needs-a-faithful-rationale-not-just-a-legible-one.md	notes/warranted-autonomy-is-bounded-by-oracle-domain.md	premised-on	grounds-baseline:P	C5	C5	C13	stable-majority	C5	medium/high/medium	connective-prose-only	mechanically-discoverable	connective-prose-only	stable-majority	connective-prose-only	high/high/medium
case-93f1ff2073f163	primary	notes/readable-artifact-loop-is-the-tractable-unit-for-continual-learning.md	notes/context-efficiency-is-the-central-design-concern-in-agent-systems.md	premised-on	grounds-baseline:P	C2	C2	C2	unanimous	C2	high/high/high	mechanically-discoverable	mechanically-discoverable	mechanically-discoverable	unanimous	mechanically-discoverable	high/high/high
case-9a724e4374e080	primary	notes/title-as-claim-exposes-commitments-enabling-popperian-maintenance.md	notes/mechanistic-constraints-make-popperian-kb-recommendations-actionable.md	premised-on	grounds-baseline:P	C13	C13	C2	stable-majority	C13	high/medium/high	connective-prose-only	connective-prose-only	mechanically-discoverable	stable-majority	connective-prose-only	high/medium/high
case-a0e84e8b184274	negative-control	notes/the-bitter-lesson-selects-production-methods-not-representational.md	notes/the-meta-harness-ablation-bounds-summarization-not-theory-formation.md	evidenced-by	grounds-drift:G021	C7	C6	C6	stable-majority	C6	high/high/high	connective-prose-only	mechanically-discoverable	mechanically-discoverable	stable-majority	mechanically-discoverable	high/high/high
case-a23b180adead23	primary	notes/the-framework-is-often-larger-than-the-durable-contribution.md	notes/short-composable-notes-maximize-combinatorial-discovery.md	premised-on	grounds-baseline:P	C4	C4	C4	unanimous	C4	high/high/high	mechanically-discoverable	mechanically-discoverable	mechanically-discoverable	unanimous	mechanically-discoverable	high/high/high
case-a627c01cfeb3e0	primary	notes/weakly-discriminated-qualities-tend-to-be-underselected.md	notes/the-boundary-of-automation-is-the-boundary-of-verification.md	premised-on	grounds-baseline:P	C8	C5	C13	UNSTABLE		high/high/medium	mechanically-discoverable	mechanically-discoverable	connective-prose-only	stable-majority	mechanically-discoverable	high/high/high
case-a628538d6d8332	primary	notes/definitions/reach-assessment.md	notes/first-principles-reasoning-selects-for-explanatory-reach-over.md	premised-on	grounds-baseline:P	C4	C4	C3	stable-majority	C4	high/high/high	connective-prose-only	mechanically-discoverable	mechanically-discoverable	stable-majority	mechanically-discoverable	high/high/high
case-ad48aaedc0e182	primary	notes/first-principles-are-inherited-constraints-not-design-choices.md	notes/short-composable-notes-maximize-combinatorial-discovery.md	premised-on	grounds-baseline:P	C3	C1	C2	UNSTABLE		high/high/high	mechanically-discoverable	mechanically-discoverable	mechanically-discoverable	unanimous	mechanically-discoverable	high/high/high
case-b1580658412f68	primary	notes/structure-inference-needs-capture-at-the-decision-surface.md	notes/raw-accumulation-does-not-create-usable-memory.md	premised-on	grounds-baseline:P	C2	C2	C3	stable-majority	C2	high/high/high	mechanically-discoverable	mechanically-discoverable	mechanically-discoverable	unanimous	mechanically-discoverable	high/high/high
case-b43b0ab7700ffe	negative-control	notes/only-derivation-and-inheritance-warrant-a-scope-claim-use-earns-it.md	notes/definitions/reflective-system.md	evidenced-by	grounds-drift:G019	C6	C10	C13	UNSTABLE		high/high/medium	mechanically-discoverable	mechanically-discoverable	connective-prose-only	stable-majority	mechanically-discoverable	medium/high/medium
case-b5510a490b71bf	primary	notes/a-derived-copy-of-recomputable-truth-must-be-checked-or-absent.md	notes/llm-recompute-cost-inverts-the-store-vs-recompute-default.md	premised-on	grounds-baseline:P	C2	C4	C13	UNSTABLE		high/high/high	connective-prose-only	mechanically-discoverable	connective-prose-only	stable-majority	connective-prose-only	high/high/high
case-b940441aeb021c	primary	notes/definitions/self-improving-system.md	notes/definitions/reflective-system.md	premised-on	grounds-baseline:P	C13	C11	C10	UNSTABLE		high/high/high	connective-prose-only	mechanically-discoverable	mechanically-discoverable	stable-majority	mechanically-discoverable	high/high/high
case-bac2e954ce6f0b	negative-control	notes/retaining-the-episode-keeps-a-distilled-rule-re-derivable.md	notes/reflective-coverage-is-graded-across-representational-forms.md	extends	grounds-boundary	C10	C4	C13	UNSTABLE		high/high/medium	connective-prose-only	mechanically-discoverable	connective-prose-only	stable-majority	connective-prose-only	high/high/medium
case-c299eb39a9c550	primary	notes/technical-constraints-make-kb-objective-choice-engineering.md	notes/a-knowledge-base-holds-theories-descriptions-and-prescriptions-with.md	premised-on	grounds-baseline:P	C10	C10	C10	unanimous	C10	high/high/high	connective-prose-only	mechanically-discoverable	mechanically-discoverable	stable-majority	mechanically-discoverable	high/high/high
case-c34b3568d535fc	primary	notes/goedel-machines-are-a-proof-governed-case-of-self-modification.md	notes/false-positive-generation-is-filtered-before-retention.md	premised-on	grounds-baseline:P	C11	C2	C2	stable-majority	C2	high/high/high	mechanically-discoverable	mechanically-discoverable	mechanically-discoverable	unanimous	mechanically-discoverable	high/high/high
case-c3ffb8d4901349	primary	notes/criteria-edits-invalidate-verdicts-process-edits-invalidate-artifacts.md	notes/history-has-one-chance-to-become-checkable.md	premised-on	grounds-baseline:P	C2	C2	C2	unanimous	C2	high/high/high	mechanically-discoverable	connective-prose-only	mechanically-discoverable	stable-majority	mechanically-discoverable	high/high/high
case-c44bc99dfa7da4	prior-drift	notes/scheduler-llm-separation-exploits-an-error-correction-asymmetry.md	notes/exact-implementation-does-not-validate-a-requirement.md	premised-on	grounds-drift:G016	C1	C4	C2	UNSTABLE		medium/high/high	mechanically-discoverable	mechanically-discoverable	mechanically-discoverable	unanimous	mechanically-discoverable	high/high/high
case-ca121ccba67434	primary	notes/agent-context-is-constrained-by-soft-degradation-not-hard-token-limits.md	notes/information-value-is-observer-relative.md	premised-on	grounds-baseline:P	C2	C2	C13	stable-majority	C2	high/medium/high	mechanically-discoverable	mechanically-discoverable	connective-prose-only	stable-majority	mechanically-discoverable	high/medium/high
case-ca2d686c8aa979	primary	notes/an-accepted-edit-verifies-the-change-not-the-rule.md	notes/oracle-strength-spectrum.md	premised-on	grounds-baseline:P	C5	C13	C2	UNSTABLE		medium/medium/medium	connective-prose-only	connective-prose-only	mechanically-discoverable	stable-majority	connective-prose-only	high/medium/medium
case-cacf9c28c10bff	negative-control	notes/evaluation-automation-is-phase-gated-by-comprehension.md	notes/spec-mining-as-codification.md	operates-through	mechanism-core:F108	C3	C3	C3	unanimous	C3	high/high/high	mechanically-discoverable	connective-prose-only	mechanically-discoverable	stable-majority	mechanically-discoverable	high/high/high
case-cbbd1d7667e81e	negative-control	notes/only-derivation-and-inheritance-warrant-a-scope-claim-use-earns-it.md	notes/bitter-lesson-selects-against-unearned-reach-not-against-structure.md	extends	grounds-drift:G012	C2	C13	C9	UNSTABLE		medium/medium/high	connective-prose-only	connective-prose-only	mechanically-discoverable	stable-majority	connective-prose-only	medium/medium/high
case-d45ce3e679afe0	primary	notes/commitment-not-derivation-creates-new-ground-truth.md	notes/agentic-systems-interpret-underspecified-instructions.md	premised-on	grounds-baseline:P	C2	C2	C2	unanimous	C2	high/high/high	mechanically-discoverable	mechanically-discoverable	mechanically-discoverable	unanimous	mechanically-discoverable	high/high/high
case-d78c572ba49b95	primary	notes/short-composable-notes-maximize-combinatorial-discovery.md	notes/context-efficiency-is-the-central-design-concern-in-agent-systems.md	premised-on	grounds-baseline:P	C4	C2	C13	UNSTABLE		high/high/high	mechanically-discoverable	connective-prose-only	connective-prose-only	stable-majority	connective-prose-only	high/high/high
case-d88171537c6fb6	primary	notes/design-for-the-first-time-human-except-on-access-cost.md	notes/llm-context-is-a-homoiconic-medium.md	premised-on	grounds-baseline:P	C13	C13	C13	unanimous	C13	high/medium/high	connective-prose-only	connective-prose-only	connective-prose-only	unanimous	connective-prose-only	medium/medium/high
case-de38abeca27643	primary	notes/the-practical-scheduler-is-the-host-language.md	notes/any-symbolic-program-with-llm-calls-is-a-select-call-program.md	premised-on	grounds-baseline:P	C3	C4	C4	stable-majority	C4	high/high/high	mechanically-discoverable	mechanically-discoverable	mechanically-discoverable	unanimous	mechanically-discoverable	high/high/high
case-debb81f590eb94	negative-control	notes/orchestration-strategies-and-run-state-have-opposite-persistence.md	notes/bounded-context-orchestration-model.md	operates-through	mechanism-core:F129	C10	C4	C4	stable-majority	C4	high/high/high	mechanically-discoverable	mechanically-discoverable	mechanically-discoverable	unanimous	mechanically-discoverable	high/high/high
case-e1177dbf35d92b	primary	notes/technical-constraints-make-kb-objective-choice-engineering.md	notes/first-principles-are-inherited-constraints-not-design-choices.md	premised-on	grounds-baseline:P	C1	C5	C1	stable-majority	C1	high/medium/high	mechanically-discoverable	mechanically-discoverable	mechanically-discoverable	unanimous	mechanically-discoverable	high/high/high
case-e42bba438fb9cb	boundary-correction	notes/linking-theory.md	notes/title-as-claim-exposes-commitments-enabling-popperian-maintenance.md	premised-on	grounds-boundary	C2	C2	C2	unanimous	C2	high/high/high	mechanically-discoverable	mechanically-discoverable	mechanically-discoverable	unanimous	mechanically-discoverable	high/high/high
case-e46581928a37b0	primary	notes/the-chat-history-model-trades-context-efficiency-for-implementation.md	notes/context-efficiency-is-the-central-design-concern-in-agent-systems.md	premised-on	grounds-baseline:P	C4	C2	C2	stable-majority	C2	medium/high/high	mechanically-discoverable	connective-prose-only	mechanically-discoverable	stable-majority	mechanically-discoverable	high/high/high
case-e5c79d4a63f396	boundary-correction	notes/title-as-claim-enables-traversal-as-reasoning.md	notes/agents-navigate-by-deciding-what-to-read-next.md	premised-on	grounds-boundary	C3	C2	C2	stable-majority	C2	medium/high/high	mechanically-discoverable	mechanically-discoverable	mechanically-discoverable	unanimous	mechanically-discoverable	high/high/high
case-f2af1a1b9045ca	primary	notes/increasing-computational-autonomy-relocates-human-effort.md	notes/methodological-and-computational-closure-track-different-changes.md	premised-on	grounds-baseline:P	C13	C1	C1	stable-majority	C1	medium/medium/high	connective-prose-only	mechanically-discoverable	mechanically-discoverable	stable-majority	mechanically-discoverable	medium/high/high
case-f885ae7745ebc0	prior-drift	notes/machinery-persists-by-warrant-not-position-in-a-reflective-loop.md	notes/self-improvement-is-relative-to-a-declared-objective.md	premised-on	grounds-drift:G002	C1	C13	C13	stable-majority	C13	medium/low/medium	connective-prose-only	connective-prose-only	connective-prose-only	unanimous	connective-prose-only	medium/low/medium
case-f88ac900b7b30e	primary	notes/fix-what-the-executor-cant-determine-not-what-it-will.md	notes/solve-low-degree-of-freedom-subproblems-first-to-avoid-blocking.md	premised-on	grounds-baseline:P	C4	C4	C4	unanimous	C4	high/high/high	mechanically-discoverable	mechanically-discoverable	mechanically-discoverable	unanimous	mechanically-discoverable	high/high/high
case-fa13dc1364da68	primary	notes/abstract-an-experience-only-when-you-can-state-the-boundary.md	notes/first-principles-reasoning-selects-for-explanatory-reach-over.md	premised-on	grounds-baseline:P	C4	C4	C4	unanimous	C4	high/high/high	connective-prose-only	mechanically-discoverable	mechanically-discoverable	stable-majority	mechanically-discoverable	high/high/high
case-fd065e5a4769ae	primary	notes/measuring-autonomy-well-enough-to-see-it-improve-is-an-open-problem.md	notes/definitions/self-improving-system.md	premised-on	grounds-baseline:P	C10	C1	C10	stable-majority	C10	high/high/high	mechanically-discoverable	mechanically-discoverable	mechanically-discoverable	unanimous	mechanically-discoverable	high/high/high
case-fe5439ef0e0cac	primary	notes/theory-mediated-self-improvement-needs-interpretation-and-retention.md	notes/formal-systems-assess-explanatory-reach-through-causal-and-proof.md	premised-on	grounds-baseline:P	C2	C3	C8	UNSTABLE		high/high/high	mechanically-discoverable	connective-prose-only	mechanically-discoverable	stable-majority	mechanically-discoverable	high/high/high
