check,warn_count,info_count,clean_count,sample_note,sample_finding
Unbridged cross-domain evidence,2,3,35,context-efficiency-is-the-central-design-concern-in-agent-systems.md,"The ""Prior work"" section cites Simon (1971) on human attention, Miller (1956) and Cowan (2001) on human working memory, and Toffler (1970) on human information overload. The bridging sentence — ""What's specific to agent systems is the unitary channel, the hard token limit, and the interaction between volume and complexity"" — identifies differences but does not explain the shared mechanism that makes the human findings relevant. Why does human attention economics transfer to token-based context windows? The analogy is plausible but the note treats it as self-evident."
Completeness — boundary case,2,2,0,human-writing-structures-transfer-to-llms-because-failure-modes-overlap.md,"The note proposes the methodology: ""evaluate the specific arguments for why a structure helps humans, and check whether each argument applies to LLMs."" The simplest boundary case is a structure that helps humans for reasons that have no LLM analog — e.g., methods sections in scientific papers enable reproducibility (the note mentions this). But a harder boundary case sits between the enumerated items: structures that help humans via social/institutional mechanisms (peer review conventions, legal brief format enforced by courts, academic citation norms). These exist because of institutional accountability, not cognitive failure prevention. The note frames all human writing structures as evolving to prevent reasoning failures, but many evolved to satisfy institutional requirements. This category is not covered, and the per-convention evaluation methodology would need to account for it."
Grounding alignment — domain coverage,2,1,0,spec-mining-as-codification.md,"The note attributes a specific workflow to the Lopopolo source: ""20% of engineering time (Fridays) went to manually cleaning 'AI slop' — observing failure patterns. The team then codified those observations into structural tests and linter rules whose error messages teach the fix, and finally automated the observation step itself with background cleanup agents that scan for drift and open refactoring PRs."" The source does describe these elements (entropy management, structural tests, linter error messages as remediation, background cleanup agents). However, the source does not frame this as ""spec mining"" or as an extraction-from-observed-behavior loop. The source frames it as entropy management and harness engineering — designing constraints, enforcing architecture, and automating cleanup. The note interprets the Codex team's practice through the spec-mining lens, which is a reasonable inference but not an attribution. A reader could mistake this for the source's own framing. The note says ""documents this workflow"" which implies the source describes the spec-mining pattern; in fact, the source describes practices that the note reinterprets as spec mining."
Grounding — scope mismatch,2,1,0,files-not-database.md,"The note claims ""the techniques worth borrowing from [Cludebot] (typed link semantics, contradiction surfacing, staleness decay) can all be implemented over files."" The linked source (what-cludebot-teaches-us.md) is more nuanced. It explicitly places **graph-based retrieval** in a ""watch for as the KB grows"" category, saying ""if the KB reaches 1000+ notes with dense cross-linking, navigating via link graph could outperform flat search."" It similarly flags **co-retrieval reinforcement** (Hebbian learning on retrieval patterns) as requiring retrieval logging infrastructure that goes beyond files. The note cherry-picks three transferable techniques and claims ""all"" valuable patterns transfer, while the source itself identifies at least two techniques (graph traversal and co-retrieval reinforcement) that may not transfer to files at scale. The word ""all"" in the note overstates the source."
Anthropomorphic framing,1,11,28,agents-navigate-by-deciding-what-to-read-next.md,"The note consistently uses ""she/her"" pronouns and human-like agency language for agents: ""An agent has a task and needs information she doesn't yet have,"" ""lets her judge without paying that cost,"" ""the agent knows both what's there and why it matters before deciding."" While the note's title uses ""agents"" generically, the body reads as if describing a human researcher rather than an LLM-based agent. Verbs like ""knows,"" ""decides,"" and ""judge"" attribute cognitive capacities without qualification."
Completeness / boundary case — relaxing,1,0,0,codification-and-relaxing-navigate-the-bitter-lesson-boundary.md,"The note defines relaxing as ""replacing a codified component with a learned or general-purpose one when scale makes that viable."" The examples given (edge detection relaxed to learned features, FlashAttention as re-codification) all involve replacement at the same level of abstraction. But a common real-world pattern is partial relaxing: loosening a strict spec into a softer constraint rather than wholesale replacement. For example, a rigid three-stage pipeline might not be entirely replaced by a learned system but instead have its stage boundaries made fuzzy or optional. The note frames codify/relax as a binary toggle (""replacing a codified component""), but the constraining note it links to describes a spectrum. The binary framing obscures the gradual relaxation that is probably more common in practice than wholesale replacement."
Completeness — boundary case: implicit-warrant notes,1,0,0,claim-notes-should-use-toulmin-derived-sections-for-structured-argument.md,"The note advocates for an Evidence section that separates ""checkable fact"" from reasoning. Boundary case: many KB notes derive their claims from architectural reasoning or conceptual analysis rather than checkable observations (e.g., ""If the type were called `claim`, an LLM reading 'titles should be claims' would infer every note needs `type: claim`"" — this note's own reasoning is a thought experiment, not checkable evidence). When Evidence sections are filled with reasoning-from-principles rather than verifiable observations, the Evidence/Reasoning split collapses. The note's own Caveats section partly acknowledges this with the ""flow problems"" caveat, but does not address the more specific issue that the Evidence/Reasoning distinction may not carve nature at its joints for conceptual-argument notes."
Grounding -- domain coverage,1,0,0,memory-management-policy-is-learnable-but-oracle-dependent.md,"The note uses the bitter-lesson boundary to frame AgeMem's architecture: ""the operations are the calculator part (specifiable, deterministic), while the composition policy is the vision-feature part (learnable, benefits from scale)."" The bitter-lesson note's core distinction is whether ""the specification fully captures the problem."" The note applies this by saying memory operations are fully specified (calculator) while the policy is not (vision feature). But AgeMem's operations are not fully specified in the bitter-lesson sense -- they are hand-crafted tools with designed interfaces, which is different from specifications that ARE the problem (like multiplication). ""Add a key-value pair"" is a human-designed interface to memory, not a formal specification of what memory storage IS. The operations are closer to the vision-feature side than the note acknowledges -- they are a theory of what memory operations look like, not a definition. The bitter-lesson note's own chess example is instructive: the rules of chess are the arithmetic part because they define legal play, not because they are hand-crafted tools. AgeMem's six tools define an API, not the problem."
Grounding / Scope mismatch,1,0,0,capability-placement-should-follow-autonomy-readiness.md,"The note claims ""Capability placement is a separate decision from AGENTS.md control-plane design,"" but the parent note (agents-md-should-be-organized-as-a-control-plane.md) already includes capability inventories in its exclusion rules (line 93: ""capability inventories (injected or non-injected)"") and discusses lifecycle guidance (section ""Lifecycle of guidance,"" lines 98-108) that covers the same progression this note formalizes. The parent note treats capability placement as a consequence of the control-plane model, not a separate decision. This note reframes it as independent, but the linked source treats it as derived. The relationship annotation says ""isolates the separate decision rule,"" but the source material suggests the rule was already embedded, not separate."
Grounding / domain coverage,1,0,0,document-classification.md,"The note claims that `note` ""defines the shared fields (description, status, traits, areas)"" but when checking types/note.md, the global fields listed there are: `description`, `type`, `traits`, `tags`, and `status`. The note says ""areas"" but the actual spec says ""tags."" This is a vocabulary mismatch — `areas` was likely the old name for what is now `tags`. The attribution does not match the source."
Grounding / domain coverage — Finzi et al.,1,0,0,codification-and-relaxing-navigate-the-bitter-lesson-boundary.md,"The note claims ""High-epiplexity regularities are genuinely structural — codifying them is safer because they reflect real patterns, not artefacts of the observer's computational budget."" The epiplexity paper defines epiplexity as learnable structure extractable by a computationally bounded observer. But it does not address codification, safety of encoding patterns, or the distinction between arithmetic-regime and vision-feature specs. The note's inference chain — high epiplexity means genuinely structural, therefore safer to codify — bridges two domains that the source does not connect. Epiplexity measures extractable structure in data for a given computational budget; it does not predict whether extracted structure will survive scaling by a different, more powerful observer. A high-epiplexity pattern (learnable at current compute) could still be a vision feature that a larger-compute observer would supersede with a better decomposition. The note presents this as if the source grounds the codification-safety claim, but the source grounds only the ""genuinely structural vs artefact"" distinction within a fixed computational bound."
Grounding / scope mismatch — Ebrahimi et al.,1,0,0,codification-and-relaxing-navigate-the-bitter-lesson-boundary.md,"The note claims that the induction bias results show ""codification bets in the arithmetic regime are not merely safe-for-now; the step-by-step structure that codification encodes is the kind of regularity that persists under scaling."" The source studies data efficiency of architectural induction bias (recurrent vs transformer) on synthetic algebraic state-tracking tasks (modular addition, permutation composition) using small fixed-size models. It does not test whether the advantage persists under model scaling (more layers, larger dimensions), and the authors explicitly acknowledge this limitation. The note's upgrade from ""architectural induction bias is efficient for algebraic tasks at tested scales"" to ""codification bets persist under scaling"" is the note's own inference, not an attribution. The ingest file's limitations section specifically flags this: ""this leaves open the possibility that the data-efficiency gap narrows with scale — which would be exactly the bitter lesson's prediction."""
Grounding alignment — affordance table,1,0,0,claim-notes-should-use-toulmin-derived-sections-for-structured-argument.md,"The note claims ""Types mark affordances lists `claim` affordances as: verify, gather evidence, challenge, use as assumption"" and attributes this to the linked note `instructions-are-typed-callables.md`. That note does not contain an affordance table with those four operations. It mentions that ""a `structured-claim` affords verification"" in passing and has a skill-signature table (ingest, connect, validate, convert), but no enumeration of claim-specific affordances. The four operations (verify, gather evidence, challenge, use as assumption) appear to be the reviewed note's own inference, not an attribution from the source. This makes one of the ""three independent threads"" of evidence weaker than presented — the thread is the note's own analysis, not something the source arrived at independently."
Grounding alignment — link semantics as warrants,1,0,0,claim-notes-should-use-toulmin-derived-sections-for-structured-argument.md,"The note states ""Link semantics using 'since' and 'because' encode warrants"" (Evidence item 1), attributing this to the title-as-claim note. The title-as-claim note describes ""since"" and ""because"" as link semantics that encode causal and foundational relationships, and separately in its Relevant Notes section describes Toulmin as ""the theory behind what this note describes."" However, the title-as-claim note's body text never uses the term ""warrant"" to describe what ""since""/""because"" encode — the warrant framing is only in the footer link annotation, which was likely written after this structured-claim note existed. The Toulmin mapping (link semantics = warrants) may be more the reviewed note's retroactive reading than something the title-as-claim note itself arrived at independently, weakening the ""three independent threads"" convergence claim."
Grounding alignment — scope mismatch,1,0,0,learning-substrates-backends-and-artifact-forms.md,"The note claims AgeMem is a ""clean example"" of the subsymbolic substrate class. The companion note (memory-management-policy-is-learnable-but-oracle-dependent.md) uses the same phrase — ""the clean weight-side case"" — but then spends an entire section (""How it stores what it learns: split substrate"") explaining that AgeMem is actually a split case with facts in a somewhat inspectable key-value store and only the policy in weights. The ""clean example"" characterization in this note overstates the simplicity that the cited source itself qualifies."
"Grounding alignment — scope of ""scoping benefits""",1,0,0,specification-level-separation-recovers-scoping-before-it-recovers-error-correction.md,"The note claims OpenProse-style systems ""recover some of the scoping benefits described in [LLM context is composed without scoping]."" The scoping note identifies several distinct benefits: isolation via sub-agents (lexical scoping), prevention of spooky action at a distance, avoidance of name collision, and the ability to reason locally. Specification-level separation as described here — naming control flow, marking discretion, externalising state into files — plausibly addresses externalisation (moving state out of the conversation) and some frame-boundary clarity, but does not provide the sub-agent isolation that the scoping note identifies as ""the one place where real isolation is achievable."" The note does not distinguish which scoping benefits are recovered and which are not, risking an overstatement of what specification-level separation delivers relative to its cited source."
Grounding – domain coverage,1,0,0,constraining-during-deployment-is-continuous-learning.md,"The note claims that developer behaviors documented in the Huang et al. study — ""developers iteratively refine prompts, tools, and workflows based on deployment experience"" — constitute ""continuous learning through constraining."" But the ingest note for that source explicitly warns: ""Strategies described, not evaluated"" and ""Single 45-minute observation window."" The study captures cross-sectional snapshots of developer practices, not longitudinal evidence of durable capacity change accumulating over time. Simon's definition requires ""more or less permanent change in capacity"" — a single observation session cannot establish permanence. The note treats ""developers do X"" as evidence for ""X is continuous learning,"" but the cited source does not actually show the accumulation or persistence of the artifacts it describes. The inference from observed behavior to continuous learning is plausible but unsupported by the cited evidence specifically."
Internal consistency,0,27,61,,
Redundant restatement,0,5,35,,
Consistency,0,2,6,,
Grounding — vocabulary mismatch,0,2,0,,
Pseudo-formalism,0,2,38,,
"Completeness / boundary case — ""every codification is a bet""",0,1,0,,
Completeness / boundary case — the simplest possible instance,0,1,0,,
Completeness — Graphiti boundary,0,1,0,,
Completeness — boundary case: notes with mixed argument shapes,0,1,0,,
Completeness — boundary case: resumability,0,1,0,,
Completeness — boundary case: the reviewed note itself,0,1,0,,
Consistency/definition-drift,0,1,0,,
Grounding / Domain,0,1,0,,
Grounding / Vocabulary,0,1,0,,
Grounding / vocabulary — Finzi et al.,0,1,0,,
"Grounding alignment — ""named but not hardened""",0,1,0,,
Grounding alignment — Toulmin source coverage,0,1,0,,
Grounding alignment — oracle-strength-spectrum,0,1,0,,
Grounding alignment — vocabulary,0,1,0,,
Grounding – inference validity,0,1,0,,
Grounding – vocabulary mismatch,0,1,0,,
Grounding — attribution,0,1,0,,
Grounding — evidence strength,0,1,0,,
Grounding — vocabulary,0,1,0,,
Grounding/domain-coverage,0,1,0,,
"Internal consistency — ""feel substantially better""",0,1,0,,
"Internal consistency — ""trajectory, not a law"" vs. ""persist under scaling""",0,1,0,,
Internal consistency — Caveats tension,0,1,0,,
Internal consistency — definition drift,0,1,1,,
Internal consistency — title vs. body,0,1,0,,
internal consistency,0,1,6,,
internal-consistency,0,1,3,,
Completeness — FlashAttention and tokenizer examples,0,0,1,,
Completeness — Toulmin component coverage,0,0,1,,
Completeness — incremental constraining sequence,0,0,1,,
Completeness — spec mining framing,0,0,1,,
Grounding alignment — Thalo comparison,0,0,1,,
Grounding alignment — arscontexta,0,0,1,,
Grounding alignment — bitter lesson boundary,0,0,1,,
Grounding alignment — codification,0,0,1,,
Grounding alignment — codification contrast,0,0,1,,
Grounding alignment — constraining pattern,0,0,1,,
Grounding alignment — cybernetics source,0,0,1,,
Grounding alignment — error correction,0,0,1,,
Grounding alignment — inspectable substrate,0,0,1,,
Grounding alignment — instruction specificity,0,0,1,,
Grounding alignment — link contracts framework,0,0,1,,
Grounding alignment — oracle strength spectrum,0,0,1,,
Grounding alignment — tool-use as different path,0,0,1,,
Grounding — AgeMem,0,0,1,,
Grounding — Fintool,0,0,1,,
Grounding — Graphiti,0,0,1,,
Grounding — Koylanai factual accuracy,0,0,1,,
Grounding — Simon,0,0,1,,
Grounding — bitter-lesson-boundary note,0,0,1,,
Grounding — codification,0,0,1,,
Grounding — constraining trade-off note,0,0,1,,
Grounding — discovery,0,0,1,,
Internal consistency — Evidence/Reasoning separation,0,0,1,,
Internal consistency — Graphiti section vs. main argument,0,0,1,,
Internal consistency — cost claim,0,0,1,,
Internal consistency — definition stability,0,0,1,,
Internal consistency — definitions,0,0,1,,
Internal consistency — naming rationale,0,0,1,,
Internal consistency — open questions,0,0,1,,
Internal consistency — pairwise consistency,0,0,1,,
Internal consistency — pairwise contradiction,0,0,1,,
Internal consistency — relationship to scheduler note,0,0,1,,
Internal consistency — risks vs. pattern,0,0,1,,
Internal consistency — schema commitment argument,0,0,1,,
Internal consistency — section alignment,0,0,1,,
Internal consistency — three-level taxonomy vs. body,0,0,1,,
Internal consistency — title and body,0,0,1,,
