note,warn_count,info_count,clean_count
instructions-are-skills-without-automatic-routing.md,2,4,5
link-graph-plus-timestamps-enables-make-like-staleness-detection.md,2,4,5
reverse-compression-is-the-failure-mode-where-llm-output-expands-without-adding-information.md,2,4,5
scenario-decomposition-drives-architecture.md,2,4,6
scenarios.md,2,4,4
solve-low-degree-of-freedom-subproblems-first-to-avoid-blocking-better-designs.md,2,4,5
specification-level-separation-recovers-scoping-before-it-recovers-error-correction.md,2,4,5
stateful-tools-recover-control-by-becoming-hidden-schedulers.md,2,4,4
title-as-claim-enables-traversal-as-reasoning.md,2,4,6
title-as-claim-makes-overlap-between-notes-visible.md,2,4,3
traditional-debugging-intuitions-break-when-tool-loops-can-recover-semantically.md,2,4,6
why-directories-despite-their-costs.md,2,4,5
wikiwiki-principle-lowest-friction-capture-then-progressive-refinement.md,2,4,5
changing-requirements-conflate-genuine-change-with-disambiguation-failure.md,2,3,5
deterministic-validation-should-be-a-script.md,2,3,5
evolving-understanding-needs-re-distillation-not-composition.md,2,3,9
instruction-specificity-should-match-loading-frequency.md,2,3,5
maintenance-operations-catalogue-should-stage-distillation-into-instructions.md,2,3,5
needs-testing.md,2,3,3
semantic-sub-goals-that-exceed-one-context-window-become-scheduling-problems.md,2,3,5
silent-disambiguation-is-the-semantic-analogue-of-tool-fallback.md,2,3,5
subtasks-that-need-different-tools-force-loop-exposure-in-agent-frameworks.md,2,3,4
the-chat-history-model-trades-context-efficiency-for-implementation-simplicity.md,2,3,7
title-as-claim-exposes-commitments-enabling-popperian-maintenance.md,2,3,4
quality-signals-for-kb-evaluation.md,1,9,6
agents-navigate-by-deciding-what-to-read-next.md,1,4,5
periodic-kb-hygiene-should-be-externally-triggered-not-embedded-in-routing.md,1,3,5
distillation.md,0,5,7
