note,warn_count,info_count,top_warning_checks,sample_warning
automated-tests-for-text.md,3,4,"Completeness, Grounding","The three-level pyramid (Deterministic / LLM rubric / Corpus compatibility) is presented as a test pyramid analogy to software testing, but the analogy is structurally incomplete. A software test pyramid has unit/integration/E2E levels distinguished by scope and cost. The note's three levels mix the basis of distinction: ""deterministic"" is defined by check method (can it be automated without an LLM?), ""LLM rubric"" is defined by executor (needs an LLM), and ""corpus compatibility"" is defined by scope (cross-document). These are three different axes, not three levels of a single pyramid dimension. A deterministic corpus-wide check (e.g., global terminology consistency via grep) would sit at level 1 by method but level 3 by scope. The pyramid framing implies a single ordering dimension (cheap-to-expensive, narrow-to-wide) but the actual items don't consistently track one dimension."
capability-placement-should-follow-autonomy-readiness.md,3,4,"Completeness, Grounding / Scope mismatch","The three-tier decision rule uses ""autonomy readiness"" as its single organizing variable, but the linked parent note (agents-md-should-be-organized-as-a-control-plane.md) uses a two-variable model: loading frequency x failure cost. A capability could be autonomy-ready yet have low loading frequency (rarely needed), or not autonomy-ready yet have high failure cost (dangerous if the agent improvises instead of following a procedure). The note does not address how autonomy readiness interacts with these two variables. Boundary case: a capability that is safe for autonomous execution but only used once a quarter -- the decision rule says ""promote to skill,"" but the control-plane note's logic says ""occasional -> operations catalogue."" The two frameworks give conflicting placement advice for this case."
claim-notes-should-use-toulmin-derived-sections-for-structured-argument.md,3,4,"Grounding alignment — affordance table, Grounding alignment — link semantics as warrants, Completeness — boundary case: implicit-warrant notes","The note claims ""Types mark affordances lists `claim` affordances as: verify, gather evidence, challenge, use as assumption"" and attributes this to the linked note `instructions-are-typed-callables.md`. That note does not contain an affordance table with those four operations. It mentions that ""a `structured-claim` affords verification"" in passing and has a skill-signature table (ingest, connect, validate, convert), but no enumeration of claim-specific affordances. The four operations (verify, gather evidence, challenge, use as assumption) appear to be the reviewed note's own inference, not an attribution from the source. This makes one of the ""three independent threads"" of evidence weaker than presented — the thread is the note's own analysis, not something the source arrived at independently."
codification-and-relaxing-navigate-the-bitter-lesson-boundary.md,3,4,"Grounding / domain coverage — Finzi et al., Grounding / scope mismatch — Ebrahimi et al., Completeness / boundary case — relaxing","The note claims ""High-epiplexity regularities are genuinely structural — codifying them is safer because they reflect real patterns, not artefacts of the observer's computational budget."" The epiplexity paper defines epiplexity as learnable structure extractable by a computationally bounded observer. But it does not address codification, safety of encoding patterns, or the distinction between arithmetic-regime and vision-feature specs. The note's inference chain — high epiplexity means genuinely structural, therefore safer to codify — bridges two domains that the source does not connect. Epiplexity measures extractable structure in data for a given computational budget; it does not predict whether extracted structure will survive scaling by a different, more powerful observer. A high-epiplexity pattern (learnable at current compute) could still be a vision feature that a larger-compute observer would supersede with a better decomposition. The note presents this as if the source grounds the codification-safety claim, but the source grounds only the ""genuinely structural vs artefact"" distinction within a fixed computational bound."
constraining-and-distillation-both-trade-generality-for-reliability-speed-and-cost.md,3,4,"Completeness, Grounding","The note claims reliability, speed, and cost ""move together because the substrate changes"" (claim 4), but this causal explanation is specific to the calculator/codification case. The note itself provides a counter-pattern two paragraphs later: ""Constraining short of codification (storing outputs, writing conventions) also improves reliability and speed."" In that case the substrate does NOT change -- the artifact stays in natural language. The compound gains in those cases must have a different cause (e.g. removing re-interpretation overhead), but the note offers ""substrate change"" as the general explanation. The foundation note (learning-is-not-only-about-generality.md) is more careful, saying the compound dimensions ""often improve simultaneously"" and that codification is ""the clearest example."" The reviewed note promotes the codification-specific causal mechanism to a general principle."
constraining-during-deployment-is-continuous-learning.md,3,4,"Completeness, Grounding – domain coverage","""The extractable, testable subset that constraining handles covers most of what deployed systems need"" (para 6) is a strong quantitative claim (""most"") with no grounding. No cited source supports a proportion estimate. The developer study (Huang et al.) documents control strategies but says nothing about what fraction of deployed-system needs those strategies cover. The note's own prior paragraph acknowledges weight-based learning handles ""distributional knowledge (style, tone, world knowledge)"" — it is not obvious this is the minority case. For a style-sensitive application (marketing copy, creative writing, brand voice), distributional knowledge may be the majority of what the deployed system needs. This claim would benefit from either qualification (""covers a substantial share"") or evidence."
constraining.md,3,4,"Completeness, Grounding","The constraining spectrum table lists five rows (store output, write description, create convention, add structured sections, extract deterministic function) but the note says ""constraining is a gradient, not a single operation."" The table presents discrete steps without acknowledging cases that sit between them. Specifically: **renaming a file to follow a naming convention** is both ""creating a convention"" and ""storing an output"" (the name is a committed interpretation). **Adding an eval or test harness** constrains behavior significantly (the linked note on methodology-enforcement-is-constraining.md covers hooks, which occupy exactly this middle ground) but does not appear in the spectrum table. The table reads as illustrative rather than exhaustive, but the absence of any qualifier (""e.g.,"" ""such as,"" ""key steps include"") makes it look like a complete enumeration. The linked underspecification note's own constraining discussion includes prompt restructuring and evals, which this note's spectrum table omits."
document-types-should-be-verifiable.md,3,4,"Completeness, Grounding — domain coverage","The base types table lists four types: `note`, `spec`, `review`, `index`. But the companion spec (document-classification.md) lists seven: `text`, `note`, `spec`, `review`, `index`, `adr`, `structured-claim`. The note itself later mentions `structured-claim` in the body (""What it called 'insight' becomes `structured-claim`..."") but never adds it to the base types table. A reader relying on the table as the definitive enumeration would miss `text`, `adr`, and `structured-claim` as base types. Since the note presents the table as the solution to the flat-types problem (""Instead of a flat enum, use a base type plus traits""), this looks like an incomplete enumeration rather than a deliberate simplification."
ephemeral-computation-prevents-accumulation.md,3,4,"Completeness, Grounding","The binary fork (""keep the artifacts or discard them"") omits a significant intermediate: systems that generate artifacts, use them, and then selectively persist some while discarding others within a single run. The note acknowledges this later (""Most practical systems sit somewhere between"") but the opening framing in ""The fork"" section presents it as a clean binary: ""Systems that generate artifacts face a fork: keep the artifacts or discard them. The choice determines whether the system can learn across runs."" The spectrum acknowledgment in ""Ephemerality as anti-codification"" partially rescues this, but the title claim and opening paragraph both assert a binary that the body then softens. A reader who stops at ""The fork"" section gets a stronger claim than the note actually defends."
human-writing-structures-transfer-to-llms-because-failure-modes-overlap.md,3,4,"Completeness, Grounding — domain coverage, Completeness — boundary case","The note enumerates three LLM failure modes that overlap with human ones: ""they get distracted by irrelevant context, they conflate evidence with opinion, they skip qualifications when the argument feels strong."" The Lampinen source cited does not discuss any of these three specific failure modes. Lampinen demonstrates content effects (belief bias, familiarity facilitation) on syllogisms, NLI, and Wason tasks. ""Getting distracted by irrelevant context"" is not among them — the source tests content that supports or conflicts with correct inferences, not irrelevant distractors. ""Conflating evidence with opinion"" and ""skipping qualifications"" are also absent from Lampinen. The enumeration appears to draw on general LLM intuitions rather than the cited evidence, but the note presents it as grounded in observed overlap. The source grounds a different (and arguably stronger) claim: LLMs show belief-bias effects that parallel human belief-bias effects."
learning-is-not-only-about-generality.md,3,4,"Completeness, Grounding — domain coverage","The note claims ""accumulation"" is ""the most basic"" learning operation and names it alongside the scope table, but the note also uses ""discovery,"" ""constraining,"" and ""distillation"" as operations elsewhere. The note never enumerates the full set of learning operations; the word ""most basic"" implies a hierarchy of operations, but the hierarchy is only partially visible. A reader could mistake accumulation as the *only* operation discussed under generality, when in fact the scope table mixes accumulation (adding a typo fix, adding a connection) with what might be constraining or methodology improvement. The table rows do not all map cleanly to ""accumulation"" — ""Define structured sections for a type"" and ""Improve methodology"" look more like constraining or discovery than accumulation. If accumulation means ""adding knowledge to the store,"" then methodology improvement is not accumulation of a stored item but a change to how the system operates. The note's own framework strains here."
learning-substrates-backends-and-artifact-forms.md,3,4,"Completeness, Grounding alignment — scope mismatch","The two-item substrate enumeration (subsymbolic / symbolic artifact) claims to be ""the primary split,"" but hybrid-substrate systems are not accounted for. AgeMem is described in the companion note (memory-management-policy-is-learnable-but-oracle-dependent.md) as a ""split substrate"" — facts in a symbolic store, policy in weights. The taxonomy table in this note lists AgeMem as purely ""Subsymbolic"" with backend ""Model parameters,"" which is inaccurate per the KB's own analysis. The companion note explicitly says: ""AgeMem accepts a substrate split: facts go into a memory store (somewhat inspectable key-value pairs), but the policy for managing them goes into model weights."" If the primary split is binary, hybrid cases must be addressed — either as belonging to one side, or as a third category. Currently the table forces a clean assignment that the KB's own evidence contradicts."
link-contracts-framework.md,3,4,"Completeness, Grounding — scope mismatch","The ""five questions a reader silently asks"" omit a question that the note's own content elsewhere treats as important: ""How does this relate to what I'm reading?"" The note's own ""Making link decisions obvious"" section recommends ""when to click"" language and contextual placement, which addresses the relationship between the link target and the reader's current task — a question distinct from the five listed. The five questions are framed as destination-oriented (what is it, what will it cost) but the decision also depends on the reader's current state and goal. This is arguably the most important question for an agent (""Is this relevant to my current task?""), and agents-navigate-by-deciding-what-to-read-next makes it the central concern: ""how likely is this pointer to lead somewhere relevant."" The five-question enumeration covers the target but not the reader-target fit."
unified-calling-conventions-enable-bidirectional-refactoring.md,3,4,"Completeness, Grounding","The note claims unified calling makes ""each codification step"" no longer a breaking change and that ""each link can be independently refactored without disturbing the rest."" This treats the calling convention as sufficient for local refactoring, but semantic compatibility is a separate concern. If an agent returns free-form text and the codified replacement returns structured JSON, the call site may not change but the caller's downstream handling breaks. The calling convention unifies dispatch, not the contract on return values. The note's own ""typed callables"" section implicitly acknowledges this (typed inputs and outputs), but the body's claims about locality don't qualify on output-type compatibility."
continuous-learning-requires-durability-not-weight-updates.md,3,3,"Completeness, Grounding","The note claims ""the important boundary is ephemeral vs durable, not weights vs not-weights"" and that durability is ""the only thing the definition requires."" But Simon's definition says ""more or less permanent change in its capacity for adapting to its environment."" The note operationalizes ""permanent"" as ""durable"" and drops ""capacity for adapting to its environment."" A durable artifact that persists but never actually changes behavior (e.g., a tip that is stored but never retrieved, or a schema that is committed but never loaded into context) satisfies the note's durability criterion but not Simon's full definition. The note acknowledges ""later behavior depends on it"" in paragraph 3 but the title claim and boundary claim (claim 9) reduce the requirement to durability alone. The gap between ""durable"" and ""durable AND causally active"" is elided."
spec-mining-as-codification.md,3,3,"Completeness, Grounding alignment — domain coverage, Completeness — boundary case","""The calculator surface grows monotonically"" (Concrete workflow, step 5) overstates the claim. The note's own Risks section acknowledges that mined specs can encode biases or accidents, and the linked relaxing-signals note describes scenarios where mined specs must be relaxed back. If a mined spec is relaxed (removed or loosened because it encoded a vision feature), the calculator surface shrinks. The monotonicity claim holds only if no mined spec is ever reverted, which contradicts the note's own constrain/relax framing. A more precise claim would be ""the calculator surface grows monotonically net of relaxing."""
two-kinds-of-navigation.md,3,3,"Completeness, Grounding alignment","The note claims ""two ways to move through a knowledge base"" but the cited source (agents-navigate-by-deciding-what-to-read-next.md) identifies four pointer types: inline links, index entries, skill descriptions, and search tools. Skill descriptions are a navigation mechanism that does not fit cleanly into either ""following links"" or ""search"" as defined here -- they are more like declarative routing hints than either local traversal or keyword query. The note's own acknowledgment that ""indexes sit in between"" already concedes the binary is leaky, but skill-based navigation is a further case that falls outside the two-pole framing entirely."
context-efficiency-is-the-central-design-concern-in-agent-systems.md,2,5,"Completeness, Grounding","The six architectural responses omit tool-call offloading (moving computation out of context entirely), despite this being the core mechanism of the note's own concluding architectural vision (""symbolic scheduling over bounded LLM calls""). The bounded-context orchestration model reference gestures at this, but the enumerated list is presented as the set of patterns context scarcity produces, and the note's own recommended computational model is not represented in its own list of responses."
codification.md,2,4,Completeness,"The note defines codification by three criteria: (1) the medium changes (natural language to code), (2) the consumer changes (LLM to interpreter/runtime), (3) verification becomes exact. Structured output schemas (e.g., JSON Schema) satisfy all three: they are written in a formal language, consumed by a validator (not an LLM), and verification is deterministic (valid/invalid). Yet the constraining note's verifiability gradient table places structured output schemas in a middle grade, not at the codification end. The codification note does not address this boundary case — its definition admits more instances than its examples suggest. Either the definition is too permissive (and should add a criterion that distinguishes schemas from code) or schemas are a form of codification the note should acknowledge."
document-classification.md,2,4,"Completeness, Grounding / domain coverage","The base types table lists seven types, but the note says ""The `type` field is a free-form string"" and that ""directory-scoped `types/` folders document the structural expectations for each."" This creates a tension: the table reads as an exhaustive enumeration (""The table below lists the common values"") but the linked note directory-scoped-types-are-cheaper-than-global-types.md explicitly argues that types like `adr`, `review`, and `index` should be directory-local specializations, not global base types. A boundary case: a `source-review` type (mentioned in directory-scoped-types-are-cheaper-than-global-types.md under ""Where affordances actually live"") is absent from this table — is it a base type or a directory-scoped type? The note does not clarify the boundary between ""common values"" listed here and directory-scoped types documented elsewhere. This is a real gap: an agent reading only this spec cannot tell whether to add new types to this table or to a directory-scoped types/ folder."
scenarios.md,2,4,Completeness,"The note claims to present ""concrete use cases for the knowledge system"" but enumerates only two: upstream change analysis and proposing our own changes. Both are externally-directed argumentation scenarios (writing comments, writing proposals). This misses several boundary cases that the KB itself already serves:"
specification-level-separation-recovers-scoping-before-it-recovers-error-correction.md,2,4,"Completeness, Grounding alignment — scope of ""scoping benefits""","The three-level taxonomy (flat prompting / specification-level separation / architectural separation) is presented as a covering partition of the space between no-structure and full-structure, but the note itself identifies tool-use frameworks as ""a different route to partial reliability that does not pass through the intermediate regime described here."" This means the taxonomy does not cover the space — it describes one axis (naming structure within the LLM's execution) while acknowledging a second axis (interface-boundary codification) that produces a different intermediate regime. The note frames this as a contrast, but a reader could mistake the three levels for an exhaustive ordering. A system that combines both paths (e.g., a DSL with typed tool outputs validated by JSON schema) has no clear placement in the taxonomy."
title-as-claim-enables-traversal-as-reasoning.md,2,4,"Completeness, Grounding alignment — domain coverage","The three-row taxonomy (single-claim / multi-claim / definitional) omits **procedural/instructional documents**. An instruction like ""prose-review.md"" is neither a single claim, a multi-claim framework, nor a definitional term-pinning note. Its title is imperative, not propositional or topical. It doesn't serve as a premise (""since [prose review]..."") but also doesn't function like a reference spec. The note's own ""shadow side"" section mentions ""procedural"" ideas that resist claim titles, but the taxonomy table doesn't account for them — leaving a gap between the enumerated categories and the note's own acknowledgment."
instruction-specificity-should-match-loading-frequency.md,2,3,"Completeness, Grounding","The four-tier hierarchy omits retrieval-injected context — content that is neither always-loaded nor explicitly read, but dynamically surfaced by the harness (e.g., grep/glob results, MCP tool outputs, memory files, auto-injected project-level MEMORY.md). The note's own Anthropic source citation mentions ""grep/glob for just-in-time retrieval,"" which implies a fifth loading mechanism that does not map cleanly to any of the four tiers. Tier 3 (skill bodies) covers on-demand skill loading, and Tier 4 (task-specific docs) covers explicit reads, but neither captures the pattern where the harness or agent dynamically retrieves context based on task signals without the user invoking a slash command or the agent explicitly deciding to read a known file. This is a boundary case that sits between tiers 3 and 4 but has its own distinct loading semantics (search-triggered, content-unknown-in-advance)."
maintenance-operations-catalogue-should-stage-distillation-into-instructions.md,2,3,Completeness,"The catalogue claims to be ""that staging ground"" for periodic KB maintenance operations, yet it lists only three operations. Several plausible maintenance operations are missing from the enumeration: (1) stale index detection (indexes whose entries no longer match their linked notes' titles or descriptions — the KB even has a note ""stale-indexes-are-worse-than-no-indexes""); (2) link health checking (broken markdown links, which is mentioned in the deterministic-validation note but is clearly a periodic maintenance concern); (3) description quality audit (scanning for empty, generic, or summary-style descriptions); (4) log.md triage (the CLAUDE.md routing table sends improvement opportunities to kb/log.md, but no catalogue entry harvests them back). These are not exotic — they are implied by the KB's own methodology. The catalogue's framing as ""the"" staging ground for maintenance operations creates an implicit completeness claim that the current three entries do not satisfy."
needs-testing.md,2,3,Completeness,"The note claims a ""three-phase pipeline"" (extract, connect, review) and then maps it to ""the boiling cauldron's extract/relink/synthesise mutations."" But the boiling cauldron in the linked source defines seven mutations (Extract, Split, Synthesise, Relink, Reformulate, Regroup, Retire), not three. The note selectively names three of those seven (""extract/relink/synthesise"") to make the mapping work, but this leaves four mutations (Split, Reformulate, Regroup, Retire) unaccounted for. If the three-phase cycle is genuinely ""a primitive version"" of the full loop, the mapping should either explain where the other four mutations fall within the three phases or acknowledge that the cycle covers only a subset. As written, a reader could mistake the three-phase cycle as covering the entire boiling cauldron when it covers roughly three-sevenths of it."
agents-navigate-by-deciding-what-to-read-next.md,1,4,completeness,"The four-type pointer enumeration (links, index entries, skill descriptions, search tools) omits **error messages and validation output as pointers**. When an agent runs a validation check or encounters an error, the output often points to specific files or instructions and carries diagnostic context (the error itself). This is a genuine navigation pathway in agent workflows -- the agent reads the error, decides what to open next -- and it does not map cleanly to any of the four enumerated types. Error output carries context similarly to inline links (the message explains why the target matters) but is triggered by failure rather than by reading prose."
periodic-kb-hygiene-should-be-externally-triggered-not-embedded-in-routing.md,1,3,Completeness,"The note enumerates exactly three high-frequency routing decisions: ""where content goes, which type to use, and which docs to open next."" The actual CLAUDE.md routing table also handles escalation boundaries (when to stop and load deeper guidance), search patterns (how to find existing content), and vocabulary definitions (term disambiguation). These are all loaded every session and are plausibly high-frequency. The enumeration presents itself as definitive (""should optimize for"") but covers roughly half of what actually lives in the always-loaded routing surface. A reader could conclude that anything not in the list is a candidate for extraction."
distillation.md,0,5,,
