note,review_type,level,note_warn_count,check_warn_count,check,finding
a-good-agentic-kb-maximizes-contextual-competence-through-discoverable-composable-trustworthy-knowledge.md,frontmatter-review,WARN,1,8,Title-body alignment,"The title promises ""contextual competence through discoverable, composable, trustworthy knowledge"" — the three-properties framing — but the body delivers a substantially broader theory. Roughly the first third of the note (sections ""What is a good agentic knowledge base?"" and ""Three properties"") supports the title. The remaining two-thirds introduces accumulation as the basic learning operation, four transformation operations (constraining, distillation, discovery, pruning), Deutsch's reach criterion as a quality measure, the reach-vs-action-value tension, and an argument that authored knowledge produces more reach than extracted knowledge. The description captures this broader scope accurately; the title does not."
agent-statelessness-means-the-context-engine-should-inject-context-automatically.md,frontmatter-review,WARN,1,8,Title-body alignment,"The title claims the *need* for automatic injection, and the body explicitly states ""The claim here is about the *need* for injection, not the mechanism."" Yet the body devotes two full sections to a specific mechanism: a proposed `definition` type with concrete structural properties (""has examples, has negative examples, links to sibling definitions, bounded length"") and an injection-strategy table covering definitions, area indexes, ADRs, and specs. This is mild scope drift -- the title promises a necessity argument but the body delivers both necessity and a substantial design proposal for how to fulfill it."
conversation-vs-prompt-refinement-in-agent-to-agent-coordination.md,frontmatter-review,WARN,1,8,Title-body alignment,"The title frames a binary comparison (""conversation vs prompt refinement"") but the body establishes a three-way taxonomy: conversation, prompt refinement, and context cloning/forking. The forking pattern gets its own section (""Onboarding and forking"") and its own open question, and is explicitly called out as ""a third pattern"" that is ""neither pure conversation... nor pure refinement."" The title understates the note's actual scope."
design-methodology-borrow-widely-filter-by-first-principles.md,frontmatter-review,WARN,1,8,Title-body alignment,"The title ""Design methodology — borrow widely, filter by first principles"" implies a uniform first-principles filter, but the body's actual thesis is a tiered adoption system: programming patterns get an explicit fast pass that bypasses first-principles justification, empirical observation is called ""the second strongest source"" with its own path (not borrowed, so not filtered), and legal drafting is flagged as a separate untested candidate category. The title undersells the body's nuanced hierarchy by suggesting a single filter where the body establishes at least four distinct adoption tiers."
error-messages-that-teach-are-a-constraining-technique.md,frontmatter-review,WARN,1,8,Title-body alignment,"The title claims ""error messages that teach are a constraining technique"" — a classification statement. But the body's central contribution is the orthogonal inform axis: ""moving right on this axis is cheap constraining — it requires no change in trigger mechanism or enforcement strength, only better error messages."" The title captures the category membership but not the insight that the inform dimension is orthogonal to enforcement strength and cheap to add, which is what the body actually argues."
reliability-dimensions-map-to-oracle-hardening-stages.md,frontmatter-review,WARN,1,8,Title-body alignment,"The title says ""map to oracle-hardening stages,"" implying a sequential ordering (stage 1, stage 2, ...). The body presents the four dimensions as independent oracles that ""can be hardened independently"" and explicitly states ""You don't need to solve all four at once."" The mapping is dimension-to-oracle-question, not dimension-to-sequential-stage. The body also notes safety ""is the only dimension that's already a hard oracle by design,"" which further breaks any stage metaphor."
structure-activates-higher-quality-training-distributions.md,frontmatter-review,WARN,1,8,Title-body alignment,"The title asserts ""Structure activates higher-quality training distributions"" — presenting the distribution-selection mechanism as established. But the body's own conclusion states: ""The evidence supports 'structure helps, and the need for it doesn't dissolve with scale' but not the stronger thesis that it works specifically via activating higher-quality training subsets."" The title commits to the stronger causal claim that the body explicitly says is unconfirmed."
context-engineering.md,frontmatter-review,WARN,1,3,Title composability,"Title ""Context engineering"" is a bare topic noun phrase. ""since context engineering..."" does not complete as a sentence fragment. However, this is a definitional/term-pinning note (description opens with ""Definition --"", status is seedling), which is an accepted exception for topical titles per claim-strength exceptions. Escalating to WARN rather than CLEAN because the composability test itself does not list definitional notes as an exception -- only the claim-strength check does."
deploy-time-learning-the-missing-middle.md,frontmatter-review,WARN,1,3,Title composability,"Title ""Deploy-time learning: The Missing Middle"" uses a colon-subtitle format that does not compose as a prose fragment. ""since deploy-time learning: the missing middle"" is grammatically broken. The subtitle ""The Missing Middle"" is an editorial flourish rather than a composable phrase. A claim-form title like ""deploy-time learning fills the gap between training and in-context adaptation"" would link naturally into sentences in other notes."
distillation.md,frontmatter-review,WARN,1,3,Title composability,"Title is a bare noun (""Distillation"") — ""since distillation..."" does not read as a complete clause. The note is definitional/term-pinning, which exempts it from the claim-strength check, but bare-noun titles still compose poorly as link targets. Other notes currently link to it with inline context (e.g., ""[constraining](./constraining.md) — co-equal mechanism""), which works but means every linker must supply its own gloss."
programming-practices-apply-to-prompting.md,frontmatter-review,WARN,1,1,Claim strength,"The title ""Programming practices apply to prompting"" is close to conventional wisdom — few practitioners in the LLM space would argue the opposite. The note's actual analytical contribution is sharper: it identifies two distinct phenomena (semantic underspecification and execution indeterminism) that create qualitatively different challenges when each practice transfers, and argues that agent statelessness turns what is pedagogical convenience for humans into architectural necessity. A title that captures the distinctive insight — e.g., ""programming practices transfer to prompting but underspecification and indeterminism create distinct failure modes"" — would be more contestable and more informative as a link fragment."
storing-llm-outputs-is-constraining.md,frontmatter-review,WARN,1,1,title-body alignment,"The title ""Storing LLM outputs is constraining"" scopes to a single insight — that saving an LLM artifact is a constraining decision. The body establishes this in the first two paragraphs and the ""applies broadly"" list, but then extends into three additional sections (""Testing implications,"" ""Generator/verifier: an alternative to constraining prompts,"" ""Verbatim risk: the hardest verification failure"") that argue distinct points about testing strategy, the generator/verifier tradeoff, and a specific verification failure mode. These sections use the core claim as a premise but each develops its own argument well beyond the title's scope."
traversal-improves-the-graph.md,frontmatter-review,WARN,1,1,claim-strength,"Title ""Traversal improves the graph"" is broad enough that most KB practitioners would nod along without pushback. The note's actual non-obvious insight is that improvement should be *deferred via logging* rather than done in-place — that is the contestable claim (someone could reasonably argue agents should fix issues on the spot, as Luhmann did). The current title captures the easy half (traversal helps) and omits the hard half (defer, don't fix now). Note status is `seedling`, so this is expected to sharpen over time, but flagging because the body already has a sharp claim that the title could adopt."
three-space-agent-memory-echoes-tulvings-taxonomy-but-the-analogy-may-be-decorative.md,frontmatter-review,INFO,2,1,Claim strength,"The title asserts a structural correspondence (""maps to"") that the body itself questions. Normally this would be a weak claim — asserting a mapping that may be decorative is low-stakes. However, the note carries `status: speculative`, which is an explicit exception for seedling notes where ideas aren't firm enough to assert as claims. The speculative status is appropriate here; the claim strength concern is subsumed by the title-body alignment issue above."
context-engineering.md,frontmatter-review,INFO,1,9,Description discrimination,"Description begins with the label ""Definition --"" which is a useful genre signal but consumes ~14 characters of the budget. The substantive content that follows (""context engineering is the discipline of designing systems around bounded-context constraints; its operational core is routing, loading, scoping, and maintenance for each bounded call"") adds mechanism (four-component decomposition) and scope (bounded-context constraints). This discriminates well against other notes that merely reference context engineering. The ""Definition"" prefix helps an agent identify this as the canonical definitional entry. No action needed, but worth noting the prefix is a convention choice rather than a retrieval necessity."
programming-practices-apply-to-prompting.md,frontmatter-review,INFO,1,9,Description discrimination,"The description enumerates the practices and names the two complicating phenomena, which adds retrieval value beyond the title. However, ""making some practices harder in distinct ways"" restates the title's implication without adding mechanism. The body's strongest discriminator — that indeterminism doubles test runs while underspecification doubles test targets, and that agent statelessness makes these transfers architectural rather than pedagogical — is absent. Adding one of these mechanisms would strengthen discrimination."
three-space-memory-separation-predicts-measurable-failure-modes.md,frontmatter-review,INFO,1,9,Description discrimination,"The description says ""flat memory predicts specific cross-contamination failures"" — strictly, it is the three-space model that predicts flat memory will exhibit these failures. The inversion is understandable but slightly misleading on a quick scan."
backlinks.md,frontmatter-review,INFO,1,3,Title composability,"The em-dash structure ""Backlinks — use cases and design space"" reads awkwardly as a prose fragment (""since backlinks — use cases and design space"" is ungrammatical). However, the note is a speculative design exploration (status: speculative), not a claim note, so a topical title is appropriate here. If the note matures into a claim, the title should be rewritten as a composable assertion."
brainstorming-how-to-test-whether-pairwise-comparison-can-harden-soft-oracles.md,frontmatter-review,INFO,1,3,Title composability,"The ""Brainstorming:"" prefix and question format (""how to test whether..."") make the title awkward as a linkable prose fragment -- ""since brainstorming: how to test whether pairwise comparison can harden soft oracles"" does not read naturally. However, the note is status: seedling and explicitly exploratory, which is an acknowledged exception for composability. If the note matures past seedling, the title should be reworked into a claim or at least a composable topical phrase."
commonplace-architecture.md,frontmatter-review,INFO,1,3,Title composability,"""Commonplace architecture"" is a bare topic — ""since commonplace architecture"" does not compose into a sentence. However, this is a seedling note covering multiple concerns (layout, gaps, a design decision), so a topical title is appropriate per the exceptions for multi-claim specs and seedling-status notes. Worth revisiting if the note matures and narrows to a single claim."
conversation-vs-prompt-refinement-in-agent-to-agent-coordination.md,frontmatter-review,INFO,1,3,Title composability,"The ""vs"" comparative phrasing works as a noun-phrase link target (""see [conversation vs prompt refinement in agent-to-agent coordination](...)"") but reads awkwardly as a sentence fragment: ""since conversation vs prompt refinement in agent-to-agent coordination"" does not complete naturally. This is acceptable for a seedling-status exploratory note, but if the note matures, a claim-form title would compose better."
design-methodology-borrow-widely-filter-by-first-principles.md,frontmatter-review,INFO,1,3,Title composability,"The em-dash subtitle format (""Design methodology — borrow widely, filter by first principles"") makes inline linking awkward: ""because design methodology — borrow widely, filter by first principles"" reads as two fragments glued together rather than a natural clause. Acceptable for a seedling, but worth revisiting if the note promotes."
generate-instructions-at-build-time.md,frontmatter-review,INFO,1,3,Title composability,"The title is imperative (""Generate KB skills at build time, don't parameterise them""), which doesn't compose naturally with ""since"" or ""because"" — ""since generate KB skills at build time"" reads ungrammatically. A declarative form like ""KB skills should be generated at build time not parameterised"" would compose more smoothly. However, the imperative form is a defensible style choice for design-decision notes and the note's status is seedling, so this is flagged as INFO rather than WARN."
deploy-time-learning-the-missing-middle.md,frontmatter-review,INFO,1,1,Claim strength,"The title is topical with an editorial subtitle rather than a contestable claim. Per the exceptions, topical titles are acceptable for multi-claim framework notes, and this note presents both a taxonomy (three timescales) and a gradient (verifiability). The current title is within bounds but ""The Missing Middle"" carries framing rather than information -- a claim-form title would be stronger."
design-methodology-borrow-widely-filter-by-first-principles.md,frontmatter-review,INFO,1,1,Claim strength,"The title is topical rather than a falsifiable claim. This is acceptable for a seedling note, but the body argues a specific, contestable position (programming patterns deserve a fast pass due to structural similarity to interpreters; cognitive science patterns do not). That asymmetry is the actual insight and could become the claim title when the note matures."
error-messages-that-teach-are-a-constraining-technique.md,frontmatter-review,INFO,1,1,Claim strength,"The title ""error messages that teach are a constraining technique"" is classificatory — it places teaching errors inside the constraining category. This is mildly weak because the real contestable insight is deeper: that the inform axis is cheap and orthogonal. However, the note's status is `seedling`, which provides an exception for not-yet-sharpened claims. Worth revisiting when the note matures."
traversal-improves-the-graph.md,frontmatter-review,INFO,1,0,title-body-alignment,"The title promises a general observation (""traversal improves the graph"") but the body's core argument is a design decision: improvement signals should be captured in `kb/log.md` and processed separately to avoid context-switching. The body does support the title's claim, but the title undersells what the body actually establishes. This is mild scope drift — the title is broader than the body's real point. Given `seedling` status, this may resolve naturally when the title sharpens."
document-types-should-be-verifiable.md,frontmatter-review,INFO,0,9,Description discrimination,"The first clause (""Document types should assert verifiable structural properties, not subject matter"") closely paraphrases the title, adding only ""structural properties, not subject matter."" The second clause (""with a base type + traits model inspired by gradual and structural typing"") does genuine discriminating work by naming the specific design approach. The description functions adequately for retrieval but could lead with mechanism or scope rather than a near-restatement. A tighter alternative might foreground the mechanism: e.g., ""A base-type-plus-traits model inspired by gradual and structural typing; types assert checkable structure so agents and scripts can act on them, while subject matter belongs in tags."""
minimum-viable-vocabulary-is-the-set-of-names-that-maximally-reduces-extraction-cost-for-a-bounded-observer.md,frontmatter-review,INFO,0,9,Description discrimination,"The description's first clause partially restates the title: ""the vocabulary that, once acquired, maximally reduces a bounded observer's extraction cost for a domain"" overlaps heavily with the title's own phrasing. The discriminating content -- the reframing origin (""minimum viable ontology"") and the grounding claim (""grounds the pedagogical intuition of 'conceptual thresholds' in the KB's information-theoretic framework"") -- is genuinely useful but shares space with the restatement. Trimming the restated portion would free characters for more discriminating detail (e.g., that two specific KB mechanisms -- naming-as-amortization and distillation -- do the grounding work)."
reverse-compression-is-the-failure-mode-where-llm-output-expands-without-adding-information.md,frontmatter-review,INFO,0,9,Description discrimination,"The first clause of the description (""LLMs can inflate a compact seed into verbose prose that carries no more extractable structure"") closely paraphrases the title's core claim (""expands without adding information""). However, the second clause (""the test for whether a KB resists this is whether notes accumulate epiplexity across the network, not just token count"") adds a genuine discriminator — it names the specific measure (epiplexity) and the level of analysis (network, not individual note). An agent choosing among 5 results would know this note introduces the epiplexity-based test for KB-level inflation resistance. The description works, but tightening the first clause to avoid restating the title would free space for more discriminating detail."
semantic-sub-goals-that-exceed-one-context-window-become-scheduling-problems.md,frontmatter-review,INFO,0,9,Description discrimination,"The description's first clause — ""Some semantic subgoals exceed one context window"" — restates the title's premise, consuming about half the description budget on redundant information. The second clause adds genuine mechanism (partitioning into smaller judgments with symbolic collection, filtering, staged summarization), which discriminates well. Dropping the redundant prefix would free space for additional scope or implication content, such as the recursive nature of the pattern or the mid-task discovery dynamic."
session-history-should-not-be-the-default-next-context.md,frontmatter-review,INFO,0,9,Description discrimination,"The first clause adds genuine mechanism (""Storing execution history and loading it into the next agent call are separate decisions""), but the second clause (""chat and framework-owned tool loops conflate them by making session history the default next context"") substantially restates the title. The description still discriminates because the storage-vs-loading separation is the key insight a searcher would need, but tightening the second clause to name the consequence (e.g., context pollution, loss of selective loading) instead of echoing the title would strengthen retrieval value."
short-composable-notes-maximize-combinatorial-discovery.md,frontmatter-review,INFO,0,9,Description discrimination,"The description mentions ""distilled instructions"" as a destination for longer artifacts (""longer synthesized artifacts belong in workshops or distilled instructions""), but the body develops only the workshop side of this claim — instructions as a target for longer synthesized content isn't discussed. Minor description-body scope mismatch; not a title issue."
title-as-claim-makes-overlap-between-notes-visible.md,frontmatter-review,INFO,0,9,Description discrimination,"The first clause (""When note titles are claims, overlap between notes is visible at the index level"") closely restates the title, adding only ""at the index level."" The second clause (""topical titles hide overlap behind different labels for the same territory"") adds a useful contrast. However, the body's strongest discriminator — that claim titles turn overlap detection from a reading task (expensive) into a scanning task (cheap) — is absent from the description. Surfacing that mechanism would sharpen retrieval value."
ad-hoc-prompts-extend-the-system-without-schema-changes.md,frontmatter-review,INFO,0,8,Title-body alignment,"The title claims prompts ""extend the system without schema changes,"" but the body argues a stronger thesis: that ad hoc prompts are sometimes *better* than formal types because they ""carry judgment that type signatures can't express"" (section ""Prompts carry what types can't"") and that this works because of homoiconicity. The title captures the weaker, necessary-condition claim (they can extend) while the body establishes the sufficient-condition claim (they should extend, in certain cases, because they carry what types can't). This is mild scope drift — the body's actual argument outgrows the title. If the note matures past seedling, consider whether the title should reflect the stronger claim, e.g., ""ad hoc prompts carry what schema extensions cannot."""
agentic-systems-interpret-underspecified-instructions.md,frontmatter-review,INFO,0,8,Title-body alignment,"The title foregrounds semantic underspecification (""interpret underspecified instructions"") but the body's central argument is a two-phenomena distinction: underspecification vs. indeterminism, with the claim that indeterminism obscures the deeper difference. The two-phenomena separation, the obscuring dynamic, the spec-to-program projection model, and the constraining/relaxing framework are all major body contributions that the title doesn't signal. The title names the more important half accurately, so this is not a misalignment -- but the body establishes significantly more than the title promises, functioning as a theoretical framework note rather than a single-claim note. If the note were titled to signal the two-phenomena distinction (e.g., ""semantic underspecification is the deeper difference in agentic systems, not indeterminism""), the title would better predict the body's actual argument."
claim-notes-should-use-toulmin-derived-sections-for-structured-argument.md,frontmatter-review,INFO,0,8,Title-body alignment,"The title focuses on the prescription ""should use Toulmin-derived sections."" The body delivers on this but also covers substantial type-system design territory: why `structured-claim` should be a base type rather than a trait, the naming choice over plain `claim`, the promotion path from `note`, the retirement of `has-claim`, and a full section template with deterministic/semantic check specifications. The body reads more like a design decision record for creating the `structured-claim` type than a note arguing that Toulmin sections are the right choice. The title's claim is the foundation for all of this, so the alignment is not broken -- but readers arriving for the Toulmin argument may be surprised by the scope of type-system machinery."
document-types-should-be-verifiable.md,frontmatter-review,INFO,0,8,Title-body alignment,"The title asserts the principle ""document types should be verifiable,"" and the body supports it thoroughly. However, the body also delivers a complete design (base types + traits, the verifiability gradient, programming language parallels, tolerance of misclassification) that goes well beyond the principle claim. The title names the motivation; the body is really the design note for the type system. This is not a misalignment -- the principle is genuinely argued -- but an agent reading only the title would underestimate the note's scope as a design artifact."
elicitation-requires-maintained-question-generation-systems.md,frontmatter-review,INFO,0,8,Title-body alignment,"The title foregrounds the ""maintained"" requirement, but the body's center of gravity is the four-strategy taxonomy and their composition into review architectures (sections 1 through ""Composing strategies""). The maintenance argument (""Checklist lifecycle,"" ""Beyond known failure families"") occupies roughly the last third. The body does support the title -- the strategies establish the system whose maintenance the title asserts -- but a reader drawn by ""maintained question-generation systems"" will find the note is primarily a strategy catalogue with maintenance as a closing argument. Given `status: seedling`, this is worth noting for a future revision that either rebalances the body toward maintenance or adjusts the title to foreground the strategy taxonomy."
human-llm-differences-are-load-bearing-for-knowledge-system-design.md,frontmatter-review,INFO,0,8,Title-body alignment,"The body's concluding ""methodological claim"" section introduces a prescriptive principle (""evaluate each human convention individually, checking whether its specific arguments transfer"") that goes beyond the descriptive claim in the title (""differences are load-bearing""). The title says the differences matter; the conclusion says what to do about them. This is a natural progression rather than drift -- the prescription follows from the descriptive claim -- but a reader loading only the title would not expect the note to also establish an operational principle. If the note matures beyond seedling, consider whether the title should signal the prescriptive content (e.g., ""...so each convention needs individual evaluation"") or whether the methodological claim should be extracted to its own note."
llm-context-is-composed-without-scoping.md,frontmatter-review,INFO,0,8,Title-body alignment,"The title names the problem (""composed without scoping"") but roughly half the body argues the solution: sub-agents as lexically scoped frames, the return value problem, existing implementations, and speculative directions (tail-call optimisation, stack unwinding, recursion with clean frames). The note's central contribution is the scoping discipline proposal, not just the absence-of-scoping observation. A title like ""sub-agents recover lexical scoping for LLM context"" or ""LLM context needs a scoping discipline borrowed from lexical scope"" would better match what the body actually establishes. Noted as INFO rather than WARN because the note is `status: seedling` and the breadth is characteristic of exploratory writing that hasn't yet been split."
llm-learning-phases-fall-between-human-learning-modes.md,frontmatter-review,INFO,0,8,Title-body alignment,"The title frames LLM phases as falling *between* human modes. The body supports this for pre-training (between evolution and learning) and in-context learning (between long-term and short-term). However, point 3 under ""Why the non-mapping matters"" — ""No LLM analogue for embodied procedural learning"" — is a case of *no correspondence at all*, not an intermediate position. This supports the broader ""rather than mapping onto them"" clause but goes beyond the ""fall between"" framing. The deploy-time learning section also extends the Amodei spectrum with KB-specific content not in the original source. Neither is a real problem — the title's ""rather than mapping onto them"" clause covers both patterns — but the body's actual argument is slightly broader than ""intermediate positions on a spectrum."""
llm-mediated-schedulers-are-a-degraded-variant-of-the-clean-model.md,frontmatter-review,INFO,0,8,Title-body alignment,"The title captures the diagnostic half of the note (""degraded variant"") but the body gives roughly equal weight to three recovery strategies (compaction, externalisation, factoring into code) that the title is silent on. The description compensates well — it names all three strategies — so retrieval is not harmed. If the note grows, consider whether the title should signal the prescriptive content too, e.g. ""LLM-mediated schedulers degrade the clean model — three strategies recover the separation."""
notes-need-quality-scores-to-scale-curation.md,frontmatter-review,INFO,0,8,Title-body alignment,"The title says ""scale curation"" broadly, but the body's primary argument is specifically about scaling /connect candidate filtering. Retrieval ranking and quality signals are mentioned as secondary uses but receive much less development. The title is not wrong — /connect is curation — but a reader expecting a general curation-scaling argument may find the scope narrower than advertised."
scenario-decomposition-drives-architecture.md,frontmatter-review,INFO,0,8,Title-body alignment,"The title ""Scenario decomposition drives architecture"" names the method, and the body does apply that method — decomposing four user stories into steps, identifying context needs, and deriving architectural principles. However, the body extends well beyond demonstrating the core claim: it covers two operating contexts, escalation path mechanics, gap analysis, measurable artifacts, and open questions. The note reads more as a comprehensive design document grounded in scenario decomposition than a focused argument that scenario decomposition drives architecture. Given the seedling status this is expected — the scope may narrow or the title may broaden as the note matures."
subtasks-that-need-different-tools-force-loop-exposure-in-agent-frameworks.md,frontmatter-review,INFO,0,8,Title-body alignment,"The body fully supports the title's claim but extends beyond its scope. Paragraphs 5-6 develop a substantial argument about tool *removal* asymmetry — ""You cannot cleanly shrink a context's action alphabet — you can only start a fresh context where it was never larger"" — which is a distinct insight from the subtask-dispatch framing the title promises. The final paragraph synthesizes both threads (""Sub-task dispatch is not the only case""), which is honest, but the title scopes only to the subtask case. The extension is well-integrated and the core claim is solid, so this is mild scope drift rather than misalignment."
the-boundary-of-automation-is-the-boundary-of-verification.md,frontmatter-review,INFO,0,8,Title-body alignment,"The title asserts ""the boundary"" (singular, definitive), but the body's final caveat explicitly concedes: ""the argument defends verification as *the primary structural* boundary, not the only one."" The body also identifies error-cost tolerance and regulatory/trust constraints as separate factors. This is honest nuance rather than contradiction, and the strong-claim-with-nuanced-body pattern is standard for claim titles, but a reader encountering only the title could over-read the exclusivity."
always-loaded-context-mechanisms-in-agent-harnesses.md,frontmatter-review,INFO,0,3,Title composability,"The title ""Always-loaded context mechanisms in agent harnesses"" is a noun phrase that doesn't compose naturally into ""since [title]..."" or ""because [title]..."" constructions. However, this is a survey/catalogue note (status: seedling) covering four distinct mechanisms, so a topical title is appropriate here. It functions well as a link target in noun-phrase position (e.g., ""the [always-loaded context mechanisms in agent harnesses](...)""). Worth noting but not actionable given the note's survey nature."
automated-tests-for-text.md,frontmatter-review,INFO,0,3,Title composability,"The title ""Automated tests for text"" is a bare topic noun phrase. ""since automated tests for text..."" does not read as a natural sentence fragment. As a reference link (""see [automated tests for text](...)"") it works fine, and the note is a framework note where topical titles are acceptable — but a claim-shaped title like ""text artifacts can be tested with the same pyramid as software"" would compose better and carry more information at link sites."
brainstorming-how-reach-informs-kb-design.md,frontmatter-review,INFO,0,3,Title composability,"The ""Brainstorming:"" prefix makes the title read as a genre label rather than a prose fragment — ""since brainstorming: how reach informs KB design"" is grammatically awkward. Not flagged as WARN because the note is status: seedling and explicitly exploratory, so a topical title is appropriate. If the note matures, a claim-form title such as ""reach is a maintenance risk signal not a retrieval signal"" would compose better and capture the note's core insight."
brainstorming-how-to-enrich-web-search.md,frontmatter-review,INFO,0,3,Title composability,"""Brainstorming how to enrich web search"" is a gerund-led activity label. ""since brainstorming how to enrich web search..."" reads awkwardly as a sentence fragment. This is acceptable for a seedling-status exploratory note, but if the note matures, a claim-form title (e.g. ""connection methodology applied to web search results builds a research graph that surpasses naive retrieval"") would compose better as a link anchor."
constraining.md,frontmatter-review,INFO,0,3,Title composability,"The title ""Constraining"" is a bare gerund — ""since constraining..."" does not read as a complete clause. This is a definitional/term-pinning note (description opens with ""Definition —""), where a bare concept name is the conventional pattern. Composability cost is real but justified here; linked references typically wrap it naturally (e.g., ""[constraining](./constraining.md) narrows the interpretation space"")."
