id	batch	digest	source	current_line	target
F042	4	696558c11bbbd0ccf4baabf8737f3b44dd84184277705f8c8a4bff6e4d0e0c23	notes/semantic-review-catches-content-errors-that-structural-validation.md	49	notes/text-testing-framework.md
F043	1	6c3814af0d3c93ed5833c2e4b268e6e8108e68af2811ae5ed4265ecf0bb859eb	notes/bounded-context-orchestration-model.md	97	notes/theory-and-methodology-form-a-two-layer-execution-system.md
F044	2	6c6db83614ff2d6b913968d4453b5f2523db4c680689a2ac03b268aca142f5bd	notes/error-messages-that-teach-are-a-constraining-technique.md	28	notes/frontloading-spares-execution-context.md
F046	3	6ee0c31e2fe06478603f82bef9beb0c07d24d7a04203968f6969c3f868f1a83d	notes/codify-versus-llm-decision-heuristics.md	120	notes/ephemeral-computation-prevents-accumulation.md
F048	4	716a4541276a41ff84e2406df919d61b17d7e58b6f3bb153b03bb67304aa7f28	notes/llm-context-is-composed-without-scoping.md	72	notes/instruction-specificity-should-match-loading-frequency.md
F050	1	74d5be5bb3a56bf492ea34bc9220a39c320a9170dab69132e8ee5a7083ac3f46	notes/orchestration-strategies-and-run-state-have-opposite-persistence.md	51	notes/verifiability-gradient.md
F051	2	764d3b81b59a7a70d9d25ffb65360a72adc0ab20d43b24ceed8b7bfb9b814841	notes/definitions/reach-assessment.md	66	notes/abstract-an-experience-only-when-you-can-state-the-boundary.md
F052	3	785e32d6f15651f68132060921faa52027dc7dd8c1e441c5201e6a8950112d63	notes/technical-constraints-make-kb-objective-choice-engineering.md	84	notes/oracle-strength-spectrum.md
F053	4	7b066868f1e2b2b5f1575d8ce2016105e72cf8f3f6adc80b683d815cbd535e39	notes/orchestration-strategies-and-run-state-have-opposite-persistence.md	49	notes/deploy-time-learning-is-the-missing-middle.md
F057	1	822d789480a6f20e1febaa04341dbd30ace1f1fc3b8b7c32bacd7c3844eeb4a8	notes/artifacts-produced-from-sources-need-lineage-recorded-at-the-source.md	45	notes/frontloading-spares-execution-context.md
F062	2	88de66de308502786664a44ea280fdff4840a6f15e3f19b1dd3d9a05178829bc	notes/task-fitted-structure-costs-cross-task-reuse.md	71	notes/orchestration-strategies-and-run-state-have-opposite-persistence.md
F063	3	8a6accc64f0d3908e5ae099644933f536460d4482d4244e0e1e4ecb7f7019438	notes/abstract-an-experience-only-when-you-can-state-the-boundary.md	61	notes/diagnostic-richness-constrains-outer-loop-learning-quality.md
F066	4	922d0350064e36216e7e9eea00721b0280be701a903165601ae4dfd92c30123d	notes/evidence/single-artifact-review-bundles-still-cut-claude-costs-substantially.md	72	notes/oracle-strength-spectrum.md
F071	1	96f9c082d935417c0246e9c10fac5f349a4088f669b72a2d5936d938d735a701	notes/weakly-discriminated-qualities-tend-to-be-underselected.md	81	notes/error-correction-works-above-chance-oracles-with-decorrelated-checks.md
F080	2	aa7cf00c84769474c59b66cd57295ce9cf123e5a7a4b21365fe88222f0cfa4e3	notes/agent-memory-needs-discoverable-composable-trusted-knowledge-under.md	40	notes/agent-memory-is-a-crosscutting-concern-not-a-separable-niche.md
F086	3	b6f815a350a2cdcd2bbde2b2a231db781b015b9a191103a4fc46f77a784ccb38	notes/mechanistic-constraints-make-popperian-kb-recommendations-actionable.md	59	notes/definitions/constraining.md
F088	4	b90f46708df5495211b05c66b0b760f66158246340787f212e749f15bf28aa73	notes/reasoning-production-is-not-reasoning-evaluation.md	44	notes/process-structure-and-output-structure-are-independent-levers.md
F092	1	bd00f2a54ad1dd23b7581cb06105d93e2f4c35368796b113058d973194cd6f2a	notes/a-derived-copy-of-recomputable-truth-must-be-checked-or-absent.md	64	notes/the-boundary-of-automation-is-the-boundary-of-verification.md
F094	2	be79d597742783da6ff88b26fd2653a6cfd9ef5ef0f5aa9a9d1c82eaf58948c7	notes/an-outcome-check-licenses-replay-a-rule-needs-the-process-verified.md	40	notes/diagnostic-richness-constrains-outer-loop-learning-quality.md
F095	3	c03e32c883250dcd48ad24f775144cfa71d8f80918c7db1b485062740bc5af0f	notes/compiling-coordination-preserves-primitive-not-aggregate-authority.md	61	notes/rlm-has-the-model-write-ephemeral-orchestrators-over-sub-agents.md
F102	4	c817941d968e60e8e613b9f2db562068153a24cd50562f859b62de4e1d49b70b	notes/a-consumption-channel-delivers-force-without-the-history-that.md	59	notes/the-four-field-record-exposes-an-efficiency-security-and-sovereignty.md
F103	1	c975a91e0770895e13fb4ca9f1035d43e6b6563fc0dbd7a90eba79f230b97315	notes/orchestration-strategies-and-run-state-have-opposite-persistence.md	50	notes/definitions/codification.md
F104	2	ca5f1193f5668cfcdd73b5a0c994f14c12513ef25ef80570adacc5feb296a697	notes/rlm-tendril-and-llm-do-place-symbolic-work-at-different-persistence.md	52	notes/ephemeral-computation-prevents-accumulation.md
F107	3	d0bd0201f02dc9cd8c3810c7e46a53fff6fa17c6607313f66869f39309501a6c	notes/an-outcome-check-licenses-replay-a-rule-needs-the-process-verified.md	38	notes/abstract-an-experience-only-when-you-can-state-the-boundary.md
F111	4	dc27ab4ee4797c650614df9fc82da31e7f9c3ff399bcef6d65813bb7a5dee7e7	notes/reflective-coverage-is-graded-across-representational-forms.md	100	notes/unified-calling-conventions-enable-bidirectional-refactoring.md
F112	1	de2820c8df2e72a497f672440433ae23075d97ee1ffc51434206c0b17d110a69	notes/rlm-tendril-and-llm-do-place-symbolic-work-at-different-persistence.md	54	notes/verifiability-gradient.md
F113	2	e04fdd5c34362a5a484ea4a38a401168130c03b7dd42762308c5f8e5f40ccbb2	notes/conjecture-is-seeing-the-particular-as-an-instance-of-the-general.md	62	notes/minimum-viable-vocabulary-is-the-naming-set-that-most-reduces.md
F115	3	e2ab67f16a81aaef3df8f7197c972e75ced3d98236861322176ad4283259487c	reference/adr/040-scripts-directory-is-the-accumulation-substrate-for-ad-hoc-tooling.md	46	notes/spec-mining-as-codification.md
F116	4	e3886e3dc9f9e23181ada201b8e864dd265908aa8c4baac563ae22fd5ad28f58	notes/bounded-context-orchestration-model.md	90	notes/frontloading-spares-execution-context.md
F119	1	efe5ec85b7728d8f1c9187e0875787be4a905a3e14fce0cde75ad43357ad3fd2	notes/always-loaded-context-mechanisms-in-agent-harnesses.md	89	notes/frontloading-spares-execution-context.md
F122	2	f402b4f7047c297ac1a3999df8ef027afd6033c653eb688aa378cbeb47726649	notes/link-graph-plus-timestamps-enables-make-like-staleness-detection.md	61	notes/traversal-improvements-should-be-deferred-via-logging-to-avoid-mid.md
