id	batch	pass	choice	confidence	reader_need	revision_consequence	boundary_test	auth_status	justification
F030	3	B	see-also	medium	Compare the source's persistence boundary based on cross-context explanatory-reach with the target's separate codify-or-relax boundary based on exact specs versus proxy theories.	If the target drops its arithmetic-versus-vision or bidirectional codify-and-relax distinction, remove or rewrite this comparison; the source's reach-based durability claim remains.	Neither artifact explains or presupposes the other's core boundary; they offer adjacent codification criteria that can agree without being the same relation.	candidate-delta	The source locates durability pressure where an operational resolution must transfer across runs, users, or audits; the target locates codification fitness in spec completeness and the risk that scale exposes a proxy theory, making it a useful adjacent companion rather than a dependency.
F030	3	C	premised-on	medium	Inspect the codification and relaxing distinction that the source maps onto durable versus ephemeral high- and low-explanatory-reach knowledge.	If codification no longer meant committing stable regularities, or the exact-spec versus proxy-theory boundary changed, recheck the source's durable-knowledge mapping and stated parallel.	Premised-on, not explained-by: the source derives the ephemerality boundary from explanatory-reach; the target supplies a premise for its codification mapping rather than the explanation of that boundary.	candidate-new	The source locates durability pressure where operational resolutions transfer across contexts and says codification commits them; the target supplies the theory of codification as a commitment whose payoff depends on exact-spec versus proxy-theory regime.
F031	4	A	see-also	medium	See how loading only a queried slice affects per-fork feasibility after the source's broader access-mode heuristic.	If the target stopped treating preselection and slice loading as reductions in a fork's net load, recheck this companion edge and its net-load characterization, not the source's access-cost thesis.	see-also rather than extends because the source neither derives nor develops the heaviest-fork model; the overlap is limited to scoped access reducing loaded material.	candidate-delta	The source distinguishes linear from sublinear access and proposes consumer-specific query materializations; the target models decomposed feasibility by residual fork load and names preselection and navigation as ways to shed irrelevant bodies.
F031	4	B	explained-by	medium	Understand why scoped query or search materialization lowers the execution burden that makes agent access differ from newcomer-human access under decomposed work.	If net load rather than total load ceased to govern fork feasibility, recheck the source's claim that loading only the queried slice is a feasibility-relevant design lever, though its access-mode distinction would remain.	The target supplies a general load account; the source is neither a worked decomposed run nor a process that literally uses the target, so explained-by beats exemplifies and operates-through.	candidate-new	The source argues that agents pay linear context cost for whole artifacts and proposes scoped query materializations; the target explains fork feasibility through residual volume, complexity, and interference and explicitly shows preselection shedding irrelevant bodies.
F031	4	C	explained-by	high	Understand why serving a queried slice instead of a whole artifact improves agent feasibility by lowering the heaviest fork's net load.	If the target rejected the per-fork net-load model or preselection as load reduction, recheck the source's feasibility rationale for sublinear agent materializations.	This is not operates-through because the target is a theoretical load account; the actual operating paths in the source are query and search materializations.	candidate-new	The source contrasts linear whole-artifact loading with sublinear slice access, while the target explains feasibility as the largest residual fork load and identifies preselection and navigation as ways to shed that load.
F032	1	A	evidenced-by	high	Learn the change-topology conditions that bound when addressable retention's selective-revision and rollback advantages pay.	If the target's matching, dependency, or bounded-impact conditions changed, recheck the source's expected-payoff claims, though its definition of reflective addressability would remain intact.	The target explicitly qualifies and bounds the source's expected advantages; it neither supplies the addressability mechanism itself nor receives a further development from the source.	authorized	The source presents selective revision and related benefits as expected consequences of addressability, while the target limits those benefits to sparse edits in a matching decomposition with an explicit, small impact closure.
F032	1	B	explained-by	medium	Understand why the source's expected addressability advantages pay only under particular change topologies.	If sparse matching units, explicit dependencies, and bounded impact no longer controlled local revision payoff, recheck the source's account of when selective revision and rollback are advantageous, not its basic addressability distinction.	The target provides the causal condition for payoff rather than being a component used to make retention addressable or merely a prerequisite available beforehand.	candidate-new	The source makes selective revision and related benefits expectations of addressable retention; the target explains their materialization by requiring a pre-existing matching decomposition plus a small explicit impact closure and supplies the dense-change boundary.
F032	1	C	explained-by	high	The sparse-change, matching-decomposition, and bounded-impact conditions that tell when addressability's revision advantages pay.	If the target showed that locality did not require matching units, explicit dependencies, or bounded impact, recheck the source's expected selective-revision and reuse advantages; reflective access itself could remain.	The target accounts for when and why the expected benefits materialize; it is not an artifact or process used to create reflective addressability.	candidate-new	The source makes retained commitments inspectable and lists selective revision and related benefits as expected advantages; the target supplies the missing account that edits and validation stay local only under sparse change in matching units with a small explicit dependency closure.
F035	2	A	premised-on	high	Inspect the select/call model that defines the coordination strategy and bounded envelope the source says compilation externalizes.	If the target no longer modeled orchestration as a symbolic scheduler choosing bounded calls, recheck the source's compilation setup and the applicability of its aggregate-authority argument.	The target is the assumed model of the object being compiled; the source supplies its own sandbox and context-envelope explanation, so the target is a premise rather than explained-by or operates-through.	candidate-new	The source explicitly casts compiled workflow control as codifying next-call selection in a bounded-context model; the target formalizes that control as select over explicit state followed by bounded calls.
F035	2	B	extends	high	Follow the target for the select/call loop and explicit-state model whose choose-next-step strategy the source treats as the object being compiled.	If the target no longer separated selection logic from bounded calls and explicit scheduler state, recheck the source's mapping from prompt interpretation to compiled coordination and its primitive-action analysis.	extends over premised-on: the source carries the target's orchestration model into a new compilation and security result about primitive versus aggregate authority rather than merely assuming the model.	authorized	The target formalizes orchestration as a symbolic scheduler selecting bounded calls from explicit state; the source takes that decomposition, compiles the selection strategy into an executable artifact, and derives the further result that primitive channels stay fixed while aggregate reachable effect expands.
F035	2	C	operates-through	medium	Inspect the select/call control path whose next-call selection logic the compiled workflow externalizes.	If orchestration no longer decomposed into an external selector over bounded calls and explicit accumulated state, recheck whether the workflow compiles only coordination logic and whether the primitive-channel and aggregate-effect analysis still fits.	Operation rather than premise: the target names the scheduler loop the compiled workflow actually realizes; changing that loop changes operational fit rather than merely withdrawing an assumed proposition.	candidate-new	The source describes moving call-A-then-B selection from repeated inference into an external script while effects still pass through delegated agents and tools; the target formalizes that same path as symbolic select over K followed by bounded calls whose results return to K.
F040	3	A	operates-through	high	Understand the control path that turns a trusted incomplete navigation claim into a retrieval miss.	If agents did not stop searching after trusting an index, recheck the source's claim that trusted membership gaps are the sharpest break in the reflective wire.	Operates-through beats explained-by because the target specifies the enacted sequence of reading an index, trusting completeness, and suppressing fallback search that produces invisibility.	candidate-new	The source treats discovery as the causal wire from retained artifacts to behavior and singles out trusted membership gaps; the target shows that no index falls back to current search whereas a stale index satisfies navigation and makes omitted notes invisible.
F040	3	B	explained-by	high	Understand why trusting an incomplete index makes that retrieval break more damaging than having no index.	If a stale authoritative index does not satisfy the navigation need and suppress fallback search, recheck the source's claim that trusted membership assertions are the sharpest retrieval failure.	Unlike operates-through, the target explains the source's specific worst-case claim rather than naming the general causal wire used by every retrieval-mediated reflective system.	candidate-new	The source places discovery inside the reflective causal connection and identifies trusted incomplete membership as its sharpest break; the target explains the asymmetry directly: no index triggers current search, while a stale index appears exhaustive and causes the reader to stop looking.
F040	3	C	explained-by	high	Understand why a trusted incomplete index creates a sharper retrieval and reflective failure than having no index.	If a stale authoritative index did not suppress fallback search, recheck the source's sharpest-case account of failure in a trusted retrieval wire.	Explained-by, not operates-through: the target accounts for the severity of one failure mode, while retrieval-mediated reflection does not generally use stale indexes as its operating path.	candidate-new	The source places discovery inside the causal connection from retained self-representation to behavior; the target explains that an apparently exhaustive index satisfies the navigation need and stops the search that could have found omitted members.
F042	4	A	extends	high	Read the broader deterministic, rubric, and adversarial text-testing pyramid that the source turns into a semantic-review design.	If the target changed the Level A, B, and C boundaries, recheck the source's placement of its four checks, their cost ordering, and the resulting workflow split.	extends rather than explained-by because the target supplies a general testing taxonomy while the source develops it into four concrete semantic error checks and an implementation target.	authorized	The source explicitly maps structural validation to the target's Level A and its LLM-judged semantic checks to Level B, then adds enumeration, grounding, boundary-case, and consistency procedures absent from the target framework.
F042	4	B	extends	high	Recover the base deterministic, rubric, and cross-model text-testing pyramid that the source specializes into four single-note semantic checks and a separate review workflow.	If the target's Level A, B, and C boundaries or production workflow changed, recheck the source's classification of structural validation versus LLM semantic review and its placement at Level B.	The source adds concrete enumeration, grounding, boundary-case, and consistency checks beyond the target framework, so it develops the target rather than merely assuming it.	authorized	The target supplies a generic three-level testing framework and workflow; the source carries it further by defining four content-error checks, locating them at Level B, and deriving cost and failure semantics for Commonplace review.
F042	4	C	extends	high	Read the text-testing pyramid whose Level B region the source develops into concrete semantic checks and a review-system target.	If the target changed its deterministic, rubric, and adversarial levels, recheck the source's Level A and Level B mapping; the motivating content error could still stand.	This is extends rather than premised-on because the source adds four worked semantic checks, their methods, and an implementation split instead of merely assuming the taxonomy.	authorized	The target sketches Level A deterministic checks and Level B LLM rubrics; the source specializes that sketch into enumeration, grounding, boundary-case, and consistency checks that structural validation misses.
F043	1	A	see-also	medium	Compare the abstract full-state and bounded-prompt scheduler with a neighboring fast-path and live-fallback layering of retained knowledge.	If the target's two-layer model changed, recheck whether it remains a useful analogue for the scheduler's compact task-facing view; no substantive scheduler claim would need revision.	The target is not a scheduler component, prerequisite, or explanation of bounded-context orchestration; what survives is a useful structural adjacency rather than a causal edge.	candidate-delta	The source separates full symbolic state K from the bounded prompt selected for a call, while the target separates a narrowed methodology fast path from an accessible fuller theory fallback; their analogy is useful but neither artifact establishes the other's mechanism.
F043	1	B	see-also	medium	Compare per-call projection from full scheduler state with a durable fast-path and live-fallback layering pattern.	A change to the target's theory-methodology model would alter only the usefulness of this comparison, not the source's select/call model or its full-state and bounded-prompt invariants.	The target's derived methodology is neither the source's dynamically assembled prompt nor a component used by its scheduler, so explanation, operation, premise, and instance relations overstate the connection.	candidate-delta	The source keeps full symbolic state K outside bounded calls and selects task-facing prompts from it; the target instead retains a theory as live fallback beside a durable theory-derived methodology, making the two neighboring full-versus-shaped-layer patterns useful but not identical.
F043	1	C	other:exemplified-by	medium	A worked knowledge-layer instance in which a cheaper methodology fast path is selected while fuller theory remains accessible as fallback.	If the target stopped retaining accessible theory behind incomplete methodology or ceased to use a narrower fast path, remove or reclassify the instance edge; the generic scheduler model would remain.	The generic select-call architecture neither uses nor is explained by the target; the useful direction is general-to-instance, the inverse of exemplifies.	unknown	Here exemplified-by means that the target is a worked instance of the source's general model: the source keeps full explicit state K outside bounded calls and selects task-facing prompts, while the target keeps fuller theory available behind a cheaper derived methodology layer for out-of-coverage fallback.
F044	2	A	operates-through	high	Understand the precompute-and-insert process by which a remediation-bearing error avoids making the agent diagnose an already-known fix.	If the target's frontloading conditions excluded fixes known when an error message is authored or fired, or no longer saved realized execution context, recheck the source's context and reliability benefit.	The teaching error literally embeds a precomputed answer in the later call's context, so the target process is used to produce the effect rather than merely explaining it.	candidate-new	The source contrasts a bare warning with one that inserts the required remediation; the target defines frontloading as computing known instruction inputs before the consuming call and inserting the result to spare context.
F044	2	B	operates-through	high	Follow the target to understand the precompute-and-insert operation by which a teaching error replaces runtime diagnosis and saves execution context.	If the target's frontloading boundary changed so that a known remediation inserted before the next call did not count, or no longer removed repeated discovery work, recheck the source's claimed context saving.	operates-through over exemplifies: the teaching message directly inserts the already-known fix to produce the source's saved-diagnosis effect, so frontloading is the causal operation and not merely a general class illustrated by the source.	candidate-new	The source contrasts a bare warning with one that already states the corrective action and says the latter spares diagnosis; the target defines frontloading as computing known inputs before the consuming call and inserting the result to avoid precisely that execution-context work.
F044	2	C	operates-through	high	Inspect the precompute-and-insert path by which remediation-rich errors spare the agent from diagnosing a known fix.	If frontloading excluded author-known remediation or inserting the fix no longer spared realized execution context, recheck the source's claimed context and reliability advantage for teaching errors.	Operation rather than explanation: the teaching message contains the precomputed remedy in the error channel, so frontloading is the realized path and not only a principle cited after the fact.	candidate-new	The source contrasts a bare warning with an error that already states the violated bound and corrective action; the target defines frontloading as computing known instruction inputs before the consuming call and inserting the result to avoid discovery, tool, and reasoning cost.
F046	3	A	explained-by	high	Understand the cross-run cost behind the checklist's repeated-rediscovery reason to codify.	If discarded generated artifacts could still support testing, reuse, and cross-run learning, recheck the source's pro-codification heuristic for recurring operations.	Explained-by beats premised-on because the target derives the cost from the generate-execute-discard lifecycle rather than merely asserting that persistence is desirable.	candidate-new	The source includes repeated LLM re-derivation as one reason to codify while balancing four decision lenses; the target explains that ephemeral artifacts are discarded after execution and therefore cannot accumulate, be tested, reviewed, or reused across runs.
F046	3	B	explained-by	medium	Understand the recurring token, reuse, and learning cost introduced when LLM-generated work is discarded rather than persisted.	If ephemeral generation can accumulate, test, review, and reuse discoveries across runs without retained artifacts, recheck the source's rediscovery-cost heuristic for codifying work.	Unlike premised-on, the target supplies the causal discard-to-no-accumulation account rather than merely an assumed condition, and unlike see-also it grounds a specific decision prompt.	candidate-new	The source says repeated LLM rediscovery is a reason to codify and flags the structural cost of leaving work in the LLM regime; the target explains that generate-execute-discard loses cross-run learning, testing, review, and reuse.
F046	3	C	explained-by	medium	Understand the cross-run cost behind leaving work to fresh LLM generation: discarded artifacts cannot be tested, reused, or accumulated.	If ephemeral generation could accumulate discovered patterns without retaining artifacts, recheck the source's cost argument for the LLM side and its rediscovery heuristic.	Explained-by, not premised-on: the target gives the causal discard-to-no-reuse-and-no-learning account rather than merely an assumed proposition.	candidate-new	The source includes repeated rediscovery and lack of stable patterns among the codify-versus-LLM considerations; the target explains those costs by contrasting generate-execute-discard with saved, tested, versioned, reusable artifacts.
F048	4	A	see-also	medium	See a practical progressive-disclosure policy for deciding which instructions enter an otherwise flat context and how often.	If the target no longer recommended loading task-specific instructions on demand by specificity and frequency, recheck it as a mitigation companion; the source's no-intrinsic-scope diagnosis would remain.	see-also rather than operates-through because the loading policy controls membership before a call but neither produces flat concatenation nor supplies enforced scope among tokens already in the call.	candidate-delta	The source argues that concatenated tokens are globally visible and that real boundaries must be imposed outside the model; the target offers an always-loaded versus on-demand instruction hierarchy that limits exposure without creating within-window scope.
F048	4	B	see-also	medium	Move from the diagnosis of intrinsically flat in-window semantics to adjacent progressive-disclosure guidance for deciding which instruction material enters the window and when.	If the target abandoned its selective loading hierarchy, only this practical mitigation traversal would need recheck; the source's no-native-scope claim and empirical support would remain.	The target neither causes nor explains flat concatenation and is not its prerequisite; it is an adjacent loading response after the stronger exact relations are ruled out.	candidate-delta	The source shows that all loaded tokens share one unscoped attention field and says boundaries must be imposed outside it; the target supplies the useful neighboring rule that universal instructions load always while task-specific instructions load on demand.
F048	4	C	evidenced-by	medium	Inspect a concrete progressive-disclosure hierarchy showing architecture deciding which instructions enter context and when.	If the target stopped prescribing tiered on-demand loading, recheck it as support for architecture-imposed scope; the source's flat-concatenation diagnosis would remain.	This is evidenced-by rather than explained-by because the target does not account for the absence of native scope; it supplies a design case that corroborates architectural selection of context.	authorized	The source argues natural-language context has no enforced local scope and must be bounded externally; the target describes always-loaded routers plus on-demand skill bodies and task documents that impose such loading boundaries.
F050	1	A	exemplifies	high	Use the general artifact-verifiability ladder to interpret promotion from loose generated orchestration to tested library code.	If the target's ladder or placement criteria changed, recheck the source's description of test-gated promotion as movement toward verifiability; its cross-task persistence argument would remain.	The source is a concrete promotion design on the target's general gradient; the target categorizes that movement but does not explain the source's opposing reuse economics.	authorized	The source moves recurring model-authored select fragments into deterministic tested functions, while the target orders artifacts from loose prompts through schemas and tests to deterministic modules.
F050	1	B	exemplifies	high	See the source's test-gated promotion path as a concrete placement and movement on the target's general verifiability ladder.	If tested deterministic modules no longer occupied a more readily verified grade than loose model-authored code, recheck the source's trust-gate characterization, while its cross-task persistence asymmetry could remain.	The gradient is a taxonomy the proposed cache instantiates, not an executable control path through which promotion runs.	authorized	The source moves recurring model-authored REPL orchestration into tested deterministic library functions, a worked instance of the target's bidirectional placement gradient from loose prompts to testable code.
F050	1	C	exemplifies	medium	The general verifiability ladder under which promotion from loose model-authored orchestration to tested deterministic library code falls.	If the target no longer placed tested deterministic code above loose model-authored artifacts in verifiability, recheck the source's gradient classification and trust-gate framing; its cross-task persistence argument could remain.	The target does not explain why run state and selection strategies have opposite reuse value; the source's test-gated promotion is a concrete movement on the target's more general ladder.	authorized	The source proposes promoting recurring select fragments from ephemeral model-authored code into tested reusable functions, while the target describes learning as tightening artifacts from loose prompts toward tests and deterministic modules; the promotion is an instance of that movement.
F051	2	A	extends	high	Read the earlier boundary-statability argument and the open question about who can judge whether a proposed lesson's boundary is trustworthy.	If the target retracted boundary-statability as the abstraction discriminator or no longer treated stating a boundary as judgment, recheck the source's boundary-matching contrast and natural-language capability gap.	The source names and develops the missing assessment capability that the target explicitly leaves open; it therefore extends the target rather than merely assuming or explaining it.	authorized	The target says trustworthy abstraction requires a statable condition clause but leaves mechanical judgment unresolved; the source defines reach-assessment precisely as judging whether that claimed boundary has genuine explanatory reach.
F051	2	B	extends	medium	Follow the target for the antecedent boundary-statability test and its explicit gap about who can judge a boundary, which the source turns into a named evaluation capability.	If the target retracted the distinction between preserving an instance and abstracting only with a statable boundary, or made boundary judgment mechanical, recheck the source's natural-language reach-assessment gap and boundary-matching contrast.	extends over premised-on: the source does more than assume the target's boundary judgment; it names the missing capability and develops causal, proof, and world-model routes for assessing whether the stated boundary is genuine.	authorized	The target argues that trustworthy abstraction requires a condition clause and leaves the act of stating it as an unresolved judgment; the source explicitly picks up that opening, distinguishes mere boundary matching from judging boundary honesty, and develops it into reach-assessment across representational forms.
F051	2	C	extends	high	See the boundary-statability rule and open judgment problem that reach-assessment develops into a named evaluator capability.	If the target dropped boundary-statability as the abstraction discriminator or claimed that stating a clause mechanically verifies generalization, recheck the source's separation of boundary matching from genuine reach-assessment.	Extension rather than premise: the source adds a distinct capability, form-specific routes, and exclusions beyond the target's memory-formation rule instead of merely assuming that rule.	authorized	The target requires a statable applicability boundary before turning an episode into a lesson and explicitly leaves the judging mechanism open; the source carries that gap further by naming reach-assessment, distinguishing it from matching a stated boundary, and mapping causal, proof, and predictive routes.
F052	3	A	explained-by	high	Understand why verification strength sets how much each KB objective and profile can be automated and what judge it needs.	If oracle strength did not control reliable selection and automation, recheck the verification constraint and the claimed hard, behavioral, and wide-judge profile ordering.	Explained-by beats operates-through because the target supplies the general oracle-strength principle; the source, not the target, instantiates the actual profile-specific checks.	candidate-new	The source makes verification one of four constraints pruning objective choice and orders descriptive, prescriptive, and theoretical profiles by judge strength; the target explains the hard-to-no-oracle gradient and why weak discrimination limits automated verification and generator-verifier designs.
F052	3	B	explained-by	high	Understand why verifiability bounds automation and why theoretical, descriptive, and prescriptive profiles require different judging regimes.	If oracle strength no longer tracks the cost and reliability of checking correctness, recheck the source's fourth pruning constraint and its per-profile judge analysis.	Unlike operates-through, the oracle spectrum is a conceptual explanatory gradient for the source's verification constraint, not an operational component that executes objective selection.	candidate-new	The source makes verification one of four constraints that turn KB objective choice into engineering and differentiates profile judges by oracle strength; the target supplies the hard, soft, interactive, delayed, and no-oracle account and explains the consequences of hardening that gradient.
F052	3	C	premised-on	high	Inspect the hard, soft, interactive, delayed, and no-oracle framework assumed when the source differentiates profile judge strength and automation.	If oracle strength were not a meaningful gradient or did not bound reliable verification, recheck the source's fourth pruning constraint and per-profile judge hierarchy.	Premised-on, not explained-by: the target supplies the verification taxonomy and assumptions, while the source itself explains how four constraints prune the objective space.	candidate-new	The source treats verifiability as one of four inherited constraints and ranks descriptive, prescriptive, and theoretical profiles by their available judges; the target provides the oracle-strength spectrum on which those rankings depend.
