id	tuple_digest	line_digest	current_label	source_collection	destination_collection	source	current_line	target	bucket	disposition	action	decision_basis	authorization_status
L035	c87abcd5f1a39155fd434481cf12c26321b274cc119e50cec4f34b99783d03a6	59022c535d7f38c213b2ac7e2f75f78b5262d847f3e9cdc56e1f99bda5beaf9a	grounds	notes	notes	notes/agent-context-is-constrained-by-soft-degradation-not-hard-token-limits.md	63	notes/information-value-is-observer-relative.md	active-mutable	premised-on	relabel	grounds-baseline:P	candidate-new
L036	25c2dd5f5e6721af9af6bfb581f02b3c63d146dec31d4c771b2f4cf0b993cd06	4acaddbb10d828afac59eaf066663f6503b20e6b7a914435dfb8bbdce94d05f8	grounds	notes	notes	notes/agent-memory-is-a-crosscutting-concern-not-a-separable-niche.md	63	notes/context-efficiency-is-the-central-design-concern-in-agent-systems.md	active-mutable	premised-on	relabel	grounds-baseline:P	candidate-new
L037	0da9ac7a2192d2c9c314a0a74a5cc755503f79e89e7dc58b29eb679aa63ce3ff	72233037f4fa75f67d0f2f193f2c9473a82efd8f3316eadc6eaf478abbc1cba6	grounds	notes	notes	notes/agent-memory-is-a-crosscutting-concern-not-a-separable-niche.md	64	notes/knowledge-storage-does-not-imply-contextual-activation.md	active-mutable	premised-on	relabel	grounds-baseline:P	candidate-new
L038	50153a9e02d8a917a0eaf384d3098dd665e0601694814e66b39acaf263b3d59e	b41ea7f7d859f358437c4477a391b6e7c4e2ae804fc2443839ea1124f2bf9299	grounds	notes	notes	notes/agent-memory-is-a-crosscutting-concern-not-a-separable-niche.md	66	notes/agent-runtimes-decompose-into-scheduler-context-engine-and-execution.md	active-mutable	explained-by	relabel	mechanism-core:F097	candidate-new
L039	b450ee0bfb2a82d029afa9370c2ddbcc2f76903d2e566017b4a4cd8d9d226fc0	c5620b4574ebe2a8ddd7683b47aecfd98957be3d66c0931bf9db15fa54d2f1af	grounds	notes	notes	notes/agent-memory-is-a-crosscutting-concern-not-a-separable-niche.md	67	notes/learning-theory-README.md	active-mutable	exemplifies	relabel	grounds-boundary	authorized
L040	f541366b305fc61f025bdaefee43fce5094d90f9b82518ed8682acff8d5a20cd	6214b99892e1a6911bc72fa28c44929ac678c460d36ba94c4ba779251ad72943	grounds	notes	notes	notes/agent-memory-is-a-crosscutting-concern-not-a-separable-niche.md	69	notes/agent-memory-needs-discoverable-composable-trusted-knowledge-under.md	active-mutable	premised-on	relabel	grounds-baseline:P	candidate-new
L041	50bd93c66a1bd7ca046e2b491eba7ba72dd7d5ec6723e49ed1143c035813638e	7b501354ce000ba5dc43c6e42c9ef6a0bcc463aa1569da44e1e159d66eab7ad6	grounds	notes	notes	notes/agent-memory-is-a-crosscutting-concern-not-a-separable-niche.md	71	notes/automating-kb-learning-is-an-open-problem.md	active-mutable	premised-on	relabel	grounds-baseline:P	candidate-new
L042	bcbf0eda937bc478f7015b1c5d943d8c7299340242d819f779d625dac3f2e3c4	21a1058ca8c6a1cbaf28cfe1fda4bde1c24a94d14cf2c333df690db334ead97a	grounds	notes	notes	notes/agent-memory-needs-discoverable-composable-trusted-knowledge-under.md	36	notes/claw-learning-loops-must-improve-action-capacity-not-just-retrieval.md	active-mutable	explained-by	relabel	mechanism-core:F002	candidate-new
L043	a5b8d334cb021b8695c60d911ad61e7c627b8ac8ccf3204168d22a0637f604d3	75a639099d00c49d6b39b8873d0b888b4203dde263698059fbb0b312cfdcd810	grounds	notes	notes	notes/agent-memory-needs-discoverable-composable-trusted-knowledge-under.md	37	notes/context-efficiency-is-the-central-design-concern-in-agent-systems.md	active-mutable	premised-on	relabel	grounds-baseline:P	candidate-new
L044	cd6012aa28dd3b03287e23c24cb089f42885758ee839529b1c3f350bd68d7b4a	d05d0a5520462f9ef46d52c3adaf447081c565cb4b725e3bfb98342f84607824	grounds	notes	notes	notes/agent-memory-needs-discoverable-composable-trusted-knowledge-under.md	39	notes/knowledge-storage-does-not-imply-contextual-activation.md	active-mutable	premised-on	relabel	grounds-baseline:P	candidate-new
L045	26ff82b6b6fb58dbf9085ec1a3a33d59661c0c962426aa0819dfe3674914ac26	d398f0c833096026861ac4f19fcea66143fde45099af4aedff050d4d36fa6510	grounds	notes	notes	notes/agent-memory-needs-discoverable-composable-trusted-knowledge-under.md	40	notes/agent-memory-is-a-crosscutting-concern-not-a-separable-niche.md	active-mutable	contrasts	relabel	mechanism-boundary:F080	authorized
L046	9192487430623b793b614d1f852a04ddeec321fc569ff2e1139154544c7d9828	111bfd792274ff0ea64e677ece78597424512d9909919d59fb1de21f8187b39d	grounds	notes	notes	notes/agent-orchestration-needs-coordination-guarantees-not-just.md	64	notes/the-boundary-of-automation-is-the-boundary-of-verification.md	active-mutable	premised-on	relabel	grounds-baseline:P	candidate-new
L047	5b9a6ca34d79fb3c0e6cecc3661da24db27fb94b46650532e334823fd83db4eb	e67b19b193af192a6fb531fcac9aa0cd1c378d730c154c9e18815e6fd9dd9ffc	grounds	notes	notes	notes/agent-orchestration-occupies-a-multi-dimensional-design-space.md	70	notes/conversation-vs-prompt-refinement-in-agent-to-agent-coordination.md	active-mutable	extends	relabel	grounds-boundary	authorized
L048	251708e6dde9271fe436c2fee04d71e5a58bef314a733e2d6131e0c5b043c026	eb162ba8a6810180eb289310985cfcf9612029988d35c5c865792c364ff00259	grounds	notes	notes	notes/agent-runtimes-decompose-into-scheduler-context-engine-and-execution.md	111	notes/inspectable-artifact-not-supervision-defeats-the-blackbox-problem.md	active-mutable	premised-on	relabel	grounds-baseline:P	candidate-new
L049	868bc4aab2af7c72237c199f995914473dc4de39be8f631025363d8cd97d8c9f	8a70b533ee62941b5ac50aba97d18ce2b37edb97cb0ccd6811c55c91d92ebed7	grounds	notes	notes	notes/agent-runtimes-decompose-into-scheduler-context-engine-and-execution.md	112	notes/files-not-database.md	active-mutable	premised-on	relabel	grounds-baseline:P	candidate-new
L050	15373735a668f12610028ad0b2baf158140edd1f22938822863a11d6ebeca26d	a500e3ecbd27d37fc8a253747a86a5f802df987b6757ae631d4bbc434ae651f6	grounds	notes	notes	notes/always-loaded-context-mechanisms-in-agent-harnesses.md	89	notes/frontloading-spares-execution-context.md	active-mutable	exemplifies	relabel	mechanism-boundary:F119	authorized
L051	8aedd1165d6aa5b263594a490978606a27d1467015b264adaeab3aaf6ea3c1d0	2e9983caf4dacf5bec7b8f9ff2973e0dae160c6b9802a9878019e042beef6db6	grounds	notes	notes	notes/an-accepted-edit-verifies-the-change-not-the-rule.md	32	notes/spec-mining-as-codification.md	active-mutable	extends	relabel	grounds-boundary	authorized
L052	d075c9cb3222682c4b30b62fc3e7ed59cb3d23ab6dade5086a7795778a135fb1	341020dd7bef0fd8fede98b0ca80b5e923d36c85a33c2a19e104eb972faaa01c	grounds	notes	notes	notes/an-accepted-edit-verifies-the-change-not-the-rule.md	33	notes/oracle-strength-spectrum.md	active-mutable	premised-on	relabel	grounds-baseline:P	candidate-new
L053	df1cb90d7c2ea6e0c1c368014c1101cc4daeb4f778df1da3e5ab02f3c0fe421e	cf8fb7a2fecbdef7c9949ad5ae8a1d2699fcf3a5d00e0daa02ef7fa54c50e6ad	grounds	notes	notes	notes/an-action-model-matters-only-through-its-consumption-path.md	24	notes/axes-of-artifact-analysis.md	active-mutable	explained-by	relabel	mechanism-core:F065	candidate-new
L054	878c08f94a6df90992dd8f96adf9ef8ddf17a8a7a86fb8221e3576a7b6f07577	d0125c10da1853036f798eb52594fbea84cfbce725693f585eb9c548386dcd89	grounds	notes	notes	notes/an-action-model-matters-only-through-its-consumption-path.md	25	notes/definitions/behavioral-authority.md	active-mutable	defined-in	relabel	grounds-boundary	authorized
L055	8e2bd039acb04e9bdc70624f28a303187c6f918591f7029adaadd3d0254e3740	6979ef8a0eaf03631f7fba10deb637b90794e7ba1ee4c6c641c10f59d4ad9b10	grounds	notes	notes	notes/an-action-model-matters-only-through-its-consumption-path.md	26	notes/definitions/representational-form.md	active-mutable	defined-in	relabel	grounds-boundary	authorized
L056	9001caf9e604fc1d9e5a29fb7e7cac697cacec5bee9105c2861b295215f56768	1e4273954aeef6538b31a0e9025e192738c44f6d8525a9002619d8c1bb03371d	grounds	notes	notes	notes/an-enforced-tag-readme-is-a-moc-with-a-machine-checked-contract.md	48	notes/a-derived-copy-of-recomputable-truth-must-be-checked-or-absent.md	active-mutable	premised-on	relabel	grounds-baseline:P	candidate-new
L057	c2cc8d3372a78b3f7932a4e296b0a897948b2df21de690332dad570b9815842c	7e2b9f89b220a5f2cd6ea9bae1c4f402b0649d82906f53d7f0af28a62cede54e	grounds	notes	notes	notes/an-enforced-tag-readme-is-a-moc-with-a-machine-checked-contract.md	49	notes/stale-indexes-are-worse-than-no-indexes.md	active-mutable	explained-by	relabel	mechanism-core:F083	candidate-new
L058	bec1fa7d0bc0b43f0b2244801b4468034098becc85675dde56702cc698dacbbc	8b7ed13f6a6fcc45c5180121a68517a5a9159c1a6392cabfc1fa1315af2906c8	grounds	notes	notes	notes/an-enforced-tag-readme-is-a-moc-with-a-machine-checked-contract.md	50	notes/llm-recompute-cost-inverts-the-store-vs-recompute-default.md	active-mutable	premised-on	relabel	grounds-baseline:P	candidate-new
L059	55e59eb3b79eb653c8497b873f753ed20f3deee1becccbb1d0598bbd704a6309	d2d5e9a499f835d179dd120ad847056abd7d732ff64c7d2bf8d0f8b871b29483	mechanism	notes	notes	notes/an-outcome-check-licenses-replay-a-rule-needs-the-process-verified.md	38	notes/abstract-an-experience-only-when-you-can-state-the-boundary.md	active-mutable	extends	relabel	mechanism-boundary:F107	authorized
L060	1df33d9ea6799b93ea6c4cf5572b2f168e3363c8fe607efc260d5729e324b2c2	ceaebc5af204b12d93c6cc57396e9630c82b0fab58b0059195e9d20b55917dd2	grounds	notes	notes	notes/an-outcome-check-licenses-replay-a-rule-needs-the-process-verified.md	39	notes/first-principles-reasoning-selects-for-explanatory-reach-over.md	active-mutable	explained-by	relabel	mechanism-core:F056	candidate-new
L061	551ea29dad804566a9a7236bcfd6326ade0570f08ad1995d283469c2f92256ac	2f19f353dbd3a5941100319bc62629f6dac1aa2368534b0cbd96cb9f7c08d97a	grounds	notes	notes	notes/an-outcome-check-licenses-replay-a-rule-needs-the-process-verified.md	40	notes/diagnostic-richness-constrains-outer-loop-learning-quality.md	deferred-prerequisite	prerequisite-hold	hold	mechanism-boundary:F094	deferred-family
L062	d571e75e982b0f177d00b0986b13bca7d4d750f522c73c028c1534a78cf563c0	fc2fde4d13b9d6ec0f8a1bc6a9d6d7d0fd049141e2130a3b8e419cfba9a53b83	grounds	notes	notes	notes/artifacts-produced-from-sources-need-lineage-recorded-at-the-source.md	43	notes/skills-derive-from-methodology.md	active-mutable	evidenced-by	relabel	grounds-boundary	authorized
L063	e2d708c68ede2e911ceb68e255a06c4ba3de8b8e47469b0ce4cae8c4f048f5a9	0031aea641793a740ab3c99b00482744b3562398e1cec44fc932392b38f2e8ec	grounds	notes	notes	notes/artifacts-produced-from-sources-need-lineage-recorded-at-the-source.md	45	notes/frontloading-spares-execution-context.md	active-mutable	extends	relabel	mechanism-boundary:F057	authorized
L064	5396420103a82264d99725e2d2a9630dfe7b5cf275b55641e461c894bf042611	9e9152b336541382322ecd1e32136a9c491d0ce25a2844299771e6151b3d8736	grounds	notes	notes	notes/automated-synthesis-is-missing-good-oracles.md	58	notes/the-boundary-of-automation-is-the-boundary-of-verification.md	active-mutable	explained-by	relabel	mechanism-core:F098	candidate-new
L065	088ced844a06cd09a3e31cb98b404c70ef54f828743334b3a1e7668495bd75c7	811c5b272a0b63cd4f543926112ecd9508c9c6f966402534fe1a300558e9f3e2	grounds	notes	notes	notes/bitter-lesson-selects-against-unearned-reach-not-against-structure.md	51	notes/first-principles-reasoning-selects-for-explanatory-reach-over.md	active-mutable	premised-on	relabel	grounds-baseline:P	candidate-new
L066	c1a2691f6952cbd416e6020e58d074ffeafa9bd392cea70c565565d8d7c173cb	4d81973acc254e73e4a79910214cc4d17004df6b5bd760fa5aec9795b31e89d7	grounds	notes	notes	notes/bitter-lesson-selects-against-unearned-reach-not-against-structure.md	53	notes/exact-implementation-does-not-validate-a-requirement.md	active-mutable	explained-by	relabel	grounds-drift:G020	candidate-new
L067	19cbf4ff6ed190bde54e5ffc6d1b03cd6ae8369314a9a772b8a2ae5fef8c40bb	3b7f47642369578cb4dd87718fb6a5621356d21a489a36bb5bfb6a3fe39e9dc6	grounds	notes	notes	notes/bitter-lesson-selects-against-unearned-reach-not-against-structure.md	57	notes/constraining-and-extraction-both-trade-generality-for-reliability.md	active-mutable	premised-on	relabel	grounds-baseline:P	candidate-new
L068	757e921853f8d597d694f4312c4a09db6fdd3086647dcf531e82843597d7a273	3aa8a8d7ee2ad0e1b54368e91c351ab80a0edaff86f340d6a3cf1fd7cbef28f4	grounds	notes	notes	notes/bounded-context-orchestration-model.md	88	notes/agent-context-is-constrained-by-soft-degradation-not-hard-token-limits.md	active-mutable	premised-on	relabel	grounds-baseline:P	candidate-new
L069	a07a0d622818e2df9052848500e2acc7a96bb7c91a80f4ac7e8f13cf870cd919	13bdbdf18265d7b4b69146605f68086cc9c2c85f4c78c7829989a158510b99d0	mechanism	notes	notes	notes/bounded-context-orchestration-model.md	90	notes/frontloading-spares-execution-context.md	active-mutable	extends	relabel	mechanism-boundary:F116	authorized
L070	36b9c9fa839122a7bb9f23a8efbd1677cdbf12d7b8d1181dc197c351749c87cf	e0c7e82caa0e7700be1ad0e0d9557d2eba8fcfe31967036cb33adaa85c28396d	mechanism	notes	notes	notes/bounded-context-orchestration-model.md	92	notes/llm-context-is-composed-without-scoping.md	active-mutable	operates-through	relabel	mechanism-core:F034	candidate-new
L071	7bd6be01037cacac43b007f6090d46bdc8cb0d8af4bfe1a323de6fad72b8757f	53c66dfd03eab1a7a3cb9ad1325b7f60185dcfce7a85edab28cae57ab274b60c	mechanism	notes	notes	notes/bounded-context-orchestration-model.md	97	notes/theory-and-methodology-form-a-two-layer-execution-system.md	active-mutable	remove	remove	mechanism-boundary:F043	not-applicable
L072	c816592692ee5e513bbf4a7d76e0e0f8a6b89eac7f112151ac3808faad6a8e3e	86beed60bd0bce69cdb42ce069d2a957629a5b90a6d98b73db4aedf2b2437db9	grounds	notes	notes	notes/brainstorming-maintainability-oracles-for-agentic-development.md	188	notes/weakly-discriminated-qualities-tend-to-be-underselected.md	active-mutable	explained-by	relabel	mechanism-core:F114	candidate-new
L073	2e43adfa37dd7ea4db5814c596bb2208a5944033001860b6ef4b1f350d84b39f	341e38c3b84fbd7cb14a2124b03a27fc22afcbd99028886336c22d3593c0feeb	grounds	notes	notes	notes/brainstorming-maintainability-oracles-for-agentic-development.md	189	notes/oracle-strength-spectrum.md	active-mutable	extends	relabel	grounds-boundary	authorized
