id	batch	digest	origin	source	current_line	target	prior_disposition	prior_line
F039	3	634fc5a4283181b1e0d2d79ccd49cc3f5b4d7431a9c728c7c8e6b31c432dd503	grounds-deferred	notes/reverse-compression-is-when-llm-output-expands-without-adding.md	43	notes/information-value-is-observer-relative.md	EX	43
F040	4	64805a603862c0a5598ebf1e1d3cb78ba935f048071155e3e1f67cdc0ff66d87	mechanism	notes/retrieval-failure-is-reflection-failure.md	40	notes/stale-indexes-are-worse-than-no-indexes.md	EX	38
F041	1	6507ce1ccc3f9c2cd30bb3e7a497db030c3557d85603ca817b1109e9dcd5e40a	mechanism	notes/entropy-management-must-scale-with-generation-throughput.md	31	notes/spec-mining-as-codification.md	OP	31
F042	2	696558c11bbbd0ccf4baabf8737f3b44dd84184277705f8c8a4bff6e4d0e0c23	grounds-deferred	notes/semantic-review-catches-content-errors-that-structural-validation.md	49	notes/text-testing-framework.md	OP	49
F043	3	6c3814af0d3c93ed5833c2e4b268e6e8108e68af2811ae5ed4265ecf0bb859eb	mechanism	notes/bounded-context-orchestration-model.md	97	notes/theory-and-methodology-form-a-two-layer-execution-system.md	OP	97
F044	4	6c6db83614ff2d6b913968d4453b5f2523db4c680689a2ac03b268aca142f5bd	mechanism	notes/error-messages-that-teach-are-a-constraining-technique.md	28	notes/frontloading-spares-execution-context.md	OP	28
F045	1	6e615e00809101075882b455b6eea4573e4781dc3dfd36ae2c7365c5cbced2ef	mechanism	notes/feasibility-is-the-heaviest-forks-net-load.md	36	notes/frontloading-spares-execution-context.md	OP	36
F046	2	6ee0c31e2fe06478603f82bef9beb0c07d24d7a04203968f6969c3f868f1a83d	grounds-deferred	notes/codify-versus-llm-decision-heuristics.md	120	notes/ephemeral-computation-prevents-accumulation.md	EX	120
F047	3	706e307af19e9965f42211659758af17098821777e9fa6069fa1192fdd8af7b7	mechanism	notes/definitions/context-engineering.md	63	notes/instruction-specificity-should-match-loading-frequency.md	OP	63
F048	4	716a4541276a41ff84e2406df919d61b17d7e58b6f3bb153b03bb67304aa7f28	grounds-deferred	notes/llm-context-is-composed-without-scoping.md	72	notes/instruction-specificity-should-match-loading-frequency.md	OP	72
F049	1	74899c3c5d59920ce156cf7b69d0c233d97a2034f70488a4ee7a7d2a2ff4ff8e	mechanism	notes/system-definition-artifacts-are-crystallized-reasoning-under-context.md	60	notes/llm-context-is-a-homoiconic-medium.md	OP	60
F050	2	74d5be5bb3a56bf492ea34bc9220a39c320a9170dab69132e8ee5a7083ac3f46	mechanism	notes/orchestration-strategies-and-run-state-have-opposite-persistence.md	51	notes/verifiability-gradient.md	OP	51
F051	3	764d3b81b59a7a70d9d25ffb65360a72adc0ab20d43b24ceed8b7bfb9b814841	grounds-deferred	notes/definitions/reach-assessment.md	66	notes/abstract-an-experience-only-when-you-can-state-the-boundary.md	EX	66
F052	4	785e32d6f15651f68132060921faa52027dc7dd8c1e441c5201e6a8950112d63	mechanism	notes/technical-constraints-make-kb-objective-choice-engineering.md	84	notes/oracle-strength-spectrum.md	EX	84
F053	1	7b066868f1e2b2b5f1575d8ce2016105e72cf8f3f6adc80b683d815cbd535e39	mechanism	notes/orchestration-strategies-and-run-state-have-opposite-persistence.md	49	notes/deploy-time-learning-is-the-missing-middle.md	OP	49
F054	2	7c5cb5fdf86497d601330f0ebe3408ddca6e7e1fdec58a8fc85782d93753445b	mechanism	notes/verifiable-subroles-before-reviewer-identity.md	62	notes/structured-output-is-easier-for-humans-to-review.md	OP	62
F055	3	7dec1ad1eddef4c781e753ad3a5e61192a047da80b7da1b5a4f6a6c8a15caf9e	mechanism	notes/stale-self-description-conceals-its-own-staleness.md	71	notes/link-graph-plus-timestamps-enables-make-like-staleness-detection.md	OP	71
F056	4	7efa45829dddf6ee08f37011a1eadc13b44089dd1df854b5036716d6fa32f9c6	grounds-deferred	notes/an-outcome-check-licenses-replay-a-rule-needs-the-process-verified.md	39	notes/first-principles-reasoning-selects-for-explanatory-reach-over.md	EX	39
F057	1	822d789480a6f20e1febaa04341dbd30ace1f1fc3b8b7c32bacd7c3844eeb4a8	grounds-deferred	notes/artifacts-produced-from-sources-need-lineage-recorded-at-the-source.md	45	notes/frontloading-spares-execution-context.md	OP	45
F058	2	85efb1f363228f14659d1a3f495e8d874bd3da3d10979791fa7fba6d461b28dc	grounds-deferred	notes/adversarial-loop-can-reconstruct-the-writing-is-thinking-filter.md	28	notes/llm-generation-relaxes-goals-where-human-writing-stalls.md	OP	28
F059	3	874aba83922a063530bfaf82f4fda612b0dcfa9b7339770312d12a48a8cfd578	grounds-deferred	notes/reflection-makes-retained-lessons-second-order.md	49	notes/reflection-buys-addressability.md	OP	49
F060	4	87a2cb6101c97218d9e1a6a34cd2a1478867aa1b3e43d9215a5138c35ae40776	mechanism	notes/use-tests-a-decomposition-locally-rationale-makes-transfer-testable.md	63	notes/scenario-decomposition-drives-architecture.md	OP	63
F061	1	87c81c8a895799fbb60f49c6cc9888b12033510e8ce8a9a71888b907a499de9d	mechanism	notes/selective-revision-needs-a-faithful-rationale-not-just-a-legible-one.md	46	notes/reflection-makes-retained-lessons-second-order.md	OP	46
F062	2	88de66de308502786664a44ea280fdff4840a6f15e3f19b1dd3d9a05178829bc	mechanism	notes/task-fitted-structure-costs-cross-task-reuse.md	71	notes/orchestration-strategies-and-run-state-have-opposite-persistence.md	EX	71
F063	3	8a6accc64f0d3908e5ae099644933f536460d4482d4244e0e1e4ecb7f7019438	grounds-deferred	notes/abstract-an-experience-only-when-you-can-state-the-boundary.md	61	notes/diagnostic-richness-constrains-outer-loop-learning-quality.md	EN	61
F064	4	8d90a9723f8733d2eeb2d4d0a928a47d166475d74ae535f382ed28af1bf3fb59	mechanism	notes/continual-learning-open-problem-is-behaviour-not-knowledge.md	28	notes/llm-context-is-a-homoiconic-medium.md	OP	28
F065	1	8fb7c209f96963c5382bb463c18f91913b7cb246021767a2f0542b35e6e77996	grounds-deferred	notes/an-action-model-matters-only-through-its-consumption-path.md	24	notes/axes-of-artifact-analysis.md	OP	24
F066	2	922d0350064e36216e7e9eea00721b0280be701a903165601ae4dfd92c30123d	grounds-deferred	notes/evidence/single-artifact-review-bundles-still-cut-claude-costs-substantially.md	72	notes/oracle-strength-spectrum.md	E	72
F067	3	933bcc22382f15826b070923263bd9d1f4cc8d2c40530bea3a349aacb2ec3198	mechanism	notes/theory-mediated-self-improvement-needs-interpretation-and-retention.md	59	notes/reflection-makes-retained-lessons-second-order.md	OP	59
F068	4	9364aea2b72d1bd4d4d4e5588f56df70c8a0f5fff70f52eaeb513f5c2004dc7f	mechanism	notes/the-bitter-lesson-selects-production-methods-not-representational.md	70	notes/localized-retention-pays-where-change-is-sparse-in-a-matching.md	NEW	NEW
F069	1	955eba1ca7eb36d159fcd487d814df388404eb3434be3c1f8a41c600b98af902	mechanism	notes/a-methodology-governs-its-own-extension-only-as-far-as-it-settles.md	70	notes/the-boundary-of-automation-is-the-boundary-of-verification.md	EX	70
F070	2	95e4b270b4ea41c297c673e7c2eb08cb976343e77802ed0e1dae4ff4ec7058de	mechanism	notes/reflection-makes-retained-lessons-second-order.md	53	notes/retrieval-failure-is-reflection-failure.md	OP	53
F071	3	96f9c082d935417c0246e9c10fac5f349a4088f669b72a2d5936d938d735a701	mechanism	notes/weakly-discriminated-qualities-tend-to-be-underselected.md	81	notes/error-correction-works-above-chance-oracles-with-decorrelated-checks.md	EN	81
F072	4	9954deac98b81a739fb01d95edd6c0c4c51943e0a32d181cab186a42a0cd610b	grounds-deferred	notes/llm-context-is-a-homoiconic-medium.md	45	notes/methodology-enforcement-is-constraining.md	EX	45
F073	1	99f690ffb9026f7f67d8534497158e80df35b72b4e4a6ceb47e6dd47e881de79	mechanism	notes/decomposition-heuristics-for-bounded-context-scheduling.md	91	notes/theory-and-methodology-form-a-two-layer-execution-system.md	OP	91
F074	2	9adfc95af50e9841147410cecf765bdf233869207fa297605dc9aae443dfe0af	mechanism	notes/improving-an-agentic-system-crosses-the-prose-symbolic-boundary.md	45	notes/scheduler-llm-separation-exploits-an-error-correction-asymmetry.md	EX	45
F075	3	9c468c5207116a87e2c1415b028d1e9f067a04e3ad157c325c8f698101a41795	mechanism	notes/llm-executed-methodologies-are-metacircular-interpreters.md	36	notes/methodology-enforcement-is-constraining.md	EX	36
F076	4	9e91a05f949502a50d8100cf71c4c1853692c178e29722e451e17dcfba2bcfa7	mechanism	notes/the-four-field-record-exposes-an-efficiency-security-and-sovereignty.md	46	notes/definitions/codification.md	OP	46
F077	1	a1d63fd8840ab5fc6d871c0a5b561effbaa4a80eecffaef26217702326779de1	mechanism	notes/theory-mediated-self-improvement-needs-interpretation-and-retention.md	60	notes/retrieval-failure-is-reflection-failure.md	OP	60
F078	2	a1e22049bd36993e4720a1965e899c138774a18eecad69638224a61c6a068c35	mechanism	notes/the-augmentation-automation-boundary-is-discrimination-not-accuracy.md	56	notes/error-correction-works-above-chance-oracles-with-decorrelated-checks.md	EN	56
F079	3	a23c7751d2131858cdfe2f6a85f139878d12f8a753b0e6e98a3ae0b4fe1bdab9	mechanism	notes/methodological-and-computational-closure-track-different-changes.md	80	notes/reflection-buys-addressability.md	OP	80
F080	4	aa7cf00c84769474c59b66cd57295ce9cf123e5a7a4b21365fe88222f0cfa4e3	grounds-deferred	notes/agent-memory-needs-discoverable-composable-trusted-knowledge-under.md	40	notes/agent-memory-is-a-crosscutting-concern-not-a-separable-niche.md	OP	40
F081	1	abc7b77b22079b6c20aea78993d93f7747dba90d7b10b15d7c036e7c7cb0a8d2	mechanism	notes/minimum-viable-vocabulary-is-the-naming-set-that-most-reduces.md	38	notes/conjecture-is-seeing-the-particular-as-an-instance-of-the-general.md	EX	38
F082	2	b33787d3e668b1c55dadb42a105c66d2b97234d34e5c37ac32a71d2a34c1aa03	mechanism	notes/generality-bought-to-avoid-counterexamples-is-paid-for-in.md	59	notes/llm-generation-confidence-tracks-typicality-not-soundness.md	EX	59
F083	3	b36575ae481a455957331639d3d2068a002427473d14bfd15353d18d5bf435ab	grounds-deferred	notes/an-enforced-tag-readme-is-a-moc-with-a-machine-checked-contract.md	49	notes/stale-indexes-are-worse-than-no-indexes.md	EX	49
F084	4	b3823db90f9f01ec149f1c31a785fb9edc4197a833b1b152cc514831ff994597	mechanism	notes/feasibility-is-the-heaviest-forks-net-load.md	37	notes/agents-navigate-by-deciding-what-to-read-next.md	OP	37
F085	1	b6f7a4d2ee6ce9f02059b674547a49e7231584a2e8efb484db9f90afc858ced9	mechanism	notes/definitions/context-engineering.md	65	notes/agents-navigate-by-deciding-what-to-read-next.md	OP	65
F086	2	b6f815a350a2cdcd2bbde2b2a231db781b015b9a191103a4fc46f77a784ccb38	mechanism	notes/mechanistic-constraints-make-popperian-kb-recommendations-actionable.md	59	notes/definitions/constraining.md	OP	59
F087	3	b80bc0c2131795efedb7c91a5aa0f31dbf7bfaa231672f6603382ccbc00a508b	mechanism	notes/deploy-time-learning-is-the-missing-middle.md	56	notes/llm-context-is-a-homoiconic-medium.md	OP	56
F088	4	b90f46708df5495211b05c66b0b760f66158246340787f212e749f15bf28aa73	grounds-deferred	notes/reasoning-production-is-not-reasoning-evaluation.md	44	notes/process-structure-and-output-structure-are-independent-levers.md	OP	44
F089	1	bc3ac6723b43985bc0311d111ebc2fed9d2a3f53a3bb0446d13cedaf61e9e15b	grounds-deferred	notes/llm-context-is-composed-without-scoping.md	78	notes/scheduler-llm-separation-exploits-an-error-correction-asymmetry.md	OP	78
F090	2	bc54d87668ce23265aeb3799db824b95ec3fe3018d6142cdf42ab7082c236243	grounds-deferred	notes/selective-revision-needs-a-faithful-rationale-not-just-a-legible-one.md	49	notes/reasoning-production-is-not-reasoning-evaluation.md	EX	49
F091	3	bc89a5fa806c8b2f732aff037247295208a2f12436eed68976d4f33f9e045e61	mechanism	notes/a-consumption-channel-delivers-force-without-the-history-that.md	57	notes/llm-context-is-a-homoiconic-medium.md	NEW	NEW
F092	4	bd00f2a54ad1dd23b7581cb06105d93e2f4c35368796b113058d973194cd6f2a	grounds-deferred	notes/a-derived-copy-of-recomputable-truth-must-be-checked-or-absent.md	64	notes/the-boundary-of-automation-is-the-boundary-of-verification.md	EN	64
F093	1	bdb13860e4fd1c041787b9f4e048a120fc837706a766ace51748c41d17739520	grounds-deferred	notes/topology-isolation-and-verification-form-a-causal-chain-for-reliable.md	73	notes/synthesis-is-not-error-correction.md	EX	73
F094	2	be79d597742783da6ff88b26fd2653a6cfd9ef5ef0f5aa9a9d1c82eaf58948c7	grounds-deferred	notes/an-outcome-check-licenses-replay-a-rule-needs-the-process-verified.md	40	notes/diagnostic-richness-constrains-outer-loop-learning-quality.md	EN	40
F095	3	c03e32c883250dcd48ad24f775144cfa71d8f80918c7db1b485062740bc5af0f	grounds-deferred	notes/compiling-coordination-preserves-primitive-not-aggregate-authority.md	61	notes/rlm-has-the-model-write-ephemeral-orchestrators-over-sub-agents.md	OP	61
F096	4	c0d30bf14fe5eda5a282c0a65b3c2c572f8ec6fc64af8c02c19c8b148805de9d	mechanism	notes/brainstorming-maintainability-oracles-for-agentic-development.md	191	notes/error-correction-works-above-chance-oracles-with-decorrelated-checks.md	EN	191
F097	1	c1414b3d3b0b9fb32cba42521af8183f86cae40c4fe787680ef327c26eafddbc	grounds-deferred	notes/agent-memory-is-a-crosscutting-concern-not-a-separable-niche.md	66	notes/agent-runtimes-decompose-into-scheduler-context-engine-and-execution.md	EX	66
F098	2	c1fc57c309d753425ad07e6b208d8858c19da66faeca5ae6ec604938f2526b9a	grounds-deferred	notes/automated-synthesis-is-missing-good-oracles.md	58	notes/the-boundary-of-automation-is-the-boundary-of-verification.md	X	58
F099	3	c3b5b15a9b6406c9d5d9149b7f16f63349e660309515f2809a50a5fc2dc80b4b	grounds-deferred	notes/a-derived-copy-of-recomputable-truth-must-be-checked-or-absent.md	63	notes/stale-indexes-are-worse-than-no-indexes.md	EX	63
F100	4	c6c20db3b19fe4eea05ab369c5f9b0d557376a579b068117bb68330a430bc3fb	mechanism	notes/the-four-field-record-exposes-an-efficiency-security-and-sovereignty.md	48	notes/opacity-is-a-scale-threshold.md	EX	48
F101	1	c6ed89b83ce4fd088da5d7c1e16026df07051e8ac35d18eb0b708d27581b3c7e	mechanism	notes/spec-mining-as-codification.md	59	notes/oracle-strength-spectrum.md	OP	59
F102	2	c817941d968e60e8e613b9f2db562068153a24cd50562f859b62de4e1d49b70b	grounds-deferred	notes/a-consumption-channel-delivers-force-without-the-history-that.md	59	notes/the-four-field-record-exposes-an-efficiency-security-and-sovereignty.md	OP	77
F103	3	c975a91e0770895e13fb4ca9f1035d43e6b6563fc0dbd7a90eba79f230b97315	mechanism	notes/orchestration-strategies-and-run-state-have-opposite-persistence.md	50	notes/definitions/codification.md	OP	50
F104	4	ca5f1193f5668cfcdd73b5a0c994f14c12513ef25ef80570adacc5feb296a697	mechanism	notes/rlm-tendril-and-llm-do-place-symbolic-work-at-different-persistence.md	52	notes/ephemeral-computation-prevents-accumulation.md	EX	52
F105	1	cb42af394037b497c3b2f7815eaa426eade6f96d80272f1a81fe64986843b1f1	mechanism	notes/false-positive-generation-is-filtered-before-retention.md	69	notes/the-boundary-of-automation-is-the-boundary-of-verification.md	EX	69
F106	2	cb6e300c1fb44ed5881d00db77ab6922f81d37ae0d5bf66348129c538f4e2c68	grounds-deferred	notes/reasoning-production-is-not-reasoning-evaluation.md	43	notes/the-augmentation-automation-boundary-is-discrimination-not-accuracy.md	EX	43
F107	3	d0bd0201f02dc9cd8c3810c7e46a53fff6fa17c6607313f66869f39309501a6c	mechanism	notes/an-outcome-check-licenses-replay-a-rule-needs-the-process-verified.md	38	notes/abstract-an-experience-only-when-you-can-state-the-boundary.md	EN	38
F108	4	d80d5391d63638d33b5d1bd8d5f081d4c3cf936282d928700fb289adf77b1da9	grounds-deferred	notes/evaluation-automation-is-phase-gated-by-comprehension.md	50	notes/spec-mining-as-codification.md	OP	50
F109	1	d81ba91c7c38cd5b9e0ed7f8742a556b0f3c5fa9b44c90537f27efce7534051b	mechanism	notes/technical-constraints-make-kb-objective-choice-engineering.md	81	notes/codify-versus-llm-decision-heuristics.md	EX	81
F110	2	da64a7658637e4e90e945ce633e0802e844e491f281ebe275601761d6ce5a596	grounds-deferred	notes/adversarial-loop-can-reconstruct-the-writing-is-thinking-filter.md	30	notes/the-boundary-of-automation-is-the-boundary-of-verification.md	OP	30
F111	3	dc27ab4ee4797c650614df9fc82da31e7f9c3ff399bcef6d65813bb7a5dee7e7	mechanism	notes/reflective-coverage-is-graded-across-representational-forms.md	100	notes/unified-calling-conventions-enable-bidirectional-refactoring.md	OP	100
F112	4	de2820c8df2e72a497f672440433ae23075d97ee1ffc51434206c0b17d110a69	mechanism	notes/rlm-tendril-and-llm-do-place-symbolic-work-at-different-persistence.md	54	notes/verifiability-gradient.md	EX	54
F113	1	e04fdd5c34362a5a484ea4a38a401168130c03b7dd42762308c5f8e5f40ccbb2	grounds-deferred	notes/conjecture-is-seeing-the-particular-as-an-instance-of-the-general.md	62	notes/minimum-viable-vocabulary-is-the-naming-set-that-most-reduces.md	EX	62
F114	2	e095255a846096a297f06a1dd917ba39e5c5812f6c6eb81929e4e00861a52db9	grounds-deferred	notes/brainstorming-maintainability-oracles-for-agentic-development.md	188	notes/weakly-discriminated-qualities-tend-to-be-underselected.md	EX	188
F115	3	e2ab67f16a81aaef3df8f7197c972e75ced3d98236861322176ad4283259487c	mechanism	reference/adr/040-scripts-directory-is-the-accumulation-substrate-for-ad-hoc-tooling.md	46	notes/spec-mining-as-codification.md	OP	46
F116	4	e3886e3dc9f9e23181ada201b8e864dd265908aa8c4baac563ae22fd5ad28f58	mechanism	notes/bounded-context-orchestration-model.md	90	notes/frontloading-spares-execution-context.md	X	90
F117	1	e4f4ae13b7387d3fb6917f92393a3f6c133d346c31321a696a382286114d0d05	grounds-deferred	notes/frontloading-spares-execution-context.md	53	notes/agent-context-is-constrained-by-soft-degradation-not-hard-token-limits.md	EX	53
F118	2	e746f93a725aa3c3a14c550fb43372e0a9d4fc7b30b3172db88dc1b861ab82a6	mechanism	notes/enforcement-without-structured-recovery-is-incomplete.md	69	notes/error-correction-works-above-chance-oracles-with-decorrelated-checks.md	OP	69
F119	3	efe5ec85b7728d8f1c9187e0875787be4a905a3e14fce0cde75ad43357ad3fd2	grounds-deferred	notes/always-loaded-context-mechanisms-in-agent-harnesses.md	89	notes/frontloading-spares-execution-context.md	OP	89
F120	4	f32f8dac29a11b7caddef4eab1df1f0dd35d2b382e39b1c67cbf3969a8c42b7e	mechanism	notes/raw-accumulation-does-not-create-usable-memory.md	32	notes/conjecture-is-seeing-the-particular-as-an-instance-of-the-general.md	EX	32
F121	1	f3f472694bc4e701dd010a85ba3c8ed3272d7a2ce27669c99b73fb00b8eebff6	mechanism	notes/orchestration-strategies-and-run-state-have-opposite-persistence.md	48	notes/ephemeral-computation-prevents-accumulation.md	OP	48
